K,rho,ang_rad,type,r_mean,F_mean
1.1,0.5760135466440689,3.141592653589793,real-neg,0.9999859700388463,-2.094395102393196
1.1400000000000001,0.6136878754016365,3.141592653589793,real-neg,0.9999869447404717,-2.094395102393196
1.1800000000000002,0.6513623049188411,3.141592653589793,real-neg,0.9999878212920857,-2.094395102393196
1.2200000000000002,0.6890365663511379,3.141592653589793,real-neg,0.99998861243714,-2.094395102393196
1.26,0.7267104364017579,3.141592653589793,real-neg,0.9999893289172089,-2.094395102393196
1.3,0.7643837301888153,3.141592653589793,real-neg,0.9999899798376182,-2.094395102393196
1.34,0.802056295281083,3.141592653589793,real-neg,0.9999905729575176,-2.094395102393196
1.3800000000000001,0.8397280066951105,3.141592653589793,real-neg,0.9999911149217098,-2.094395102393196
1.4200000000000002,0.8773987626900591,3.141592653589793,real-neg,0.9999916114472363,-2.094395102393196
1.46,0.9150684812239414,3.141592653589793,real-neg,0.9999920674745157,-2.094395102393196
1.5,0.9527370969593035,3.141592653589793,real-neg,0.999992487290536,-2.094395102393196
1.54,0.9904045587310625,3.141592653589793,real-neg,0.9999928746298423,-2.094395102393196
1.58,0.9933150060846069,3.141592653589793,real-neg,0.999992219017323,-2.094395102393196
1.62,0.9486220769066468,3.141592653589793,real-neg,0.9999911623091778,-2.094395102393196
1.6600000000000001,0.7042768339345958,3.141592653589793,real-neg,0.999990017024662,-2.094395102393196
1.7000000000000002,0.6487498780759773,0.9203552614749718,complex,0.9999887503466238,-2.094395102393196
1.7400000000000002,0.6913802091816998,0.8520537839105387,complex,0.9999873270400385,-2.094395102393196
1.7800000000000002,0.7329698507803565,0.7904929560058428,complex,0.9999857071045907,-2.094395102393196
1.82,0.7742000510098515,0.7336065214574757,complex,0.9999838434111916,-2.094395102393196
1.86,0.8156470151525372,0.6801450208726232,complex,0.9999816790774511,-2.094395102393196
1.9000000000000001,0.8578423641998932,0.6293194651258411,complex,0.9999791443905162,-2.094395102393196
1.94,0.901307249788914,0.5806339873514207,complex,0.9999761531259539,-2.094395102393196
1.98,0.9465707380264387,0.5338024365585684,complex,0.9999725981752999,-2.094395102393196
2.02,0.9941748706981257,0.48870549806608027,complex,0.999968346533954,-2.094395102393196
2.06,1.0446649684139722,0.4453663106863629,complex,0.9999632340010585,-2.094395102393196
2.1,1.0985626235563233,0.4039300782710413,complex,0.9999570605493445,-2.094395102393196
