K,rho,ang_rad,type,r_mean,F_mean
1.82,0.7742000510098515,0.7336065214574757,complex,0.9999838434111916,-2.094395102393196
1.83,0.7845202708849316,0.7199570413887914,complex,0.9999833329907042,-2.094395102393196
1.84,0.7948626565958098,0.7065052318912592,complex,0.9999828028408203,-2.094395102393196
1.85,0.805235502420875,0.6932383552561077,complex,0.9999822519068311,-2.094395102393196
1.86,0.8156470151525372,0.6801450208726232,complex,0.9999816790774511,-2.094395102393196
1.87,0.8261053437064014,0.6672150504939304,complex,0.9999810831811635,-2.094395102393196
1.8800000000000001,0.8366186049666101,0.6544393647804025,complex,0.9999804629823881,-2.094395102393196
1.8900000000000001,0.8471949061930202,0.6418098875856214,complex,0.9999798171774738,-2.094395102393196
1.9000000000000001,0.8578423641998932,0.6293194651258411,complex,0.9999791443905162,-2.094395102393196
1.9100000000000001,0.8685691214316651,0.6169617976787559,complex,0.9999784431689915,-2.094395102393196
1.9200000000000002,0.8793833590007175,0.6047313818379629,complex,0.999977711979217,-2.094395102393196
1.9300000000000002,0.8902933066791733,0.5926234616697478,complex,0.9999769492016382,-2.094395102393196
1.9400000000000002,0.9013072497889141,0.580633987351421,complex,0.9999761531259539,-2.094395102393196
1.9500000000000002,0.9124335328801002,0.5687595800638177,complex,0.9999753219460925,-2.094395102393196
1.9600000000000002,0.9236805600634341,0.5569975020361476,complex,0.9999744537550594,-2.094395102393196
1.9700000000000002,0.9350567918093279,0.5453456307744003,complex,0.9999735465396851,-2.094395102393196
1.9800000000000002,0.9465707380264377,0.5338024365585684,complex,0.9999725981752999,-2.094395102393196
1.9900000000000002,0.9582309472074674,0.5223669623674938,complex,0.9999716064203905,-2.094395102393196
2.0,0.9700459914295788,0.5110388054329026,complex,0.9999705689112863,-2.094395102393196
2.0100000000000002,0.9820244470194779,0.49981809964291896,complex,0.9999694831569502,-2.094395102393196
2.02,0.9941748706981257,0.48870549806608027,complex,0.999968346533954,-2.094395102393196
2.0300000000000002,1.0065057711043524,0.4777021548446496,complex,0.9999671562817479,-2.094395102393196
2.04,1.0190255756107194,0.4668097057850855,complex,0.9999659094983444,-2.094395102393196
2.0500000000000003,1.0317425924709502,0.45603024695719896,complex,0.9999646031365693,-2.094395102393196
2.06,1.0446649684139722,0.4453663106863629,complex,0.9999632340010585,-2.094395102393196
2.0700000000000003,1.05780064193874,0.4348208383634851,complex,0.9999617987462132,-2.094395102393196
2.08,1.071157292690649,0.4243971495882879,complex,0.9999602938753592,-2.094395102393196
2.0900000000000003,1.0847422874675132,0.4140989072485578,complex,0.9999587157414073,-2.094395102393196
2.1,1.0985626235563233,0.4039300782710413,complex,0.9999570605493445,-2.094395102393196
2.1100000000000003,1.11262487027533,0.3938948899191135,complex,0.9999553243609631,-2.094395102393196
2.12,1.1269351097461804,0.38399778169051685,complex,0.9999535031022547,-2.094395102393196
2.1300000000000003,1.1414988780738125,0.37424335304664813,complex,0.9999515925740067,-2.094395102393196
2.14,1.1563211082155707,0.3646363074148434,complex,0.9999495884661602,-2.094395102393196
2.1500000000000004,0.8090737357099269,0.7364278948970794,complex,0.9999474863766018,-2.094395102393196
2.16,0.813137279627978,0.7323166292026179,complex,0.9999452818351008,-2.094395102393196
2.1700000000000004,0.8171057276737952,0.7283637651911855,complex,0.9999429703331991,-2.094395102393196
2.18,0.8209767028710448,0.7245700113957594,complex,0.9999405473609452,-2.094395102393196
2.1900000000000004,0.8247477672940249,0.720936167814934,complex,0.9999380084513838,-2.094395102393196
2.2,0.828416429325994,0.7174631169820858,complex,0.9999353492338215,-2.094395102393196
2.21,0.831980151601417,0.7141518150733186,complex,0.9999325654969058,-2.094395102393196
2.22,0.835436359632827,0.711003283046843,complex,0.9999296532625483,-2.094395102393196
