K,mu_eff_from_lambda,mu0_real,mu0_imag,mu1_real,mu1_imag
3.8,-6.774086297992209,-4.366430752156864,0.5041224684431832,-4.366430752156864,-0.5041224684431832
3.8099999999999996,-6.788766608391116,-4.377921477981916,0.5054494848918872,-4.377921477981916,-0.5054494848918872
3.82,-6.803442849993479,-4.389412203497495,0.5067765003573492,-4.389412203497495,-0.5067765003573492
3.8299999999999996,-6.818115038728089,-4.400902928706029,0.5081035148472409,-4.400902928706029,-0.5081035148472409
3.84,-6.832783190418223,-4.412393653609907,0.5094305283691538,-4.412393653609907,-0.5094305283691538
3.8499999999999996,-6.847447320785126,-4.423884378211505,0.5107575409306014,-4.423884378211505,-0.5107575409306014
3.86,-6.862107445448349,-4.435375102513167,0.512084552539019,-4.435375102513167,-0.512084552539019
3.8699999999999997,-6.876763579926058,-4.446865826517219,0.5134115632017661,-4.446865826517219,-0.5134115632017661
3.88,-6.891415739636851,-4.458356550225955,0.5147385729261258,-4.458356550225955,-0.5147385729261258
3.8899999999999997,-6.906063939899652,-4.469847273641653,0.5160655817193085,-4.469847273641653,-0.5160655817193085
3.9,-6.920708195935264,-4.4813379967665625,0.5173925895884479,-4.4813379967665625,-0.5173925895884479
3.9099999999999997,-6.935348522867167,-4.4928287196029135,0.5187195965406074,-4.4928287196029135,-0.5187195965406074
3.92,-6.949984935722607,-4.504319442152911,0.5200466025827775,-4.504319442152911,-0.5200466025827775
3.9299999999999997,-6.964617449432818,-4.515810164418738,0.5213736077218781,-4.515810164418738,-0.5213736077218781
3.94,-6.979246078834532,-4.527300886402558,0.52270061196476,-4.527300886402558,-0.52270061196476
3.9499999999999997,-6.993870838670356,-4.538791608106508,0.5240276153182022,-4.538791608106508,-0.5240276153182022
3.96,-7.008491743590171,-4.550282329532707,0.5253546177889189,-4.550282329532707,-0.5253546177889189
3.9699999999999998,-7.023108808150822,-4.561773050683252,0.5266816193835552,-4.561773050683252,-0.5266816193835552
3.98,-7.037722046817716,-4.5732637715602165,0.5280086201086891,-4.5732637715602165,-0.5280086201086891
3.9899999999999998,-7.052331473966998,-4.584754492165657,0.5293356199708338,-4.584754492165657,-0.5293356199708338
4.0,-7.066937103882685,-4.596245212501607,0.5306626189764371,-4.596245212501607,-0.5306626189764371
4.01,-7.081538950762021,-4.6077359325700815,0.5319896171318838,-4.6077359325700815,-0.5319896171318838
