K,rho,angle,rho_pred,eig1_re,eig1_im,eig2_re,eig2_im,eig3_re,eig3_im,||Jeff||_F,md5(Jeff)
1.15,0.9737395123566245,0.0,0.9737395123566245,0.9737395123566245,0.0,0.9734064355042119,0.0,nan,nan,1.3768401238362908,bd4c516d3076bacd6e5fabf579781e17
1.2491525423728813,0.9714608366863016,0.0,0.9714608366863016,0.9714608366863016,0.0,0.971127557560599,0.0,nan,nan,1.373617446842047,7545becbdd8ea5d3663450d5f234e003
1.3483050847457627,0.9691821636881237,0.0,0.9691821636881237,0.9691821636881237,0.0,0.9688487118816957,0.0,nan,nan,1.3703947945486419,545b292dac55c0e81c0b56abdd96da4e
1.447457627118644,0.9669034928095404,0.0,0.9669034928095404,0.9669034928095404,0.0,0.9665698918633636,0.0,nan,nan,1.3671721618962418,9d3c60b517651813080d45f259129f4b
1.5466101694915253,0.9646248236405166,0.0,0.9646248236405166,0.9646248236405166,0.0,0.96429109258876,0.0,nan,nan,1.363949545118705,edc98299b8ea83a89e4ad8e612faba47
1.6457627118644067,0.9623461558703696,0.0,0.9623461558703696,0.9623461558703696,0.0,0.9620123103218166,0.0,nan,nan,1.3607269413549496,a1f251a6cfd83dc7a7553b0e6a7f35ac
1.7449152542372879,0.9600674892593977,0.0,0.9600674892593977,0.9600674892593977,0.0,0.9597335421728561,0.0,nan,nan,1.3575043483924834,2d7d26309e7a30751b9ebe9fce610496
1.8440677966101693,0.9577888236197034,0.0,0.9577888236197034,0.9577888236197034,0.0,0.9574547858717508,0.0,nan,nan,1.354281764493466,c0060631a4ff64bd849b931db0043957
1.9432203389830507,0.9555101588019164,0.0,0.9555101588019164,0.9555101588019164,0.0,0.9551760396103277,0.0,nan,nan,1.3510591882739016,46d02a28cd9426c958bf1e196d22dd22
2.042372881355932,0.9532314946858014,0.0,0.9532314946858014,0.9532314946858014,0.0,0.9528973019305496,0.0,nan,nan,1.347836618617942,357ed596f005cc822279dfd1742bc71b
2.1415254237288135,0.9509528311734842,0.0,0.9509528311734842,0.9509528311734842,0.0,0.9506185716436752,0.0,nan,nan,1.344614054615943,fc9f8a5c11a5658332e1c52689658d54
2.2406779661016945,0.9486741681844845,0.0,0.9486741681844845,0.9486741681844845,0.0,0.9483398477708317,0.0,nan,nan,1.341391495518936,8958871dac06bfeb58cf4387fa5e5705
2.3398305084745763,0.9463955056520162,0.0,0.9463955056520162,0.9463955056520162,0.0,0.9460611294986556,0.0,nan,nan,1.3381689407046509,2d3593098246548d07514d55db8efb3e
2.4389830508474573,0.9441168435201942,0.0,0.9441168435201942,0.9441168435201942,0.0,0.9437824161457316,0.0,nan,nan,1.3349463896518128,20c88f7910ccfa2447278fed9fc0935c
2.5381355932203387,0.9418381817418967,0.0,0.9418381817418967,0.9418381817418967,0.0,0.9415037071368777,0.0,nan,nan,1.3317238419204507,dbed2c7887b7f7cab566db13c5aed4f8
2.63728813559322,0.9395595202771126,0.0,0.9395595202771126,0.9395595202771126,0.0,0.9392250019832195,0.0,nan,nan,1.3285012971366406,af6e1bcdd8486474c9070cd8c8513b03
2.7364406779661015,0.9372808590916493,0.0,0.9372808590916493,0.9372808590916493,0.0,0.9369463002665874,0.0,nan,nan,1.3252787549805611,54a5b43102ee76f0a8db671cb6bb3a9f
2.835593220338983,0.9350021981561119,0.0,0.9350021981561119,0.9350021981561119,0.0,0.9346676016271799,0.0,nan,nan,1.3220562151770499,98799303ccb357c2c891c938e576f8fc
2.9347457627118643,0.9327235374450901,0.0,0.9327235374450901,0.9327235374450901,0.0,0.9323889057537226,0.0,nan,nan,1.31883367748807,6d52cc1c10f3156e2dd44d7c28f1a3da
3.0338983050847457,0.9304448769365056,0.0,0.9304448769365056,0.9304448769365056,0.0,0.9301102123755551,0.0,nan,nan,1.3156111417066554,32193dfdfb4b77b769d28b6671a936a9
3.1330508474576266,0.9281662166110826,0.0,0.9281662166110826,0.9281662166110826,0.0,0.9278315212562147,0.0,nan,nan,1.312388607651999,5030e66d7ea70a2476601bff63c08303
3.232203389830508,0.9258875564519179,0.0,0.9258875564519179,0.9258875564519179,0.0,0.9255528321882021,0.0,nan,nan,1.3091660751654488,7bcf1f44e688fa666c6e688e0363a5da
3.3313559322033894,0.9236088964441254,0.0,0.9236088964441254,0.9236088964441254,0.0,0.9232741449886775,0.0,nan,nan,1.3059435441072131,c30d562fd6876cd19be5a451c5de8b2d
3.430508474576271,0.9213302365745449,0.0,0.9213302365745449,0.9213302365745449,0.0,0.9209954594959038,0.0,nan,nan,1.3027210143536405,ae39c6f0e90209c4eb2de3863d31002e
3.5296610169491522,0.9190515768314989,0.0,0.9190515768314989,0.9190515768314989,0.0,0.9187167755662873,0.0,nan,nan,1.2994984857949547,b8a17440a1e42fa8c2867d3f3075e0b8
3.6288135593220336,0.9167729172045893,0.0,0.9167729172045893,0.9167729172045893,0.0,0.9164380930719025,0.0,nan,nan,1.2962759583333627,1169bb92be84c89d37be5e30d277a8c4
3.727966101694915,0.914494257684527,0.0,0.914494257684527,0.914494257684527,0.0,0.9141594118984124,0.0,nan,nan,1.2930534318814615,674cd9952feefcfaae92b30eb561ca75
