K,rho1,ang1,rho2,ang2,rho3,ang3
0.810000000,0.999925649,0.082216486,0.999905414,0.101116282,0.996437457,0.082504952
0.810019002,0.999925749,0.082217448,0.999905534,0.101117463,0.996437516,0.082505921
0.810038004,0.999925849,0.082218410,0.999905653,0.101118644,0.996437575,0.082506890
0.810057006,0.999925948,0.082219372,0.999905773,0.101119825,0.996437635,0.082507858
0.810076008,0.999926048,0.082220334,0.999905893,0.101121006,0.996437694,0.082508827
0.810095010,0.999926148,0.082221297,0.999906013,0.101122187,0.996437753,0.082509796
0.810114011,0.999926248,0.082222259,0.999906133,0.101123368,0.996437813,0.082510765
0.810133013,0.999926348,0.082223221,0.999906252,0.101124549,0.996437872,0.082511734
0.810152015,0.999926447,0.082224183,0.999906372,0.101125730,0.996437931,0.082512703
0.810171017,0.999926547,0.082225145,0.999906492,0.101126911,0.996437991,0.082513671
0.810190019,0.999926647,0.082226107,0.999906612,0.101128092,0.996438050,0.082514640
0.810209021,0.999926747,0.082227069,0.999906732,0.101129273,0.996438109,0.082515609
0.810228023,0.999926847,0.082228031,0.999906852,0.101130454,0.996438169,0.082516578
0.810247025,0.999926946,0.082228993,0.999906971,0.101131635,0.996438228,0.082517547
0.810266027,0.999927046,0.082229955,0.999907091,0.101132816,0.996438287,0.082518515
0.810285029,0.999927146,0.082230917,0.999907211,0.101133997,0.996438347,0.082519484
0.810304030,0.999927246,0.082231879,0.999907331,0.101135178,0.996438406,0.082520453
0.810323032,0.999927345,0.082232841,0.999907451,0.101136359,0.996438465,0.082521422
0.810342034,0.999927445,0.082233803,0.999907571,0.101137539,0.996438525,0.082522390
0.810361036,0.999927545,0.082234765,0.999907690,0.101138720,0.996438584,0.082523359
0.810380038,0.999927645,0.082235727,0.999907810,0.101139901,0.996438643,0.082524328
0.810399040,0.999927745,0.082236689,0.999907930,0.101141082,0.996438703,0.082525296
0.810418042,0.999927844,0.082237651,0.999908050,0.101142263,0.996438762,0.082526265
0.810437044,0.999927944,0.082238613,0.999908170,0.101143444,0.996438821,0.082527234
0.810456046,0.999928044,0.082239575,0.999908290,0.101144624,0.996438880,0.082528202
