K,rho,angle,F_triangle,r(theta*),type
1.7516666666666667,0.9848857801796108,0.1441956587208123,-2.0943951023931957,0.9996077736482271,complex
1.7533333333333334,0.9848857801796111,0.14426344776358935,-2.0943951023931957,0.9996085093361886,complex
1.755,0.9848857801796101,0.14433120491918816,-2.0943951023931957,0.9996092429552501,complex
1.7566666666666666,0.984885780179611,0.14439893023324699,-2.0943951023931957,0.9996099745131654,complex
1.7583333333333333,0.9848857801796104,0.14446662375129488,-2.0943951023931957,0.9996107040176518,complex
1.76,0.9848857801796104,0.14453428551875147,-2.0943951023931957,0.9996114314763913,complex
1.7616666666666667,0.9848857801796105,0.1446019155809278,-2.0943951023931957,0.9996121568970292,complex
1.7633333333333334,0.98488578017961,0.14466951398302683,-2.0943951023931957,0.9996128802871755,complex
1.7650000000000001,0.9848857801796108,0.14473708077014305,-2.0943951023931957,0.9996136016544043,complex
1.7666666666666666,0.984885780179611,0.14480461598726388,-2.0943951023931957,0.9996143210062547,complex
1.7683333333333333,0.98488578017961,0.14487211967926908,-2.0943951023931957,0.9996150383502309,complex
1.77,0.9848857801796107,0.14493959189093167,-2.0943951023931957,0.999615753693802,complex
1.7716666666666667,0.9848857801796105,0.14500703266691836,-2.0943951023931957,0.9996164670444019,complex
1.7733333333333334,0.9848857801796108,0.1450744420517893,-2.0943951023931957,0.999617178409431,complex
1.775,0.9848857801796111,0.145141820089999,-2.0943951023931957,0.9996178877962543,complex
1.7766666666666666,0.9848857801796114,0.1452091668258966,-2.0943951023931957,0.9996185952122032,complex
1.7783333333333333,0.9848857801796104,0.14527648230372608,-2.0943951023931957,0.9996193006645756,complex
1.78,0.9848857801796109,0.14534376656762657,-2.0943951023931957,0.9996200041606347,complex
1.7816666666666667,0.9848857801796104,0.1454110196616328,-2.0943951023931957,0.9996207057076104,complex
1.7833333333333334,0.9848857801796109,0.14547824162967554,-2.0943951023931957,0.9996214053126999,complex
1.7850000000000001,0.9848857801796109,0.14554543251558183,-2.0943951023931957,0.9996221029830666,complex
1.7866666666666666,0.9848857801796099,0.14561259236307525,-2.0943951023931957,0.9996227987258408,complex
1.7883333333333333,0.9848857801796108,0.1456797212157764,-2.0943951023931957,0.9996234925481202,complex
1.79,0.984885780179611,0.14574681911720322,-2.0943951023931957,0.9996241844569697,complex
1.7916666666666667,0.9848857801796107,0.14581388611077134,-2.0943951023931957,0.999624874459422,complex
1.7933333333333334,0.9848857801796107,0.14588092223979415,-2.0943951023931957,0.9996255625624771,complex
1.795,0.9848857801796106,0.1459479275474837,-2.0943951023931957,0.9996262487731036,complex
1.7966666666666666,0.9848857801796105,0.14601490207695056,-2.0943951023931957,0.999626933098237,complex
1.7983333333333333,0.9848857801796109,0.1460818458712042,-2.0943951023931957,0.9996276155447822,complex
1.8,0.9848857801796108,0.14614875897315355,-2.0943951023931957,0.9996282961196119,complex
1.8016666666666667,0.9848857801796109,0.14621564142560728,-2.0943951023931957,0.9996289748295674,complex
1.8033333333333335,0.984885780179611,0.14628249327127377,-2.0943951023931957,0.9996296516814588,complex
1.8050000000000002,0.98488578017961,0.14634931455276207,-2.0943951023931957,0.9996303266820654,complex
1.8066666666666666,0.9848857801796103,0.14641610531258162,-2.0943951023931957,0.9996309998381353,complex
