K,rho1,ang1,rho2,ang2,rho3,ang3
0.700000000,0.999666689,0.096663142,0.999630323,0.076334372,0.996201680,0.076597607
0.700005000,0.999666722,0.096663486,0.999630349,0.076334644,0.996201695,0.076597881
0.700010001,0.999666756,0.096663830,0.999630376,0.076334916,0.996201710,0.076598155
0.700015001,0.999666789,0.096664174,0.999630403,0.076335189,0.996201725,0.076598430
0.700020001,0.999666822,0.096664518,0.999630430,0.076335461,0.996201739,0.076598704
0.700025001,0.999666856,0.096664862,0.999630457,0.076335733,0.996201754,0.076598978
0.700030002,0.999666889,0.096665206,0.999630484,0.076336006,0.996201769,0.076599252
0.700035002,0.999666922,0.096665550,0.999630511,0.076336278,0.996201784,0.076599526
0.700040002,0.999666956,0.096665894,0.999630538,0.076336550,0.996201799,0.076599800
0.700045002,0.999666989,0.096666238,0.999630565,0.076336822,0.996201814,0.076600074
0.700050003,0.999667022,0.096666582,0.999630592,0.076337095,0.996201828,0.076600349
0.700055003,0.999667056,0.096666926,0.999630619,0.076337367,0.996201843,0.076600623
0.700060003,0.999667089,0.096667270,0.999630646,0.076337639,0.996201858,0.076600897
0.700065003,0.999667122,0.096667614,0.999630673,0.076337911,0.996201873,0.076601171
0.700070004,0.999667156,0.096667958,0.999630700,0.076338184,0.996201888,0.076601445
0.700075004,0.999667189,0.096668302,0.999630727,0.076338456,0.996201902,0.076601719
0.700080004,0.999667222,0.096668646,0.999630754,0.076338728,0.996201917,0.076601993
0.700085004,0.999667256,0.096668990,0.999630781,0.076339000,0.996201932,0.076602268
0.700090005,0.999667289,0.096669334,0.999630808,0.076339273,0.996201947,0.076602542
0.700095005,0.999667322,0.096669678,0.999630835,0.076339545,0.996201962,0.076602816
0.700100005,0.999667356,0.096670022,0.999630862,0.076339817,0.996201977,0.076603090
0.700105005,0.999667389,0.096670366,0.999630888,0.076340090,0.996201991,0.076603364
0.700110006,0.999667423,0.096670710,0.999630915,0.076340362,0.996202006,0.076603638
0.700115006,0.999667456,0.096671054,0.999630942,0.076340634,0.996202021,0.076603912
0.700120006,0.999667489,0.096671398,0.999630969,0.076340906,0.996202036,0.076604186
0.700125006,0.999667523,0.096671742,0.999630996,0.076341179,0.996202051,0.076604461
0.700130007,0.999667556,0.096672086,0.999631023,0.076341451,0.996202066,0.076604735
0.700135007,0.999667589,0.096672430,0.999631050,0.076341723,0.996202080,0.076605009
0.700140007,0.999667623,0.096672774,0.999631077,0.076341995,0.996202095,0.076605283
0.700145007,0.999667656,0.096673118,0.999631104,0.076342268,0.996202110,0.076605557
0.700150008,0.999667689,0.096673462,0.999631131,0.076342540,0.996202125,0.076605831
0.700155008,0.999667723,0.096673806,0.999631158,0.076342812,0.996202140,0.076606105
0.700160008,0.999667756,0.096674150,0.999631185,0.076343084,0.996202155,0.076606379
0.700165008,0.999667789,0.096674494,0.999631212,0.076343357,0.996202169,0.076606654
0.700170009,0.999667823,0.096674838,0.999631239,0.076343629,0.996202184,0.076606928
0.700175009,0.999667856,0.096675182,0.999631266,0.076343901,0.996202199,0.076607202
0.700180009,0.999667889,0.096675526,0.999631293,0.076344173,0.996202214,0.076607476
0.700185009,0.999667923,0.096675870,0.999631320,0.076344446,0.996202229,0.076607750
0.700190010,0.999667956,0.096676214,0.999631347,0.076344718,0.996202244,0.076608024
0.700195010,0.999667989,0.096676558,0.999631374,0.076344990,0.996202258,0.076608298
0.700200010,0.999668023,0.096676901,0.999631400,0.076345262,0.996202273,0.076608572
0.700205010,0.999668056,0.096677245,0.999631427,0.076345535,0.996202288,0.076608846
0.700210011,0.999668089,0.096677589,0.999631454,0.076345807,0.996202303,0.076609121
0.700215011,0.999668123,0.096677933,0.999631481,0.076346079,0.996202318,0.076609395
0.700220011,0.999668156,0.096678277,0.999631508,0.076346351,0.996202333,0.076609669
0.700225011,0.999668189,0.096678621,0.999631535,0.076346623,0.996202347,0.076609943
0.700230012,0.999668223,0.096678965,0.999631562,0.076346896,0.996202362,0.076610217
0.700235012,0.999668256,0.096679309,0.999631589,0.076347168,0.996202377,0.076610491
0.700240012,0.999668290,0.096679653,0.999631616,0.076347440,0.996202392,0.076610765
0.700245012,0.999668323,0.096679997,0.999631643,0.076347712,0.996202407,0.076611039
0.700250013,0.999668356,0.096680341,0.999631670,0.076347985,0.996202421,0.076611313
0.700255013,0.999668390,0.096680685,0.999631697,0.076348257,0.996202436,0.076611587
0.700260013,0.999668423,0.096681029,0.999631724,0.076348529,0.996202451,0.076611862
0.700265013,0.999668456,0.096681373,0.999631751,0.076348801,0.996202466,0.076612136
0.700270014,0.999668490,0.096681717,0.999631778,0.076349074,0.996202481,0.076612410
0.700275014,0.999668523,0.096682061,0.999631805,0.076349346,0.996202496,0.076612684
0.700280014,0.999668556,0.096682405,0.999631832,0.076349618,0.996202510,0.076612958
0.700285014,0.999668590,0.096682749,0.999631859,0.076349890,0.996202525,0.076613232
0.700290015,0.999668623,0.096683093,0.999631886,0.076350162,0.996202540,0.076613506
0.700295015,0.999668656,0.096683437,0.999631912,0.076350435,0.996202555,0.076613780
0.700300015,0.999668690,0.096683781,0.999631939,0.076350707,0.996202570,0.076614054
0.700305015,0.999668723,0.096684125,0.999631966,0.076350979,0.996202585,0.076614328
0.700310016,0.999668756,0.096684468,0.999631993,0.076351251,0.996202599,0.076614603
0.700315016,0.999668790,0.096684812,0.999632020,0.076351524,0.996202614,0.076614877
0.700320016,0.999668823,0.096685156,0.999632047,0.076351796,0.996202629,0.076615151
0.700325016,0.999668856,0.096685500,0.999632074,0.076352068,0.996202644,0.076615425
0.700330017,0.999668890,0.096685844,0.999632101,0.076352340,0.996202659,0.076615699
0.700335017,0.999668923,0.096686188,0.999632128,0.076352612,0.996202674,0.076615973
0.700340017,0.999668956,0.096686532,0.999632155,0.076352885,0.996202688,0.076616247
0.700345017,0.999668990,0.096686876,0.999632182,0.076353157,0.996202703,0.076616521
0.700350018,0.999669023,0.096687220,0.999632209,0.076353429,0.996202718,0.076616795
