K,rho1,ang1,rho2,ang2,rho3,ang3
0.000130000,0.999908735,0.000001662,0.999886792,0.000000000,0.990117208,0.000000000
0.000410508,0.999705780,0.000005476,0.999633099,0.000000000,0.990370901,0.000000000
0.000691015,0.999493668,0.000009655,0.999364679,0.000000000,0.990639321,0.000000000
0.000971523,0.999271036,0.000014286,0.999078623,0.000000000,0.990925377,0.000000000
0.001252030,0.999036144,0.000019487,0.998770917,0.000000000,0.991233083,0.000000000
0.001532538,0.998786714,0.000025431,0.998435748,0.000000000,0.991568252,0.000000000
0.001813045,0.998519661,0.000032379,0.998064109,0.000000000,0.991939891,0.000000000
0.002093553,0.998230625,0.000040747,0.997640635,0.000000000,0.992363365,0.000000000
0.002374060,0.997913093,0.000051263,0.997134670,0.000000000,0.992869330,0.000000000
0.002654568,0.997556520,0.000065345,0.996462879,0.000000000,0.993541121,0.000000000
0.002935075,0.997141674,0.000086294,0.995002141,0.000531757,0.992862333,0.000086666
0.003215583,0.996625490,0.000124665,0.995003354,0.001649603,0.993378525,0.000125073
0.003496090,0.995859444,0.000256838,0.995004567,0.002271476,0.994144621,0.000257281
0.003776598,0.995208610,0.001155845,0.995005780,0.002756449,0.994796720,0.001156324
0.004057105,0.995144776,0.001811917,0.995006993,0.003168029,0.994862492,0.001812431
0.004337613,0.995123976,0.002290665,0.995008206,0.003531968,0.994885246,0.002291215
0.004618120,0.995113971,0.002685975,0.995009419,0.003861759,0.994897209,0.002686560
0.004898628,0.995108470,0.003030334,0.995010632,0.004165520,0.994904669,0.003030955
0.005179135,0.995105313,0.003339449,0.995011846,0.004448587,0.994909786,0.003340106
0.005459643,0.995103540,0.003622321,0.995013059,0.004714688,0.994913519,0.003623013
0.005740151,0.995102655,0.003884671,0.995014272,0.004966552,0.994916363,0.003885398
0.006020658,0.995102374,0.004130404,0.995015485,0.005206244,0.994918604,0.004131167
0.006301166,0.995102523,0.004362324,0.995016698,0.005435376,0.994920416,0.004363123
0.006581673,0.995102986,0.004582527,0.995017911,0.005655231,0.994921913,0.004583361
0.006862181,0.995103687,0.004792627,0.995019124,0.005866853,0.994923172,0.004793497
0.007142688,0.995104570,0.004993897,0.995020337,0.006071102,0.994924249,0.004994802
0.007423196,0.995105596,0.005187366,0.995021550,0.006268698,0.994925184,0.005188306
0.007703703,0.995106735,0.005373874,0.995022764,0.006460253,0.994926004,0.005374850
0.007984211,0.995107966,0.005554123,0.995023977,0.006646289,0.994926734,0.005555135
0.008264718,0.995109271,0.005728704,0.995025190,0.006827257,0.994927389,0.005729751
0.008545226,0.995110637,0.005898120,0.995026403,0.007003550,0.994927984,0.005899203
0.008825733,0.995112053,0.006062803,0.995027616,0.007175512,0.994928528,0.006063921
0.009106241,0.995113510,0.006223129,0.995028829,0.007343448,0.994929031,0.006224283
0.009386748,0.995115002,0.006379427,0.995030042,0.007507628,0.994929500,0.006380617
0.009667256,0.995116523,0.006531986,0.995031255,0.007668293,0.994929940,0.006533211
0.009947763,0.995118068,0.006681062,0.995032468,0.007825660,0.994930355,0.006682322
0.010228271,0.995119633,0.006826882,0.995033681,0.007979924,0.994930750,0.006828178
0.010508778,0.995121215,0.006969652,0.995034894,0.008131260,0.994931128,0.006970984
0.010789286,0.995122812,0.007109555,0.995036107,0.008279831,0.994931492,0.007110922
0.011069793,0.995124421,0.007246756,0.995037321,0.008425782,0.994931843,0.007248159
0.011350301,0.995126040,0.007381408,0.995038534,0.008569247,0.994932185,0.007382846
0.011630809,0.995127667,0.007513646,0.995039747,0.008710349,0.994932518,0.007515120
0.011911316,0.995129302,0.007643596,0.995040960,0.008849201,0.994932844,0.007645105
0.012191824,0.995130942,0.007771373,0.995042173,0.008985907,0.994933164,0.007772918
0.012472331,0.995132586,0.007897082,0.995043386,0.009120564,0.994933480,0.007898663
0.012752839,0.995134235,0.008020821,0.995044599,0.009253261,0.994933792,0.008022437
0.013033346,0.995135887,0.008142678,0.995045812,0.009384082,0.994934100,0.008144330
0.013313854,0.995137540,0.008262739,0.995047025,0.009513103,0.994934407,0.008264426
0.013594361,0.995139196,0.008381079,0.995048238,0.009640397,0.994934712,0.008382801
0.013874869,0.995140853,0.008497770,0.995049451,0.009766032,0.994935016,0.008499529
0.014155376,0.995142510,0.008612881,0.995050664,0.009890070,0.994935319,0.008614674
0.014435884,0.995144168,0.008726472,0.995051877,0.010012572,0.994935621,0.008728301
0.014716391,0.995145825,0.008838603,0.995053090,0.010133592,0.994935924,0.008840468
0.014996899,0.995147482,0.008949329,0.995054303,0.010253184,0.994936227,0.008951229
0.015277406,0.995149139,0.009058701,0.995055517,0.010371396,0.994936531,0.009060637
0.015557914,0.995150794,0.009166767,0.995056730,0.010488276,0.994936836,0.009168739
0.015838421,0.995152449,0.009273574,0.995057943,0.010603867,0.994937142,0.009275581
0.016118929,0.995154102,0.009379164,0.995059156,0.010718212,0.994937449,0.009381206
0.016399436,0.995155754,0.009483578,0.995060369,0.010831349,0.994937758,0.009485656
0.016679944,0.995157404,0.009586854,0.995061582,0.010943316,0.994938068,0.009588968
0.016960452,0.995159052,0.009689029,0.995062795,0.011054148,0.994938381,0.009691178
0.017240959,0.995160698,0.009790138,0.995064008,0.011163880,0.994938695,0.009792322
0.017521467,0.995162343,0.009890212,0.995065221,0.011272543,0.994939010,0.009892432
0.017801974,0.995163985,0.009989283,0.995066434,0.011380169,0.994939328,0.009991539
0.018082482,0.995165626,0.010087381,0.995067647,0.011486786,0.994939648,0.010089672
0.018362989,0.995167264,0.010184533,0.995068860,0.011592422,0.994939971,0.010186860
0.018643497,0.995168900,0.010280767,0.995070073,0.011697103,0.994940295,0.010283130
0.018924004,0.995170533,0.010376108,0.995071286,0.011800856,0.994940622,0.010378506
0.019204512,0.995172164,0.010470581,0.995072499,0.011903704,0.994940951,0.010473014
0.019485019,0.995173793,0.010564208,0.995073712,0.012005671,0.994941282,0.010566677
0.019765527,0.995175420,0.010657012,0.995074925,0.012106779,0.994941616,0.010659517
0.020046034,0.995177044,0.010749015,0.995076138,0.012207049,0.994941952,0.010751555
0.020326542,0.995178666,0.010840236,0.995077351,0.012306502,0.994942291,0.010842812
0.020607049,0.995180285,0.010930696,0.995078564,0.012405157,0.994942632,0.010933307
0.020887557,0.995181902,0.011020412,0.995079777,0.012503033,0.994942975,0.011023059
0.021168064,0.995183517,0.011109404,0.995080990,0.012600149,0.994943321,0.011112086
0.021448572,0.995185128,0.011197688,0.995082203,0.012696522,0.994943670,0.011200406
0.021729079,0.995186738,0.011285281,0.995083416,0.012792168,0.994944021,0.011288035
0.022009587,0.995188345,0.011372199,0.995084629,0.012887104,0.994944374,0.011374988
0.022290095,0.995189950,0.011458458,0.995085842,0.012981346,0.994944730,0.011461282
0.022570602,0.995191552,0.011544071,0.995087055,0.013074908,0.994945088,0.011546931
0.022851110,0.995193151,0.011629054,0.995088268,0.013167805,0.994945449,0.011631949
0.023131617,0.995194749,0.011713420,0.995089481,0.013260050,0.994945812,0.011716351
0.023412125,0.995196343,0.011797182,0.995090694,0.013351659,0.994946177,0.011800148
0.023692632,0.995197936,0.011880353,0.995091908,0.013442642,0.994946545,0.011883355
0.023973140,0.995199526,0.011962946,0.995093121,0.013533014,0.994946916,0.011965983
0.024253647,0.995201113,0.012044971,0.995094334,0.013622786,0.994947288,0.012048044
0.024534155,0.995202699,0.012126442,0.995095547,0.013711970,0.994947664,0.012129551
0.024814662,0.995204281,0.012207369,0.995096760,0.013800577,0.994948041,0.012210513
0.025095170,0.995205862,0.012287762,0.995097973,0.013888619,0.994948421,0.012290941
0.025375677,0.995207440,0.012367632,0.995099186,0.013976106,0.994948803,0.012370847
0.025656185,0.995209016,0.012446990,0.995100399,0.014063048,0.994949188,0.012450240
0.025936692,0.995210589,0.012525844,0.995101612,0.014149456,0.994949575,0.012529130
0.026217200,0.995212160,0.012604205,0.995102825,0.014235339,0.994949964,0.012607526
0.026497707,0.995213729,0.012682081,0.995104038,0.014320707,0.994950355,0.012685438
0.026778215,0.995215296,0.012759481,0.995105251,0.014405568,0.994950749,0.012762874
0.027058722,0.995216860,0.012836414,0.995106464,0.014489933,0.994951145,0.012839843
0.027339230,0.995218422,0.012912889,0.995107677,0.014573808,0.994951543,0.012916353
0.027619737,0.995219982,0.012988913,0.995108890,0.014657204,0.994951943,0.012992413
0.027900245,0.995221540,0.013064495,0.995110102,0.014740127,0.994952346,0.013068030
0.028180753,0.995223096,0.013139641,0.995111315,0.014822586,0.994952751,0.013143211
0.028461260,0.995224649,0.013214360,0.995112528,0.014904589,0.994953158,0.013217966
0.028741768,0.995226200,0.013288658,0.995113741,0.014986143,0.994953567,0.013292299
0.029022275,0.995227750,0.013362542,0.995114954,0.015067255,0.994953978,0.013366220
0.029302783,0.995229297,0.013436021,0.995116167,0.015147932,0.994954391,0.013439733
0.029583290,0.995230842,0.013509099,0.995117380,0.015228182,0.994954806,0.013512847
0.029863798,0.995232384,0.013581783,0.995118593,0.015308011,0.994955224,0.013585567
0.030144305,0.995233925,0.013654081,0.995119806,0.015387425,0.994955643,0.013657900
0.030424813,0.995235464,0.013725997,0.995121019,0.015466432,0.994956065,0.013729852
0.030705320,0.995237001,0.013797538,0.995122232,0.015545037,0.994956488,0.013801428
0.030985828,0.995238536,0.013868710,0.995123445,0.015623245,0.994956914,0.013872636
0.031266335,0.995240069,0.013939518,0.995124658,0.015701065,0.994957341,0.013943479
0.031546843,0.995241599,0.014009968,0.995125871,0.015778500,0.994957770,0.014013965
0.031827350,0.995243128,0.014080065,0.995127084,0.015855556,0.994958202,0.014084097
0.032107858,0.995244655,0.014149814,0.995128297,0.015932240,0.994958635,0.014153882
0.032388365,0.995246180,0.014219221,0.995129510,0.016008556,0.994959070,0.014223325
0.032668873,0.995247704,0.014288291,0.995130723,0.016084510,0.994959508,0.014292430
0.032949380,0.995249225,0.014357028,0.995131936,0.016160107,0.994959947,0.014361203
0.033229888,0.995250744,0.014425437,0.995133149,0.016235351,0.994960387,0.014429647
