detuning,r_mean,F_triangle
0.0,0.8440296287459856,-2.0943951023931953
0.005,0.8427858803800934,-2.0943951023931957
0.01,0.8415408486408987,-2.0943951023931944
0.015,0.8402945218501142,-2.094395102393194
0.02,0.8390468882988533,-2.0943951023931953
0.025,0.8377979362458616,-2.0943951023931944
0.03,0.8365476539157621,-2.0943951023931953
0.035,0.8352960294973119,-2.0943951023931953
0.04,0.8340430511416645,-2.094395102393195
0.045,0.8327887069606432,-2.0943951023931944
0.05,0.8315329850250173,-2.094395102393194
