K,r_mean,F_cycle0
0.2,0.8440296287459852,-2.0943951023931953
0.35333333333333333,0.8440296287459852,-2.094395102393195
0.5066666666666666,0.8440296287459856,-2.0943951023931957
0.6599999999999999,0.8440296287459856,-2.0943951023931957
0.8133333333333332,0.8440296287459856,-2.0943951023931953
0.9666666666666666,0.8440296287459856,-2.0943951023931957
1.1199999999999999,0.8440296287459856,-2.0943951023931957
1.2733333333333332,0.8440296287459856,-2.0943951023931957
1.4266666666666665,0.8440296287459855,-2.0943951023931953
1.5799999999999998,0.8440296287459855,-2.0943951023931953
1.7333333333333332,0.8440296287459855,-2.0943951023931953
1.8866666666666665,0.8275155578886345,-2.0943951023931953
2.04,0.8119863361709646,-2.0943951023931953
2.1933333333333334,0.7225732701985023,-2.0943951023931957
2.3466666666666667,0.6921799880965928,-2.0943951023931957
2.5,0.7575059273135352,-2.094395102393195
