detuning_amp,r_mean,r_std,F_triangle
0.0,0.8440296287459857,2.220446049250313e-16,-2.0943951023931953
0.0005,0.8441991320040501,1.5700924586837752e-16,-2.0943951023931953
0.001,0.8443686116438975,0.0,-2.0943951023931953
0.002,0.8447075001868939,2.220446049250313e-16,-2.0943951023931953
0.003,0.8450462946107837,0.0,-2.0943951023931953
0.005,0.8457236020437724,4.002966042486721e-16,-2.0943951023931953
