F_target,r_mean,F_measured,0.5Tr(H),cos(F/2)
-3.141592653589793,0.6666666666666666,-3.1415926535897922,5.053215498074303e-16,5.053215498074303e-16
-2.6179938779914944,0.5613467622171127,2.617993877991495,0.2588190451025205,0.2588190451025205
-2.0943951023931957,0.449098785111287,2.0943951023931957,0.4999999999999999,0.4999999999999999
-1.5707963267948966,0.9106836025229589,1.5707963267948966,0.7071067811865476,0.7071067811865476
-1.0471975511965979,0.931360377855124,1.0471975511965974,0.8660254037844387,0.8660254037844387
-0.5235987755982991,0.9278775009261144,0.5235987755983,0.9659258262890681,0.9659258262890681
0.0,0.9241923305678444,4.440892098500626e-16,1.0,1.0
0.5235987755982987,0.9243417227512291,-0.5235987755982983,0.9659258262890683,0.9659258262890683
1.0471975511965974,0.9313603778551203,-1.0471975511965983,0.8660254037844385,0.8660254037844385
1.5707963267948966,0.9106836025229592,-1.5707963267948966,0.7071067811865476,0.7071067811865476
2.094395102393195,0.8440296287459855,-2.094395102393194,0.5000000000000007,0.5000000000000007
2.617993877991494,0.7618584064576929,-2.617993877991493,0.2588190451025214,0.2588190451025214
3.141592653589793,0.6666666666666666,-3.1415926535897927,2.83276944882399e-16,2.83276944882399e-16
