K,r_mean,F_mean,rho_max,angle,kind
1.3,0.9999665001743308,-2.0943951023931957,1.338735921803971,3.141592653589793,flip
1.3012987012987014,0.999966317871654,-2.0943951023931957,1.3366029814067908,3.141592653589793,flip
1.3025974025974025,0.9999661342883551,-2.0943951023931957,1.334472078649839,3.141592653589793,flip
1.3038961038961039,0.9999659494131787,-2.0943951023931957,1.3323432387564085,3.141592653589793,flip
1.3051948051948052,0.9999657632347541,-2.0943951023931957,1.3302164866399298,3.141592653589793,flip
1.3064935064935066,0.9999655757415916,-2.0943951023931957,1.3280918469110914,3.141592653589793,flip
1.3077922077922077,0.9999653869220827,-2.0943951023931957,1.3259693438848248,3.141592653589793,flip
1.309090909090909,0.9999651967644986,-2.0943951023931957,1.3238490015870765,3.141592653589793,flip
1.3103896103896104,0.9999650052569888,-2.0943951023931957,1.32173084376143,3.141592653589793,flip
1.3116883116883118,0.9999648123875783,-2.0943951023931957,1.3196148938755412,3.141592653589793,flip
1.312987012987013,0.9999646181441675,-2.0943951023931957,1.3175011751274008,3.141592653589793,flip
1.3142857142857143,0.999964422514531,-2.0943951023931957,1.315389710451458,3.141592653589793,flip
1.3155844155844156,0.9999642254863141,-2.0943951023931957,1.313280522524569,3.141592653589793,flip
1.316883116883117,0.9999640270470336,-2.0943951023931957,1.3111736337718036,3.141592653589793,flip
1.3181818181818181,0.9999638271840752,-2.0943951023931957,1.3090690663721045,3.141592653589793,flip
1.3194805194805195,0.9999636258846911,-2.0943951023931957,1.306966842263804,3.141592653589793,flip
1.3207792207792208,0.9999634231360011,-2.0943951023931957,1.0821494451250213,0.7928714483787536,complex
1.3220779220779222,0.9999632189249865,-2.0943951023931957,1.0843449505140716,0.7893956512987396,complex
1.3233766233766233,0.9999630132384929,-2.0943951023931957,1.086550101407227,0.7859338256706776,complex
1.3246753246753247,0.9999628060632262,-2.0943951023931957,1.088764909146572,0.7824859358804148,complex
1.325974025974026,0.9999625973857521,-2.0943951023931957,1.0909893834612219,0.7790519467801845,complex
1.3272727272727274,0.9999623871924923,-2.0943951023931957,1.0932235325032242,0.7756318236546511,complex
1.3285714285714285,0.9999621754697254,-2.0943951023931957,1.0954673628823615,0.7722255321879157,complex
1.3298701298701299,0.9999619622035835,-2.0943951023931957,1.097720879699969,0.7688330384314813,complex
1.3311688311688312,0.9999617473800503,-2.0943951023931957,1.0999840865817583,0.7654543087731551,complex
1.3324675324675326,0.9999615309849622,-2.0943951023931957,1.1022569857097477,0.7620893099068712,complex
1.3337662337662337,0.9999613130040005,-2.0943951023931957,1.1045395778533387,0.758738008803409,complex
1.335064935064935,0.9999610934226956,-2.0943951023931957,1.106831862399547,0.7554003726820127,complex
1.3363636363636364,0.9999608722264227,-2.0943951023931957,1.1091338373824924,0.7520763689828689,complex
1.3376623376623376,0.9999606494003991,-2.0943951023931957,1.1114454995121408,0.7487659653404549,complex
1.338961038961039,0.999960424929683,-2.0943951023931957,1.1137668442023583,0.7454691295577182,complex
1.3402597402597403,0.9999601987991716,-2.0943951023931957,1.1160978655983047,0.7421858295810827,complex
1.3415584415584416,0.9999599709936005,-2.0943951023931957,1.1184385566032082,0.7389160334762818,complex
1.3428571428571427,0.9999597414975376,-2.0943951023931957,1.1207889089045442,0.7356597094049688,complex
1.344155844155844,0.9999595102953867,-2.0943951023931957,1.1231489129996732,0.7324168256021237,complex
1.3454545454545455,0.9999592773713807,-2.0943951023931957,1.1255185582209117,0.7291873503542231,complex
1.3467532467532468,0.9999590427095815,-2.0943951023931957,1.1278978327601457,0.7259712519781663,complex
1.348051948051948,0.9999588062938783,-2.0943951023931957,1.1302867236929264,0.7227684988009481,complex
1.3493506493506493,0.9999585681079841,-2.0943951023931957,1.1326852170021395,0.7195790591400477,complex
1.3506493506493507,0.9999583281354347,-2.0943951023931957,1.1350932976012182,0.7164029012845523,complex
1.351948051948052,0.9999580863595856,-2.0943951023931957,1.137510949356976,0.7132399934769519,complex
1.3532467532467531,0.9999578427636107,-2.0943951023931957,1.139938155112017,0.7100903038956565,complex
1.3545454545454545,0.9999575973304995,-2.0943951023931957,1.142374896706808,0.7069538006381612,complex
1.3558441558441559,0.9999573500430542,-2.0943951023931957,1.1448211550013614,0.7038304517048957,complex
1.3571428571428572,0.9999571008838879,-2.0943951023931957,1.147276909896609,0.7007202249837113,complex
1.3584415584415583,0.9999568498354227,-2.0943951023931957,1.1497421403554466,0.6976230882350082,complex
1.3597402597402597,0.9999565968798876,-2.0943951023931957,1.1522168244234599,0.6945390090774913,complex
1.361038961038961,0.9999563419993137,-2.0943951023931957,1.1547009392493663,0.6914679549745482,complex
1.3623376623376624,0.9999560851755342,-2.0943951023931957,1.1571944611051777,0.6884098932212155,complex
1.3636363636363635,0.9999558263901809,-2.0943951023931957,1.1596973654060838,0.6853647909317431,complex
1.364935064935065,0.9999555656246821,-2.0943951023931957,1.162209626730087,0.6823326150277372,complex
1.3662337662337662,0.9999553028602589,-2.0943951023931957,1.1647312188373857,0.679313332226875,complex
1.3675324675324676,0.9999550380779246,-2.0943951023931957,1.1672621146895117,0.6763069090321694,complex
1.3688311688311687,0.9999547712584798,-2.0943951023931957,1.1698022864682458,0.673313311721781,complex
1.37012987012987,0.9999545023825107,-2.0943951023931957,1.1723517055943047,0.6703325063393673,complex
1.3714285714285714,0.9999542314303873,-2.0943951023931957,1.1749103427458285,0.6673644586849523,complex
1.3727272727272726,0.9999539583822589,-2.0943951023931957,1.1774781678766353,0.6644091343063062,complex
