K,rho1,ang1,rho2,ang2,rho3,ang3
0.700000000,0.999450545,0.075270707,0.999342081,0.093253304,0.996218556,0.075515369
0.700010001,0.999450597,0.075271245,0.999342143,0.093253968,0.996218585,0.075515910
0.700020001,0.999450649,0.075271782,0.999342205,0.093254632,0.996218614,0.075516451
0.700030002,0.999450701,0.075272319,0.999342267,0.093255296,0.996218644,0.075516991
0.700040002,0.999450753,0.075272856,0.999342329,0.093255960,0.996218673,0.075517532
0.700050003,0.999450805,0.075273393,0.999342391,0.093256625,0.996218702,0.075518072
0.700060003,0.999450857,0.075273930,0.999342453,0.093257289,0.996218731,0.075518613
0.700070004,0.999450909,0.075274467,0.999342515,0.093257953,0.996218760,0.075519154
0.700080004,0.999450961,0.075275004,0.999342577,0.093258617,0.996218790,0.075519694
0.700090005,0.999451013,0.075275542,0.999342639,0.093259281,0.996218819,0.075520235
0.700100005,0.999451065,0.075276079,0.999342701,0.093259945,0.996218848,0.075520775
0.700110006,0.999451117,0.075276616,0.999342763,0.093260610,0.996218877,0.075521316
0.700120006,0.999451169,0.075277153,0.999342826,0.093261274,0.996218906,0.075521857
0.700130007,0.999451221,0.075277690,0.999342888,0.093261938,0.996218936,0.075522397
0.700140007,0.999451273,0.075278227,0.999342950,0.093262602,0.996218965,0.075522938
0.700150008,0.999451325,0.075278764,0.999343012,0.093263266,0.996218994,0.075523478
0.700160008,0.999451377,0.075279301,0.999343074,0.093263930,0.996219023,0.075524019
0.700170009,0.999451429,0.075279838,0.999343136,0.093264594,0.996219052,0.075524559
0.700180009,0.999451481,0.075280375,0.999343198,0.093265258,0.996219082,0.075525100
0.700190010,0.999451533,0.075280913,0.999343260,0.093265922,0.996219111,0.075525640
0.700200010,0.999451585,0.075281450,0.999343322,0.093266587,0.996219140,0.075526181
0.700210011,0.999451637,0.075281987,0.999343384,0.093267251,0.996219169,0.075526722
0.700220011,0.999451689,0.075282524,0.999343446,0.093267915,0.996219198,0.075527262
0.700230012,0.999451742,0.075283061,0.999343508,0.093268579,0.996219227,0.075527803
0.700240012,0.999451794,0.075283598,0.999343570,0.093269243,0.996219257,0.075528343
0.700250013,0.999451846,0.075284135,0.999343633,0.093269907,0.996219286,0.075528884
0.700260013,0.999451898,0.075284672,0.999343695,0.093270571,0.996219315,0.075529424
0.700270014,0.999451950,0.075285209,0.999343757,0.093271235,0.996219344,0.075529965
0.700280014,0.999452002,0.075285746,0.999343819,0.093271899,0.996219373,0.075530505
0.700290015,0.999452054,0.075286283,0.999343881,0.093272563,0.996219403,0.075531046
0.700300015,0.999452106,0.075286820,0.999343943,0.093273227,0.996219432,0.075531586
0.700310016,0.999452158,0.075287357,0.999344005,0.093273891,0.996219461,0.075532127
0.700320016,0.999452210,0.075287894,0.999344067,0.093274555,0.996219490,0.075532667
0.700330017,0.999452262,0.075288431,0.999344129,0.093275219,0.996219519,0.075533208
0.700340017,0.999452314,0.075288968,0.999344191,0.093275883,0.996219549,0.075533748
0.700350018,0.999452366,0.075289505,0.999344253,0.093276547,0.996219578,0.075534289
0.700360018,0.999452418,0.075290042,0.999344315,0.093277211,0.996219607,0.075534829
0.700370019,0.999452470,0.075290579,0.999344377,0.093277875,0.996219636,0.075535370
0.700380019,0.999452522,0.075291116,0.999344440,0.093278539,0.996219665,0.075535910
0.700390020,0.999452574,0.075291653,0.999344502,0.093279203,0.996219695,0.075536451
0.700400020,0.999452626,0.075292190,0.999344564,0.093279867,0.996219724,0.075536991
0.700410021,0.999452678,0.075292727,0.999344626,0.093280531,0.996219753,0.075537532
0.700420021,0.999452730,0.075293264,0.999344688,0.093281195,0.996219782,0.075538072
0.700430022,0.999452782,0.075293801,0.999344750,0.093281859,0.996219811,0.075538613
0.700440022,0.999452834,0.075294338,0.999344812,0.093282523,0.996219841,0.075539153
0.700450023,0.999452886,0.075294875,0.999344874,0.093283187,0.996219870,0.075539693
0.700460023,0.999452938,0.075295412,0.999344936,0.093283851,0.996219899,0.075540234
0.700470024,0.999452990,0.075295949,0.999344998,0.093284515,0.996219928,0.075540774
0.700480024,0.999453043,0.075296486,0.999345060,0.093285179,0.996219957,0.075541315
0.700490025,0.999453095,0.075297023,0.999345122,0.093285843,0.996219986,0.075541855
0.700500025,0.999453147,0.075297560,0.999345184,0.093286507,0.996220016,0.075542396
0.700510026,0.999453199,0.075298097,0.999345247,0.093287171,0.996220045,0.075542936
0.700520026,0.999453251,0.075298634,0.999345309,0.093287835,0.996220074,0.075543477
0.700530027,0.999453303,0.075299171,0.999345371,0.093288499,0.996220103,0.075544017
0.700540027,0.999453355,0.075299708,0.999345433,0.093289163,0.996220132,0.075544557
0.700550028,0.999453407,0.075300245,0.999345495,0.093289827,0.996220162,0.075545098
0.700560028,0.999453459,0.075300782,0.999345557,0.093290491,0.996220191,0.075545638
0.700570029,0.999453511,0.075301319,0.999345619,0.093291154,0.996220220,0.075546179
0.700580029,0.999453563,0.075301855,0.999345681,0.093291818,0.996220249,0.075546719
0.700590030,0.999453615,0.075302392,0.999345743,0.093292482,0.996220278,0.075547259
0.700600030,0.999453667,0.075302929,0.999345805,0.093293146,0.996220308,0.075547800
0.700610031,0.999453719,0.075303466,0.999345867,0.093293810,0.996220337,0.075548340
0.700620031,0.999453771,0.075304003,0.999345929,0.093294474,0.996220366,0.075548881
0.700630032,0.999453823,0.075304540,0.999345991,0.093295138,0.996220395,0.075549421
0.700640032,0.999453875,0.075305077,0.999346054,0.093295802,0.996220424,0.075549961
0.700650033,0.999453927,0.075305614,0.999346116,0.093296466,0.996220454,0.075550502
0.700660033,0.999453979,0.075306151,0.999346178,0.093297129,0.996220483,0.075551042
0.700670034,0.999454031,0.075306688,0.999346240,0.093297793,0.996220512,0.075551582
0.700680034,0.999454083,0.075307224,0.999346302,0.093298457,0.996220541,0.075552123
0.700690035,0.999454135,0.075307761,0.999346364,0.093299121,0.996220570,0.075552663
0.700700035,0.999454187,0.075308298,0.999346426,0.093299785,0.996220600,0.075553203
0.700710036,0.999454239,0.075308835,0.999346488,0.093300449,0.996220629,0.075553744
0.700720036,0.999454291,0.075309372,0.999346550,0.093301113,0.996220658,0.075554284
0.700730037,0.999454343,0.075309909,0.999346612,0.093301776,0.996220687,0.075554824
0.700740037,0.999454396,0.075310446,0.999346674,0.093302440,0.996220716,0.075555365
0.700750038,0.999454448,0.075310983,0.999346736,0.093303104,0.996220746,0.075555905
0.700760038,0.999454500,0.075311519,0.999346798,0.093303768,0.996220775,0.075556445
0.700770039,0.999454552,0.075312056,0.999346861,0.093304432,0.996220804,0.075556986
0.700780039,0.999454604,0.075312593,0.999346923,0.093305096,0.996220833,0.075557526
0.700790040,0.999454656,0.075313130,0.999346985,0.093305759,0.996220862,0.075558066
0.700800040,0.999454708,0.075313667,0.999347047,0.093306423,0.996220892,0.075558607
0.700810041,0.999454760,0.075314204,0.999347109,0.093307087,0.996220921,0.075559147
0.700820041,0.999454812,0.075314740,0.999347171,0.093307751,0.996220950,0.075559687
0.700830042,0.999454864,0.075315277,0.999347233,0.093308414,0.996220979,0.075560228
0.700840042,0.999454916,0.075315814,0.999347295,0.093309078,0.996221008,0.075560768
0.700850043,0.999454968,0.075316351,0.999347357,0.093309742,0.996221038,0.075561308
0.700860043,0.999455020,0.075316888,0.999347419,0.093310406,0.996221067,0.075561849
0.700870044,0.999455072,0.075317425,0.999347481,0.093311070,0.996221096,0.075562389
0.700880044,0.999455124,0.075317961,0.999347543,0.093311733,0.996221125,0.075562929
0.700890045,0.999455176,0.075318498,0.999347605,0.093312397,0.996221154,0.075563469
0.700900045,0.999455228,0.075319035,0.999347668,0.093313061,0.996221184,0.075564010
0.700910046,0.999455280,0.075319572,0.999347730,0.093313725,0.996221213,0.075564550
0.700920046,0.999455332,0.075320109,0.999347792,0.093314388,0.996221242,0.075565090
0.700930047,0.999455384,0.075320645,0.999347854,0.093315052,0.996221271,0.075565630
0.700940047,0.999455436,0.075321182,0.999347916,0.093315716,0.996221300,0.075566171
0.700950048,0.999455488,0.075321719,0.999347978,0.093316380,0.996221330,0.075566711
0.700960048,0.999455540,0.075322256,0.999348040,0.093317043,0.996221359,0.075567251
0.700970049,0.999455592,0.075322792,0.999348102,0.093317707,0.996221388,0.075567791
0.700980049,0.999455644,0.075323329,0.999348164,0.093318371,0.996221417,0.075568332
0.700990050,0.999455696,0.075323866,0.999348226,0.093319034,0.996221446,0.075568872
0.701000050,0.999455748,0.075324403,0.999348288,0.093319698,0.996221476,0.075569412
0.701010051,0.999455801,0.075324939,0.999348350,0.093320362,0.996221505,0.075569952
0.701020051,0.999455853,0.075325476,0.999348412,0.093321026,0.996221534,0.075570493
0.701030052,0.999455905,0.075326013,0.999348475,0.093321689,0.996221563,0.075571033
0.701040052,0.999455957,0.075326550,0.999348537,0.093322353,0.996221592,0.075571573
0.701050053,0.999456009,0.075327086,0.999348599,0.093323017,0.996221622,0.075572113
0.701060053,0.999456061,0.075327623,0.999348661,0.093323680,0.996221651,0.075572654
0.701070054,0.999456113,0.075328160,0.999348723,0.093324344,0.996221680,0.075573194
0.701080054,0.999456165,0.075328697,0.999348785,0.093325008,0.996221709,0.075573734
0.701090055,0.999456217,0.075329233,0.999348847,0.093325671,0.996221738,0.075574274
0.701100055,0.999456269,0.075329770,0.999348909,0.093326335,0.996221768,0.075574814
0.701110056,0.999456321,0.075330307,0.999348971,0.093326999,0.996221797,0.075575355
0.701120056,0.999456373,0.075330844,0.999349033,0.093327662,0.996221826,0.075575895
0.701130057,0.999456425,0.075331380,0.999349095,0.093328326,0.996221855,0.075576435
0.701140057,0.999456477,0.075331917,0.999349157,0.093328989,0.996221884,0.075576975
0.701150058,0.999456529,0.075332454,0.999349219,0.093329653,0.996221914,0.075577515
0.701160058,0.999456581,0.075332990,0.999349282,0.093330317,0.996221943,0.075578055
0.701170059,0.999456633,0.075333527,0.999349344,0.093330980,0.996221972,0.075578596
0.701180059,0.999456685,0.075334064,0.999349406,0.093331644,0.996222001,0.075579136
0.701190060,0.999456737,0.075334600,0.999349468,0.093332308,0.996222030,0.075579676
0.701200060,0.999456789,0.075335137,0.999349530,0.093332971,0.996222060,0.075580216
0.701210061,0.999456841,0.075335674,0.999349592,0.093333635,0.996222089,0.075580756
0.701220061,0.999456893,0.075336210,0.999349654,0.093334298,0.996222118,0.075581296
0.701230062,0.999456945,0.075336747,0.999349716,0.093334962,0.996222147,0.075581837
0.701240062,0.999456997,0.075337284,0.999349778,0.093335626,0.996222176,0.075582377
0.701250063,0.999457049,0.075337820,0.999349840,0.093336289,0.996222206,0.075582917
0.701260063,0.999457101,0.075338357,0.999349902,0.093336953,0.996222235,0.075583457
0.701270064,0.999457153,0.075338894,0.999349964,0.093337616,0.996222264,0.075583997
0.701280064,0.999457205,0.075339430,0.999350026,0.093338280,0.996222293,0.075584537
0.701290065,0.999457257,0.075339967,0.999350089,0.093338943,0.996222322,0.075585077
0.701300065,0.999457309,0.075340504,0.999350151,0.093339607,0.996222352,0.075585617
0.701310066,0.999457362,0.075341040,0.999350213,0.093340271,0.996222381,0.075586158
0.701320066,0.999457414,0.075341577,0.999350275,0.093340934,0.996222410,0.075586698
0.701330067,0.999457466,0.075342114,0.999350337,0.093341598,0.996222439,0.075587238
0.701340067,0.999457518,0.075342650,0.999350399,0.093342261,0.996222468,0.075587778
0.701350068,0.999457570,0.075343187,0.999350461,0.093342925,0.996222498,0.075588318
0.701360068,0.999457622,0.075343723,0.999350523,0.093343588,0.996222527,0.075588858
0.701370069,0.999457674,0.075344260,0.999350585,0.093344252,0.996222556,0.075589398
0.701380069,0.999457726,0.075344797,0.999350647,0.093344915,0.996222585,0.075589938
0.701390070,0.999457778,0.075345333,0.999350709,0.093345579,0.996222614,0.075590478
0.701400070,0.999457830,0.075345870,0.999350771,0.093346242,0.996222644,0.075591018
0.701410071,0.999457882,0.075346407,0.999350833,0.093346906,0.996222673,0.075591559
0.701420071,0.999457934,0.075346943,0.999350896,0.093347569,0.996222702,0.075592099
0.701430072,0.999457986,0.075347480,0.999350958,0.093348233,0.996222731,0.075592639
0.701440072,0.999458038,0.075348016,0.999351020,0.093348896,0.996222760,0.075593179
0.701450073,0.999458090,0.075348553,0.999351082,0.093349560,0.996222790,0.075593719
0.701460073,0.999458142,0.075349089,0.999351144,0.093350223,0.996222819,0.075594259
0.701470074,0.999458194,0.075349626,0.999351206,0.093350887,0.996222848,0.075594799
0.701480074,0.999458246,0.075350163,0.999351268,0.093351550,0.996222877,0.075595339
0.701490075,0.999458298,0.075350699,0.999351330,0.093352214,0.996222906,0.075595879
0.701500075,0.999458350,0.075351236,0.999351392,0.093352877,0.996222936,0.075596419
0.701510076,0.999458402,0.075351772,0.999351454,0.093353541,0.996222965,0.075596959
0.701520076,0.999458454,0.075352309,0.999351516,0.093354204,0.996222994,0.075597499
0.701530077,0.999458506,0.075352845,0.999351578,0.093354868,0.996223023,0.075598039
0.701540077,0.999458558,0.075353382,0.999351640,0.093355531,0.996223052,0.075598579
0.701550078,0.999458610,0.075353918,0.999351702,0.093356194,0.996223082,0.075599119
0.701560078,0.999458662,0.075354455,0.999351765,0.093356858,0.996223111,0.075599659
0.701570079,0.999458714,0.075354992,0.999351827,0.093357521,0.996223140,0.075600199
0.701580079,0.999458766,0.075355528,0.999351889,0.093358185,0.996223169,0.075600739
0.701590080,0.999458818,0.075356065,0.999351951,0.093358848,0.996223198,0.075601279
0.701600080,0.999458870,0.075356601,0.999352013,0.093359512,0.996223228,0.075601819
