K,rho1,ang1,rho2,ang2,rho3,ang3
0.790000000,0.999932291,0.081615843,0.999917374,0.101234100,0.996332773,0.081911362
0.790004000,0.999932312,0.081616049,0.999917400,0.101234355,0.996332785,0.081911570
0.790008001,0.999932334,0.081616255,0.999917426,0.101234610,0.996332798,0.081911777
0.790012001,0.999932355,0.081616462,0.999917452,0.101234865,0.996332810,0.081911985
0.790016002,0.999932377,0.081616668,0.999917477,0.101235120,0.996332822,0.081912193
0.790020002,0.999932398,0.081616874,0.999917503,0.101235376,0.996332835,0.081912400
0.790024002,0.999932420,0.081617080,0.999917529,0.101235631,0.996332847,0.081912608
0.790028003,0.999932441,0.081617286,0.999917555,0.101235886,0.996332860,0.081912816
0.790032003,0.999932462,0.081617492,0.999917581,0.101236141,0.996332872,0.081913023
0.790036004,0.999932484,0.081617699,0.999917607,0.101236397,0.996332885,0.081913231
0.790040004,0.999932505,0.081617905,0.999917633,0.101236652,0.996332897,0.081913439
0.790044004,0.999932527,0.081618111,0.999917659,0.101236907,0.996332909,0.081913646
0.790048005,0.999932548,0.081618317,0.999917685,0.101237162,0.996332922,0.081913854
0.790052005,0.999932570,0.081618523,0.999917711,0.101237418,0.996332934,0.081914062
0.790056006,0.999932591,0.081618730,0.999917737,0.101237673,0.996332947,0.081914269
0.790060006,0.999932613,0.081618936,0.999917763,0.101237928,0.996332959,0.081914477
0.790064006,0.999932634,0.081619142,0.999917789,0.101238183,0.996332971,0.081914685
0.790068007,0.999932655,0.081619348,0.999917814,0.101238439,0.996332984,0.081914892
0.790072007,0.999932677,0.081619554,0.999917840,0.101238694,0.996332996,0.081915100
0.790076008,0.999932698,0.081619760,0.999917866,0.101238949,0.996333009,0.081915308
0.790080008,0.999932720,0.081619967,0.999917892,0.101239204,0.996333021,0.081915515
0.790084008,0.999932741,0.081620173,0.999917918,0.101239459,0.996333034,0.081915723
0.790088009,0.999932763,0.081620379,0.999917944,0.101239715,0.996333046,0.081915931
0.790092009,0.999932784,0.081620585,0.999917970,0.101239970,0.996333058,0.081916138
0.790096010,0.999932805,0.081620791,0.999917996,0.101240225,0.996333071,0.081916346
0.790100010,0.999932827,0.081620998,0.999918022,0.101240480,0.996333083,0.081916554
0.790104010,0.999932848,0.081621204,0.999918048,0.101240736,0.996333096,0.081916761
0.790108011,0.999932870,0.081621410,0.999918074,0.101240991,0.996333108,0.081916969
0.790112011,0.999932891,0.081621616,0.999918100,0.101241246,0.996333120,0.081917177
