K,rho1,ang1,rho2,ang2,rho3,ang3
0.000130000,0.999909162,0.000001637,0.999888510,0.000000000,0.990115490,0.000000000
0.000410508,0.999707188,0.000005392,0.999638819,0.000000000,0.990365181,0.000000000
0.000691015,0.999496151,0.000009505,0.999374894,0.000000000,0.990629106,0.000000000
0.000971523,0.999274707,0.000014059,0.999093982,0.000000000,0.990910018,0.000000000
0.001252030,0.999041149,0.000019171,0.998792306,0.000000000,0.991211694,0.000000000
0.001532538,0.998793242,0.000025006,0.998464446,0.000000000,0.991539554,0.000000000
0.001813045,0.998527966,0.000031818,0.998102104,0.000000000,0.991901896,0.000000000
0.002093553,0.998241066,0.000040006,0.997691378,0.000000000,0.992312622,0.000000000
0.002374060,0.997926210,0.000050267,0.997205376,0.000000000,0.992798624,0.000000000
0.002654568,0.997573204,0.000063946,0.996575841,0.000000000,0.993428159,0.000000000
0.002935075,0.997163619,0.000084134,0.995316779,0.000000000,0.994687221,0.000000000
0.003215583,0.996656845,0.000120464,0.995003145,0.001517152,0.993347169,0.000120865
0.003496090,0.995917598,0.000236901,0.995004340,0.002168773,0.994086458,0.000237337
0.003776598,0.995215257,0.001102585,0.995005535,0.002665595,0.994789953,0.001103056
0.004057105,0.995145475,0.001775104,0.995006730,0.003083376,0.994861661,0.001775611
0.004337613,0.995123732,0.002259578,0.995007925,0.003450944,0.994885349,0.002260119
0.004618120,0.995113403,0.002657781,0.995009120,0.003782963,0.994897627,0.002658357
0.004898628,0.995107747,0.003003847,0.995010315,0.004088104,0.994905233,0.003004458
0.005179135,0.995104500,0.003314052,0.995011509,0.004371999,0.994910431,0.003314698
0.005459643,0.995102667,0.003597649,0.995012704,0.004638551,0.994914214,0.003598331
0.005740151,0.995101739,0.003860491,0.995013899,0.004890595,0.994917093,0.003861208
0.006020658,0.995101424,0.004106558,0.995015094,0.005130271,0.994919359,0.004107309
0.006301166,0.995101543,0.004338699,0.995016289,0.005359237,0.994921191,0.004339485
0.006581673,0.995101980,0.004559040,0.995017484,0.005578814,0.994922705,0.004559862
0.006862181,0.995102657,0.004769216,0.995018679,0.005790069,0.994923979,0.004770073
0.007142688,0.995103519,0.004970515,0.995019874,0.005993883,0.994925068,0.004971406
0.007423196,0.995104524,0.005163974,0.995021069,0.006190989,0.994926014,0.005164900
0.007703703,0.995105644,0.005350443,0.995022264,0.006382011,0.994926845,0.005351404
0.007984211,0.995106856,0.005530629,0.995023458,0.006567478,0.994927585,0.005531626
0.008264718,0.995108143,0.005705128,0.995024653,0.006747849,0.994928249,0.005706159
0.008545226,0.995109491,0.005874445,0.995025848,0.006923522,0.994928853,0.005875512
0.008825733,0.995110889,0.006039017,0.995027043,0.007094845,0.994929406,0.006040119
0.009106241,0.995112329,0.006199221,0.995028238,0.007262128,0.994929917,0.006200358
0.009386748,0.995113804,0.006355388,0.995029433,0.007425643,0.994930394,0.006356560
0.009667256,0.995115308,0.006507808,0.995030628,0.007585633,0.994930841,0.006509014
0.009947763,0.995116836,0.006656738,0.995031823,0.007742317,0.994931264,0.006657980
0.010228271,0.995118385,0.006802408,0.995033018,0.007895893,0.994931666,0.006803685
0.010508778,0.995119951,0.006945023,0.995034212,0.008046537,0.994932052,0.006946334
0.010789286,0.995121531,0.007084767,0.995035407,0.008194412,0.994932422,0.007086113
0.011069793,0.995123124,0.007221807,0.995036602,0.008339664,0.994932781,0.007223188
0.011350301,0.995124727,0.007356293,0.995037797,0.008482430,0.994933129,0.007357710
0.011630809,0.995126339,0.007488365,0.995038992,0.008622831,0.994933469,0.007489816
0.011911316,0.995127958,0.007618146,0.995040187,0.008760982,0.994933801,0.007619633
0.012191824,0.995129582,0.007745753,0.995041382,0.008896988,0.994934128,0.007747274
0.012472331,0.995131212,0.007871290,0.995042577,0.009030946,0.994934450,0.007872847
0.012752839,0.995132845,0.007994856,0.995043771,0.009162945,0.994934768,0.007996448
0.013033346,0.995134481,0.008116541,0.995044966,0.009293069,0.994935083,0.008118168
0.013313854,0.995136120,0.008236427,0.995046161,0.009421395,0.994935395,0.008238089
0.013594361,0.995137761,0.008354593,0.995047356,0.009547996,0.994935706,0.008356290
0.013874869,0.995139402,0.008471110,0.995048551,0.009672940,0.994936015,0.008472842
0.014155376,0.995141045,0.008586045,0.995049746,0.009796291,0.994936324,0.008587812
0.014435884,0.995142688,0.008699462,0.995050941,0.009918106,0.994936633,0.008701264
0.014716391,0.995144331,0.008811418,0.995052135,0.010038444,0.994936941,0.008813255
0.014996899,0.995145973,0.008921969,0.995053330,0.010157355,0.994937250,0.008923841
0.015277406,0.995147615,0.009031166,0.995054525,0.010274890,0.994937559,0.009033073
0.015557914,0.995149256,0.009139058,0.995055720,0.010391096,0.994937869,0.009141000
0.015838421,0.995150896,0.009245691,0.995056915,0.010506015,0.994938180,0.009247668
0.016118929,0.995152535,0.009351107,0.995058110,0.010619691,0.994938493,0.009353119
0.016399436,0.995154173,0.009455348,0.995059305,0.010732162,0.994938807,0.009457394
0.016679944,0.995155808,0.009558451,0.995060499,0.010843467,0.994939122,0.009560533
