time_index,eig_full_0_real,eig_full_1_real,eig_full_2_real,eig_full_0_imag,eig_full_1_imag,eig_full_2_imag,eig_ng_0_real,eig_ng_1_real,eig_ng_0_imag,eig_ng_1_imag
0,-2.2599362351952306,0.3708998159259093,1.0000000000000002,0.0,0.0,0.0,-2.2599362351952315,0.37089981592590926,0.0,0.0
1,-2.259936235195229,0.9999999999999999,0.3708998159259021,0.0,0.0,0.0,0.3708998159259025,-2.2599362351952292,0.0,0.0
2,-2.2599362351952306,0.3708998159259093,1.0000000000000002,0.0,0.0,0.0,-2.2599362351952315,0.37089981592590926,0.0,0.0
3,-2.259936235195229,0.9999999999999999,0.3708998159259021,0.0,0.0,0.0,0.3708998159259025,-2.2599362351952292,0.0,0.0
4,-2.2599362351952306,0.3708998159259093,1.0000000000000002,0.0,0.0,0.0,-2.2599362351952315,0.37089981592590926,0.0,0.0
5,-2.259936235195229,0.9999999999999999,0.3708998159259021,0.0,0.0,0.0,0.3708998159259025,-2.2599362351952292,0.0,0.0
6,-2.2599362351952306,0.3708998159259093,1.0000000000000002,0.0,0.0,0.0,-2.2599362351952315,0.37089981592590926,0.0,0.0
7,-2.259936235195229,0.9999999999999999,0.3708998159259021,0.0,0.0,0.0,0.3708998159259025,-2.2599362351952292,0.0,0.0
8,-2.2599362351952306,0.3708998159259093,1.0000000000000002,0.0,0.0,0.0,-2.2599362351952315,0.37089981592590926,0.0,0.0
9,-2.259936235195229,0.9999999999999999,0.3708998159259021,0.0,0.0,0.0,0.3708998159259025,-2.2599362351952292,0.0,0.0
10,-2.2599362351952306,0.3708998159259093,1.0000000000000002,0.0,0.0,0.0,-2.2599362351952315,0.37089981592590926,0.0,0.0
11,-2.259936235195229,0.9999999999999999,0.3708998159259021,0.0,0.0,0.0,0.3708998159259025,-2.2599362351952292,0.0,0.0
12,-2.2599362351952306,0.3708998159259093,1.0000000000000002,0.0,0.0,0.0,-2.2599362351952315,0.37089981592590926,0.0,0.0
13,-2.259936235195229,0.9999999999999999,0.3708998159259021,0.0,0.0,0.0,0.3708998159259025,-2.2599362351952292,0.0,0.0
