time_index,eig_full_0_real,eig_full_1_real,eig_full_2_real,eig_full_0_imag,eig_full_1_imag,eig_full_2_imag,eig_ng_0_real,eig_ng_1_real,eig_ng_0_imag,eig_ng_1_imag
0,-2.6346666000689347,0.9999999999999998,1.6324525566186932,0.0,0.0,0.0,1.6324525566186936,-2.634666600068934,0.0,0.0
1,-2.5330260230846653,-0.5760444517844381,1.0,0.0,0.0,0.0,-2.533026023084666,-0.5760444517844383,0.0,0.0
2,0.9999999999999996,-1.943199238377814,-0.5079354938788638,0.0,0.0,0.0,-0.5079354938788643,-1.943199238377814,0.0,0.0
3,-2.6244427604636034,1.9510111107507222,1.0,0.0,0.0,0.0,-2.6244427604636065,1.9510111107507222,0.0,0.0
4,1.0,-1.898194525174763,-1.846467904955597,0.0,0.0,0.0,-1.898194525174766,-1.8464679049555972,0.0,0.0
5,1.0000000000000004,-1.821954984134972,-1.9210154864185454,0.0,0.0,0.0,-1.8219549841349723,-1.9210154864185456,0.0,0.0
6,1.0,-1.9573918026460582,-1.7797376582911537,0.0,0.0,0.0,-1.9573918026460577,-1.7797376582911542,0.0,0.0
7,0.9999999999999996,-1.6785986652811615,-2.0376208321765548,0.0,0.0,0.0,-1.6785986652811622,-2.0376208321765543,0.0,0.0
8,1.0000000000000004,-2.1109481995180204,-1.5369174037040736,0.0,0.0,0.0,-2.1109481995180204,-1.5369174037040736,0.0,0.0
9,1.0000000000000007,-1.0213784740723875,-2.380474044648297,0.0,0.0,0.0,-1.0213784740723875,-2.3804740446482966,0.0,0.0
10,1.0000000000000004,-2.1376401517992103,-0.7160783530112251,0.0,0.0,0.0,-2.1376401517992094,-0.716078353011225,0.0,0.0
11,-2.715032017561951,1.3485606895317745,0.9999999999999998,0.0,0.0,0.0,1.3485606895317759,-2.715032017561952,0.0,0.0
12,0.9999999999999997,-0.7718561889540003,-2.3477799638703383,0.0,0.0,0.0,-2.347779963870339,-0.7718561889540011,0.0,0.0
13,-2.536053576328773,0.41225549683722396,0.9999999999999999,0.0,0.0,0.0,0.41225549683722384,-2.5360535763287735,0.0,0.0
14,-2.5540153334137217,0.8884450599013634,1.0,0.0,0.0,0.0,-2.5540153334137243,0.8884450599013641,0.0,0.0
15,-2.6680683487542574,0.787707431710647,1.0,0.0,0.0,0.0,0.787707431710648,-2.6680683487542565,0.0,0.0
16,-2.4268344335676426,0.14999208562499472,1.0000000000000002,0.0,0.0,0.0,-2.4268344335676444,0.14999208562499464,0.0,0.0
17,-2.596518431172358,1.2278111644104264,0.9999999999999999,0.0,0.0,0.0,1.2278111644104261,-2.596518431172359,0.0,0.0
18,-2.6828081643804387,0.34455199036577266,1.0000000000000002,0.0,0.0,0.0,-2.6828081643804382,0.3445519903657723,0.0,0.0
19,-2.096777652047021,-0.1048864514406116,1.0,0.0,0.0,0.0,-0.1048864514406116,-2.0967776520470207,0.0,0.0
20,-2.60736063882602,1.9236261092726692,1.0,0.0,0.0,0.0,-2.607360638826023,1.9236261092726696,0.0,0.0
21,1.0,-1.278431683363761,-2.247177456420519,0.0,0.0,0.0,-1.2784316833637612,-2.247177456420519,0.0,0.0
22,-2.369747588053101,0.9999999999999998,-0.6987274350769704,0.0,0.0,0.0,-0.6987274350769705,-2.369747588053102,0.0,0.0
23,-2.5168316671152464,0.4562919434896478,1.0,0.0,0.0,0.0,0.4562919434896484,-2.5168316671152464,0.0,0.0
24,-2.5890325829327754,1.0000000000000002,0.9850101199929232,0.0,0.0,0.0,0.9850101199929235,-2.589032582932776,0.0,0.0
25,-2.6531626741985623,0.5682753742908603,1.0000000000000002,0.0,0.0,0.0,0.56827537429086,-2.6531626741985628,0.0,0.0
26,-2.3710173902518594,0.9999999999999999,0.25690182769055625,0.0,0.0,0.0,0.25690182769055614,-2.371017390251861,0.0,0.0
27,-2.6359753281268845,1.4513698174653618,1.0,0.0,0.0,0.0,1.451369817465363,-2.6359753281268854,0.0,0.0
28,-2.6091474099051646,1.0000000000000004,-0.21294671684475458,0.0,0.0,0.0,-0.2129467168447543,-2.6091474099051655,0.0,0.0
29,1.0000000000000007,-0.2557937866134435,-1.966682446310601,0.0,0.0,0.0,-1.9666824463106014,-0.25579378661344343,0.0,0.0
30,-2.5768500232076703,1.0000000000000002,2.0511723272715576,0.0,0.0,0.0,2.0511723272715576,-2.576850023207671,0.0,0.0
31,0.9999999999999996,-2.126619778477372,-1.4934418568252066,0.0,0.0,0.0,-1.493441856825207,-2.126619778477372,0.0,0.0
32,1.0,-0.8587679127801859,-2.4448408535491573,0.0,0.0,0.0,-2.4448408535491586,-0.8587679127801862,0.0,0.0
33,1.0,-2.039573806696712,-0.6574713339306107,0.0,0.0,0.0,-0.6574713339306113,-2.0395738066967133,0.0,0.0
34,-2.696330191132281,1.6580252992710969,1.0,0.0,0.0,0.0,-2.6963301911322803,1.6580252992710958,0.0,0.0
35,0.9999999999999996,-2.162647381039293,-1.4181822511537427,0.0,0.0,0.0,-1.4181822511537434,-2.162647381039293,0.0,0.0
36,0.9999999999999998,-0.713590326940208,-2.4701167069270324,0.0,0.0,0.0,-2.4701167069270342,-0.7135903269402077,0.0,0.0
37,-2.151360877743728,0.9999999999999997,-0.3179343796766932,0.0,0.0,0.0,-0.31793437967669336,-2.151360877743729,0.0,0.0
38,-2.6465911691710553,1.7046189585215448,0.9999999999999998,0.0,0.0,0.0,-2.6465911691710566,1.7046189585215463,0.0,0.0
39,0.9999999999999998,-2.4330968203880206,-0.8939665349763538,0.0,0.0,0.0,-0.8939665349763541,-2.4330968203880214,0.0,0.0
40,1.0,-0.6887363173873002,-2.0470943508318826,0.0,0.0,0.0,-2.047094350831883,-0.6887363173873002,0.0,0.0
41,-2.706052979449274,0.9999999999999993,1.6095037105527383,0.0,0.0,0.0,1.6095037105527388,-2.706052979449275,0.0,0.0
42,1.0,-1.3856248721484246,-2.1590003460028977,0.0,0.0,0.0,-2.1590003460028986,-1.3856248721484254,0.0,0.0
43,-2.554127771697913,1.0,-0.4969413927664229,0.0,0.0,0.0,-0.496941392766423,-2.554127771697914,0.0,0.0
