K,rho1,ang1,rho2,ang2,rho3,ang3
0.239800000,0.999987810,0.088458842,0.999985522,0.097968845,0.998219875,0.088615922
0.239800035,0.999987810,0.088458849,0.999985522,0.097968852,0.998219875,0.088615928
0.239800070,0.999987811,0.088458855,0.999985523,0.097968859,0.998219876,0.088615935
0.239800105,0.999987811,0.088458862,0.999985524,0.097968866,0.998219876,0.088615941
0.239800140,0.999987812,0.088458868,0.999985525,0.097968873,0.998219877,0.088615948
0.239800175,0.999987813,0.088458875,0.999985525,0.097968880,0.998219877,0.088615954
0.239800210,0.999987813,0.088458881,0.999985526,0.097968887,0.998219878,0.088615961
0.239800245,0.999987814,0.088458887,0.999985527,0.097968894,0.998219878,0.088615967
0.239800280,0.999987815,0.088458894,0.999985527,0.097968902,0.998219879,0.088615973
0.239800315,0.999987815,0.088458900,0.999985528,0.097968909,0.998219879,0.088615980
0.239800350,0.999987816,0.088458907,0.999985529,0.097968916,0.998219880,0.088615986
0.239800385,0.999987817,0.088458913,0.999985529,0.097968923,0.998219880,0.088615993
0.239800420,0.999987817,0.088458920,0.999985530,0.097968930,0.998219881,0.088615999
0.239800455,0.999987818,0.088458926,0.999985531,0.097968937,0.998219881,0.088616006
0.239800490,0.999987818,0.088458932,0.999985532,0.097968944,0.998219882,0.088616012
0.239800525,0.999987819,0.088458939,0.999985532,0.097968951,0.998219882,0.088616019
0.239800560,0.999987820,0.088458945,0.999985533,0.097968959,0.998219883,0.088616025
0.239800595,0.999987820,0.088458952,0.999985534,0.097968966,0.998219883,0.088616032
0.239800630,0.999987821,0.088458958,0.999985534,0.097968973,0.998219884,0.088616038
0.239800665,0.999987822,0.088458965,0.999985535,0.097968980,0.998219884,0.088616044
0.239800700,0.999987822,0.088458971,0.999985536,0.097968987,0.998219885,0.088616051
0.239800735,0.999987823,0.088458978,0.999985536,0.097968994,0.998219885,0.088616057
0.239800770,0.999987823,0.088458984,0.999985537,0.097969001,0.998219886,0.088616064
0.239800805,0.999987824,0.088458990,0.999985538,0.097969008,0.998219886,0.088616070
0.239800840,0.999987825,0.088458997,0.999985539,0.097969016,0.998219887,0.088616077
0.239800875,0.999987825,0.088459003,0.999985539,0.097969023,0.998219887,0.088616083
0.239800910,0.999987826,0.088459010,0.999985540,0.097969030,0.998219888,0.088616090
0.239800945,0.999987827,0.088459016,0.999985541,0.097969037,0.998219888,0.088616096
0.239800980,0.999987827,0.088459023,0.999985541,0.097969044,0.998219889,0.088616103
