K,rho,angle,F_triangle,r(theta*),type,lam_pred,J_frobenius
3.0,0.9996552831980718,7.963707554155887e-05,-2.0943951023931957,0.9999999733743647,real+,0.9996552800281333,1.7316527857661494
5.36,0.9993841104049078,0.00014232357827453465,-2.0943951023931957,0.9999999916584239,real+,0.9993841002831456,1.7313397125520027
7.720000000000001,0.999112941548463,0.00020504409507462668,-2.0943951023931957,0.9999999959787897,real+,0.9991129205455699,1.7310266722206435
10.080000000000002,0.9988417766267303,0.0002677986627172108,-2.0943951023931957,0.9999999976412735,real+,0.9988417408102003,1.7307136647838999
12.440000000000001,0.9985706156416583,0.00033058731075600076,-2.0943951023931957,0.9999999984513175,real+,0.9985705610757813,1.7304006902581706
14.8,0.9982994585959999,0.00039341006730285894,-2.0943951023931957,0.999999998905835,real+,0.9982993813418582,1.7300877486607913
17.160000000000004,0.9980283054927607,0.00045626696003946024,-2.0943951023931957,0.9999999991860946,real+,0.9980282016082264,1.7297748400093966
19.520000000000003,0.9977571563350486,0.0005191580164941014,-2.0943951023931957,0.9999999993710001,real+,0.9977570218747802,1.7294619643217475
21.880000000000003,0.9974860111260218,0.0005820832641400622,-2.0943951023931957,0.9999999994993699,real+,0.9974858421414595,1.7291491216156678
24.240000000000002,0.997214869868864,0.0006450427304361979,-2.0943951023931957,0.999999999592106,real+,0.9972146624082278,1.72883631190902
26.6,0.9969437325667758,0.0007080364428466038,-2.0943951023931957,0.9999999996612727,real+,0.9969434826750613,1.728523535219692
28.960000000000004,0.9966725992229689,0.0007710644288496634,-2.0943951023931957,0.9999999997142297,real+,0.9966723029419441,1.7282107915655918
31.320000000000004,0.9964014698406639,0.0008341267159435536,-2.0943951023931957,0.999999999755673,real+,0.996401123208865,1.727898080964645
33.68000000000001,0.9961303444230873,0.00089722333164996,-2.0943951023931957,0.9999999997887137,real+,0.996129943475816,1.7275854034347908
36.040000000000006,0.9958592229734713,0.0009603543035154753,-2.0943951023931957,0.9999999998154788,real+,0.9958587637427913,1.727272758993982
38.400000000000006,0.995588105495053,0.0010235196591125038,-2.0943951023931957,0.9999999998374625,real+,0.9955875840097862,1.7269601476601855
40.760000000000005,0.9953169919910743,0.0010867194260410077,-2.0943951023931957,0.9999999998557392,real+,0.9953164042767976,1.7266475694513785
43.120000000000005,0.9950458824647818,0.001149953631928242,-2.0943951023931957,0.999999999871098,real+,0.9950452245438225,1.7263350243855518
45.480000000000004,0.9947747769194241,0.0012132223044297218,-2.0943951023931957,0.9999999998841285,real+,0.994774044810859,1.726022512480707
47.84,0.9945036753582563,0.0012765254712287797,-2.0943951023931957,0.9999999998952787,real+,0.9945028650779052,1.7257100337548577
50.2,0.994232577784536,0.0013398631600376818,-2.0943951023931957,0.9999999999048935,real+,0.9942316853449599,1.725397588226029
52.56000000000001,0.9939614842015241,0.0014032353985973353,-2.0943951023931957,0.9999999999132424,real+,0.9939605056120219,1.7250851759122579
54.92000000000001,0.9936903946124865,0.0014666422146771309,-2.0943951023931957,0.9999999999205385,real+,0.9936893258790902,1.7247727968315913
57.28000000000001,0.993419309020692,0.001530083636075578,-2.0943951023931957,0.9999999999269513,real+,0.9934181461461641,1.7244604510020896
59.64000000000001,0.9931482274294128,0.001593559690620249,-2.0943951023931957,0.999999999932618,real+,0.993146966413243,1.7241481384418222
62.00000000000001,0.9928771498419253,0.001657070406167632,-2.0943951023931957,0.9999999999376501,real+,0.9928757866803261,1.7238358591688716
64.36000000000001,0.9926060762615092,0.0017206158106037024,-2.0943951023931957,0.9999999999421388,real+,0.9926046069474131,1.7235236132013307
66.72,0.992335006691448,0.0017841959318432843,-2.0943951023931957,0.9999999999461597,real+,0.9923334272145036,1.7232114005573036
69.08000000000001,0.9920639411350287,0.0018478107978305532,-2.0943951023931957,0.9999999999497755,real+,0.9920622474815971,1.7228992212549066
71.44000000000001,0.9917928795955421,0.0019114604365391738,-2.0943951023931957,0.999999999953039,real+,0.9917910677486935,1.722587075312266
73.80000000000001,0.9915218220762816,0.0019751448759722408,-2.0943951023931957,0.9999999999559944,real+,0.9915198880157924,1.7222749627475198
76.16000000000001,0.9912507685805457,0.0020388641441620673,-2.0943951023931957,0.9999999999586795,real+,0.9912487082828936,1.7219628835788179
78.52000000000001,0.9909797191116356,0.002102618269170603,-2.0943951023931957,0.999999999961126,real+,0.9909775285499969,1.7216508378243203
80.88000000000001,0.990708673672856,0.0021664072790892777,-2.0943951023931957,0.9999999999633614,real+,0.9907063488171021,1.721338825502199
83.24000000000001,0.9904376322675154,0.0022302312020391598,-2.0943951023931957,0.9999999999654096,real+,0.990435169084209,1.7210268466306375
85.60000000000001,0.9901665948989263,0.002294090066170686,-2.0943951023931957,0.9999999999672906,real+,0.9901639893513176,1.7207149012278298
87.96000000000001,0.9898955615704038,0.00235798389966447,-2.0943951023931957,0.9999999999690222,real+,0.9898928096184275,1.7204029893119817
90.32000000000001,0.9896245322852678,0.0024219127307304063,-2.0943951023931957,0.99999999997062,real+,0.9896216298855388,1.7200911109013102
92.68,0.9893535070468412,0.002485876587608059,-2.0943951023931957,0.9999999999720972,real+,0.9893504501526514,1.7197792660140427
95.04,0.98908248585845,0.0025498754985672583,-2.0943951023931957,0.9999999999734657,real+,0.9890792704197652,1.7194674546684197
97.4,0.9888114687234246,0.0026139094919071554,-2.0943951023931957,0.999999999974736,real+,0.98880809068688,1.7191556768826912
99.76000000000002,0.9885404556450988,0.002677978595957115,-2.0943951023931957,0.9999999999759172,real+,0.9885369109539958,1.7188439326751195
