K,rho,angle,F_triangle,r(theta*),type
1.1,0.27221858719643865,3.141592653589793,-2.0943951023931957,0.9999792719367836,complex
1.108,0.281412167247731,3.141592653589793,-2.0943951023931957,0.9999795692253539,complex
1.116,0.29060573236976717,3.141592653589793,-2.0943951023931957,0.9999798601636171,complex
1.124,0.29979928287969904,3.141592653589793,-2.0943951023931957,0.9999801449311612,complex
1.1320000000000001,0.3089928190857587,3.141592653589793,-2.0943951023931957,0.9999804237012702,complex
1.1400000000000001,0.31818634128756873,3.141592653589793,-2.0943951023931957,0.9999806966411879,complex
1.1480000000000001,0.3273798497764414,3.141592653589793,-2.0943951023931957,0.9999809639123687,complex
1.1560000000000001,0.33657334483566415,3.141592653589793,-2.0943951023931957,0.9999812256707161,complex
1.1640000000000001,0.34576682674077475,3.141592653589793,-2.0943951023931957,0.9999814820668107,complex
1.1720000000000002,0.354960295759824,3.141592653589793,-2.0943951023931957,0.9999817332461266,complex
1.1800000000000002,0.36415375215362794,3.141592653589793,-2.0943951023931957,0.9999819793492378,complex
1.1880000000000002,0.3733471961760114,3.141592653589793,-2.0943951023931957,0.9999822205120147,complex
1.1960000000000002,0.3825406280740402,3.141592653589793,-2.0943951023931957,0.999982456865812,complex
1.2040000000000002,0.3917340480882447,3.141592653589793,-2.0943951023931957,0.9999826885376475,complex
1.2120000000000002,0.4009274564528337,3.141592653589793,-2.0943951023931957,0.9999829156503732,complex
1.2200000000000002,0.41012085339590254,3.141592653589793,-2.0943951023931957,0.9999831383228376,complex
1.2280000000000002,0.41931423913962873,3.141592653589793,-2.0943951023931957,0.9999833566700413,complex
1.2360000000000002,0.42850761390046527,3.141592653589793,-2.0943951023931957,0.9999835708032858,complex
1.2440000000000002,0.4377009778893224,3.141592653589793,-2.0943951023931957,0.9999837808303155,complex
1.252,0.4468943313117433,3.141592653589793,-2.0943951023931957,0.9999839868554529,complex
1.26,0.45608767436807685,3.141592653589793,-2.0943951023931957,0.9999841889797283,complex
1.268,0.4652810072536369,3.141592653589793,-2.0943951023931957,0.9999843873010038,complex
1.276,0.4744743301588602,3.141592653589793,-2.0943951023931957,0.9999845819140916,complex
1.284,0.48366764326946,3.141592653589793,-2.0943951023931957,0.9999847729108674,complex
1.292,0.4928609467665699,3.141592653589793,-2.0943951023931957,0.9999849603803794,complex
1.3,0.5020542408268835,3.141592653589793,-2.0943951023931957,0.9999851444089511,complex
1.308,0.511247525622792,3.141592653589793,-2.0943951023931957,0.9999853250802815,complex
1.316,0.5204408013225106,3.141592653589793,-2.0943951023931957,0.9999855024755396,complex
1.324,0.5296340680902085,3.141592653589793,-2.0943951023931957,0.9999856766734571,complex
1.332,0.5388273260861279,3.141592653589793,-2.0943951023931957,0.9999858477504135,complex
1.34,0.5480205754666982,3.141592653589793,-2.0943951023931957,0.9999860157805216,complex
1.348,0.5572138163846536,3.141592653589793,-2.0943951023931957,0.9999861808357072,complex
1.356,0.566407048989138,3.141592653589793,-2.0943951023931957,0.999986342985786,complex
1.364,0.5756002734258114,3.141592653589793,-2.0943951023931957,0.9999865022985379,complex
1.372,0.5847934898369506,3.141592653589793,-2.0943951023931957,0.999986658839777,complex
1.3800000000000001,0.5939866983615455,3.141592653589793,-2.0943951023931957,0.9999868126734205,complex
1.3880000000000001,0.6031798991353977,3.141592653589793,-2.0943951023931957,0.9999869638615533,complex
1.3960000000000001,0.6123730922912056,3.141592653589793,-2.0943951023931957,0.999987112464491,complex
1.4040000000000001,0.6215662779586584,3.141592653589793,-2.0943951023931957,0.9999872585408403,complex
1.4120000000000001,0.6307594562645151,3.141592653589793,-2.0943951023931957,0.9999874021475554,complex
1.4200000000000002,0.6399526273326918,3.141592653589793,-2.0943951023931957,0.9999875433399965,complex
1.4280000000000002,0.6491457912843377,3.141592653589793,-2.0943951023931957,0.9999876821719793,complex
1.4360000000000002,0.6583389482379143,3.141592653589793,-2.0943951023931957,0.9999878186958295,complex
1.4440000000000002,0.6675320983092672,3.141592653589793,-2.0943951023931957,0.9999879529624304,complex
1.452,0.6767252416116993,3.141592653589793,-2.0943951023931957,0.999988085021271,complex
1.46,0.6859183782560403,3.141592653589793,-2.0943951023931957,0.999988214920491,complex
1.468,0.695111508350713,3.141592653589793,-2.0943951023931957,0.9999883427069256,complex
1.476,0.7043046320017996,3.141592653589793,-2.0943951023931957,0.999988468426147,complex
1.484,0.7134977493131021,3.141592653589793,-2.0943951023931957,0.9999885921225051,complex
1.492,0.7226908603862052,3.141592653589793,-2.0943951023931957,0.9999887138391671,complex
1.5,0.7318839653205368,3.141592653589793,-2.0943951023931957,0.9999888336181547,complex
1.508,0.7410770642134188,3.141592653589793,-2.0943951023931957,0.9999889515003804,complex
1.516,0.7502701571601309,3.141592653589793,-2.0943951023931957,0.9999890675256824,complex
1.524,0.7594632442539582,3.141592653589793,-2.0943951023931957,0.9999891817328589,complex
1.532,0.7686563255862429,3.141592653589793,-2.0943951023931957,0.9999892941597,complex
1.54,0.7778494012464381,3.141592653589793,-2.0943951023931957,0.9999894048430185,complex
1.548,0.7870424713221541,3.141592653589793,-2.0943951023931957,0.9999895138186812,complex
1.556,0.7962355358992073,3.141592653589793,-2.0943951023931957,0.9999896211216367,complex
1.564,0.8054285950616622,3.141592653589793,-2.0943951023931957,0.9999897267859448,complex
1.572,0.8146216488918803,3.141592653589793,-2.0943951023931957,0.9999898308448021,complex
1.58,0.82381469747056,3.141592653589793,-2.0943951023931957,0.9999899333305693,complex
1.588,0.8330077408767804,3.141592653589793,-2.0943951023931957,0.9999900342747956,complex
1.596,0.8422007791880406,3.141592653589793,-2.0943951023931957,0.9999901337082432,complex
1.604,0.8513938124802976,3.141592653589793,-2.0943951023931957,0.9999902316609106,complex
1.612,0.8605868408280088,3.141592653589793,-2.0943951023931957,0.9999903281620558,complex
1.62,0.869779864304163,3.141592653589793,-2.0943951023931957,0.9999904232402175,complex
1.6280000000000001,0.8789728829803216,3.141592653589793,-2.0943951023931957,0.9999905169232362,complex
1.6360000000000001,0.8881658969266504,3.141592653589793,-2.0943951023931957,0.9999906092382753,complex
1.6440000000000001,0.8973589062119545,3.141592653589793,-2.0943951023931957,0.99999070021184,complex
1.6520000000000001,0.9065519109037097,3.141592653589793,-2.0943951023931957,0.9999907898697968,complex
1.6600000000000001,0.9157449110680982,3.141592653589793,-2.0943951023931957,0.9999908782373916,complex
1.6680000000000001,0.9249379067700336,3.141592653589793,-2.0943951023931957,0.9999909653392678,complex
1.6760000000000002,0.9341308980731966,3.141592653589793,-2.0943951023931957,0.9999910511994831,complex
1.6840000000000002,0.9433238850400609,3.141592653589793,-2.0943951023931957,0.9999911358415263,complex
1.6920000000000002,0.952516867731924,3.141592653589793,-2.0943951023931957,0.9999912192883338,complex
1.7000000000000002,0.9617098462089324,3.141592653589793,-2.0943951023931957,0.9999913015623039,complex
1.7080000000000002,0.9709028205301087,3.141592653589793,-2.0943951023931957,0.9999913826853134,complex
1.7160000000000002,0.9800957907533809,3.141592653589793,-2.0943951023931957,0.9999914626787311,complex
1.7240000000000002,0.9892887569356039,3.141592653589793,-2.0943951023931957,0.9999915415634322,complex
1.7320000000000002,0.9984817191325857,3.141592653589793,-2.0943951023931957,0.999991619359812,complex
1.7400000000000002,1.0076746773991108,3.141592653589793,-2.0943951023931957,0.9999916960877986,complex
1.7480000000000002,1.0168676317889656,3.141592653589793,-2.0943951023931957,0.9999917717668663,complex
1.7560000000000002,1.0260605823549578,3.141592653589793,-2.0943951023931957,0.9999918464160478,complex
1.7640000000000002,1.0352535291489426,3.141592653589793,-2.0943951023931957,0.9999919200539461,complex
1.7720000000000002,1.04444647222184,3.141592653589793,-2.0943951023931957,0.9999919926987456,complex
1.7800000000000002,1.0536394116236574,3.141592653589793,-2.0943951023931957,0.9999920643682244,complex
1.7880000000000003,1.0628323474035108,3.141592653589793,-2.0943951023931957,0.999992135079764,complex
1.7960000000000003,1.0720252796096448,3.141592653589793,-2.0943951023931957,0.9999922048503607,complex
1.804,1.0812182082894484,3.141592653589793,-2.0943951023931957,0.9999922736966358,complex
1.812,1.0904111334894786,3.141592653589793,-2.0943951023931957,0.9999923416348443,complex
1.82,1.0996040552554762,3.141592653589793,-2.0943951023931957,0.9999924086808863,complex
1.828,1.108796973632384,3.141592653589793,-2.0943951023931957,0.9999924748503153,complex
1.836,1.1179898886643616,3.141592653589793,-2.0943951023931957,0.9999925401583468,complex
1.844,1.1271828003948072,3.141592653589793,-2.0943951023931957,0.9999926046198682,complex
1.852,1.1363757088663706,3.141592653589793,-2.0943951023931957,0.9999926682494463,complex
1.86,1.1455686141209709,3.141592653589793,-2.0943951023931957,0.9999927310613359,complex
1.868,1.1547615161998097,3.141592653589793,-2.0943951023931957,0.9999927930694882,complex
1.8760000000000001,1.1639544151433896,3.141592653589793,-2.0943951023931957,0.9999928542875576,complex
1.8840000000000001,1.1731473109915262,3.141592653589793,-2.0943951023931957,0.9999929147289102,complex
1.8920000000000001,1.1823402037833641,3.141592653589793,-2.0943951023931957,0.99999297440663,complex
1.9000000000000001,1.1915330935573916,3.141592653589793,-2.0943951023931957,0.9999930333335275,complex
1.9080000000000001,1.2007259803514518,3.141592653589793,-2.0943951023931957,0.9999930915221453,complex
1.9160000000000001,1.2099188642027585,3.141592653589793,-2.0943951023931957,0.9999931489847647,complex
1.9240000000000002,1.2191117451479094,3.141592653589793,-2.0943951023931957,0.9999932057334135,complex
1.9320000000000002,1.2283046232228956,3.141592653589793,-2.0943951023931957,0.999993261779871,complex
1.94,1.2374974984631182,3.141592653589793,-2.0943951023931957,0.9999933171356746,complex
1.948,1.2466903709033976,3.141592653589793,-2.0943951023931957,0.9999933718121257,complex
1.956,1.2558832405779872,3.141592653589793,-2.0943951023931957,0.9999934258202956,complex
1.964,1.2650761075205823,3.141592653589793,-2.0943951023931957,0.999993479171031,complex
1.972,1.2742689717643345,3.141592653589793,-2.0943951023931957,0.9999935318749592,complex
1.98,1.2834618333418601,3.141592653589793,-2.0943951023931957,0.9999935839424939,complex
1.988,1.2926546922852538,3.141592653589793,-2.0943951023931957,0.9999936353838397,complex
1.996,1.3018475486260948,3.141592653589793,-2.0943951023931957,0.9999936862089978,complex
2.004,1.3110404023954598,3.141592653589793,-2.0943951023931957,0.9999937364277705,complex
2.012,1.3202332536239356,3.141592653589793,-2.0943951023931957,0.9999937860497659,complex
2.02,1.3294261023416225,3.141592653589793,-2.0943951023931957,0.9999938350844024,complex
2.028,1.338618948578148,3.141592653589793,-2.0943951023931957,0.9999938835409135,complex
2.036,1.3478117923626771,3.141592653589793,-2.0943951023931957,0.9999939314283521,complex
2.044,1.3570046337239168,3.141592653589793,-2.0943951023931957,0.999993978755594,complex
2.052,1.3661974726901298,3.141592653589793,-2.0943951023931957,0.9999940255313435,complex
2.06,1.3753903092891395,3.141592653589793,-2.0943951023931957,0.9999940717641358,complex
2.068,1.384583143548342,3.141592653589793,-2.0943951023931957,0.9999941174623418,complex
2.076,1.3937759754947097,3.141592653589793,-2.0943951023931957,0.999994162634172,complex
2.084,1.4029688051548035,3.141592653589793,-2.0943951023931957,0.9999942072876792,complex
2.092,1.4121616325547788,3.141592653589793,-2.0943951023931957,0.9999942514307636,complex
2.1,1.4213544577203951,3.141592653589793,-2.0943951023931957,0.9999942950711749,complex
