K,rho1,ang1,rho2,ang2,rho3,ang3
0.810000000,0.998766276,0.078296033,0.998627622,0.087605233,0.996954879,0.078438584
0.810069007,0.998766576,0.078299366,0.998627949,0.087608958,0.996955103,0.078441929
0.810138014,0.998766876,0.078302699,0.998628276,0.087612684,0.996955326,0.078445274
0.810207021,0.998767175,0.078306032,0.998628602,0.087616409,0.996955550,0.078448619
0.810276028,0.998767475,0.078309365,0.998628929,0.087620135,0.996955773,0.078451964
0.810345035,0.998767775,0.078312697,0.998629256,0.087623860,0.996955997,0.078455308
0.810414041,0.998768075,0.078316030,0.998629583,0.087627585,0.996956220,0.078458653
0.810483048,0.998768375,0.078319362,0.998629909,0.087631309,0.996956444,0.078461997
0.810552055,0.998768675,0.078322694,0.998630236,0.087635034,0.996956667,0.078465342
0.810621062,0.998768974,0.078326026,0.998630563,0.087638758,0.996956891,0.078468686
0.810690069,0.998769274,0.078329358,0.998630890,0.087642483,0.996957114,0.078472030
0.810759076,0.998769574,0.078332690,0.998631217,0.087646207,0.996957338,0.078475373
0.810828083,0.998769874,0.078336022,0.998631543,0.087649931,0.996957561,0.078478717
0.810897090,0.998770174,0.078339353,0.998631870,0.087653655,0.996957785,0.078482061
0.810966097,0.998770473,0.078342684,0.998632197,0.087657378,0.996958008,0.078485404
0.811035104,0.998770773,0.078346016,0.998632524,0.087661102,0.996958232,0.078488747
0.811104110,0.998771073,0.078349347,0.998632851,0.087664825,0.996958455,0.078492090
0.811173117,0.998771373,0.078352678,0.998633177,0.087668548,0.996958679,0.078495433
0.811242124,0.998771673,0.078356008,0.998633504,0.087672271,0.996958902,0.078498776
0.811311131,0.998771972,0.078359339,0.998633831,0.087675994,0.996959126,0.078502119
0.811380138,0.998772272,0.078362669,0.998634158,0.087679717,0.996959349,0.078505461
0.811449145,0.998772572,0.078366000,0.998634484,0.087683439,0.996959573,0.078508804
0.811518152,0.998772872,0.078369330,0.998634811,0.087687161,0.996959797,0.078512146
0.811587159,0.998773172,0.078372660,0.998635138,0.087690884,0.996960020,0.078515488
0.811656166,0.998773471,0.078375990,0.998635465,0.087694606,0.996960244,0.078518830
0.811725173,0.998773771,0.078379319,0.998635792,0.087698327,0.996960467,0.078522172
0.811794179,0.998774071,0.078382649,0.998636118,0.087702049,0.996960691,0.078525513
0.811863186,0.998774371,0.078385978,0.998636445,0.087705771,0.996960914,0.078528855
0.811932193,0.998774671,0.078389308,0.998636772,0.087709492,0.996961138,0.078532196
0.812001200,0.998774970,0.078392637,0.998637099,0.087713213,0.996961361,0.078535537
0.812070207,0.998775270,0.078395966,0.998637426,0.087716934,0.996961585,0.078538878
