K,rho1,ang1,rho2,ang2,rho3,ang3
0.100000000,0.996265437,0.291977598,0.988735611,0.249270359,0.980836771,0.251320948
0.100002500,0.996266495,0.291981132,0.988736437,0.249273441,0.980837509,0.251324078
0.100005000,0.996267553,0.291984666,0.988737263,0.249276523,0.980838246,0.251327208
0.100007500,0.996268612,0.291988201,0.988738090,0.249279605,0.980838984,0.251330338
0.100010001,0.996269670,0.291991735,0.988738916,0.249282687,0.980839721,0.251333468
0.100012501,0.996270728,0.291995269,0.988739743,0.249285769,0.980840459,0.251336598
0.100015001,0.996271787,0.291998803,0.988740569,0.249288850,0.980841196,0.251339728
0.100017501,0.996272845,0.292002337,0.988741396,0.249291932,0.980841934,0.251342857
0.100020001,0.996273903,0.292005870,0.988742222,0.249295014,0.980842671,0.251345987
0.100022501,0.996274961,0.292009404,0.988743049,0.249298096,0.980843409,0.251349117
0.100025001,0.996276020,0.292012938,0.988743875,0.249301177,0.980844146,0.251352246
0.100027501,0.996277078,0.292016472,0.988744702,0.249304259,0.980844884,0.251355376
0.100030002,0.996278136,0.292020005,0.988745528,0.249307340,0.980845621,0.251358506
0.100032502,0.996279195,0.292023539,0.988746355,0.249310422,0.980846359,0.251361635
0.100035002,0.996280253,0.292027072,0.988747181,0.249313503,0.980847096,0.251364765
0.100037502,0.996281311,0.292030606,0.988748007,0.249316585,0.980847834,0.251367894
0.100040002,0.996282370,0.292034139,0.988748834,0.249319666,0.980848571,0.251371024
0.100042502,0.996283428,0.292037673,0.988749660,0.249322748,0.980849309,0.251374153
0.100045002,0.996284486,0.292041206,0.988750487,0.249325829,0.980850046,0.251377282
0.100047502,0.996285544,0.292044739,0.988751313,0.249328910,0.980850784,0.251380411
0.100050003,0.996286603,0.292048273,0.988752140,0.249331991,0.980851521,0.251383541
0.100052503,0.996287661,0.292051806,0.988752966,0.249335073,0.980852259,0.251386670
0.100055003,0.996288719,0.292055339,0.988753793,0.249338154,0.980852996,0.251389799
0.100057503,0.996289778,0.292058872,0.988754619,0.249341235,0.980853734,0.251392928
0.100060003,0.996290836,0.292062405,0.988755446,0.249344316,0.980854471,0.251396057
0.100062503,0.996291894,0.292065938,0.988756272,0.249347397,0.980855209,0.251399186
0.100065003,0.996292953,0.292069471,0.988757098,0.249350478,0.980855946,0.251402315
0.100067503,0.996294011,0.292073004,0.988757925,0.249353559,0.980856684,0.251405444
0.100070004,0.996295069,0.292076536,0.988758751,0.249356639,0.980857421,0.251408573
0.100072504,0.996296127,0.292080069,0.988759578,0.249359720,0.980858159,0.251411702
0.100075004,0.996297186,0.292083602,0.988760404,0.249362801,0.980858897,0.251414830
0.100077504,0.996298244,0.292087135,0.988761231,0.249365882,0.980859634,0.251417959
0.100080004,0.996299302,0.292090667,0.988762057,0.249368962,0.980860372,0.251421088
0.100082504,0.996300360,0.292094200,0.988762883,0.249372043,0.980861109,0.251424216
0.100085004,0.996301419,0.292097732,0.988763710,0.249375124,0.980861847,0.251427345
0.100087504,0.996302477,0.292101265,0.988764536,0.249378204,0.980862584,0.251430473
0.100090005,0.996303535,0.292104797,0.988765363,0.249381285,0.980863322,0.251433602
0.100092505,0.996304594,0.292108329,0.988766189,0.249384365,0.980864059,0.251436730
0.100095005,0.996305652,0.292111862,0.988767016,0.249387445,0.980864797,0.251439859
0.100097505,0.996306710,0.292115394,0.988767842,0.249390526,0.980865534,0.251442987
0.100100005,0.996307768,0.292118926,0.988768668,0.249393606,0.980866272,0.251446116
0.100102505,0.996308827,0.292122458,0.988769495,0.249396686,0.980867009,0.251449244
0.100105005,0.996309885,0.292125990,0.988770321,0.249399767,0.980867747,0.251452372
