K,rho,angle,F_triangle,r(theta*),type,f_pred,A=1-gamma*dt
6.0,1.0340527472544612,0.25674497550213277,-2.0943951023931957,0.9999993087412513,NS-candidate,0.040862231965172004,0.97
6.033519553072626,1.0342803540951186,0.25742180922191593,-2.0943951023931957,0.999999316396271,NS-candidate,0.04096995339732677,0.97
6.067039106145251,1.0345077998050283,0.2580964622925476,-2.0943951023931957,0.9999993239248332,NS-candidate,0.04107732776838993,0.97
6.100558659217877,1.0347350854073543,0.25876895240273473,-2.0943951023931957,0.9999993313297078,NS-candidate,0.04118435789360662,0.97
6.134078212290503,1.0349622119117297,0.25943929700033114,-2.0943951023931957,0.99999933861359,NS-candidate,0.041291046549889035,0.97
6.167597765363128,1.0351891803145326,0.26010751329693355,-2.0943951023931957,0.9999993457791012,NS-candidate,0.04139739647654787,0.97
6.201117318435754,1.0354159915990973,0.2607736182723631,-2.0943951023931957,0.999999352828792,NS-candidate,0.04150341037600559,0.97
6.23463687150838,1.0356426467359954,0.26143762867903264,-2.0943951023931957,0.9999993597651461,NS-candidate,0.041609090914491505,0.97
6.268156424581005,1.0358691466832548,0.2620995610462223,-2.0943951023931957,0.9999993665905792,NS-candidate,0.041714440722722256,0.97
6.301675977653631,1.036095492386594,0.2627594316842353,-2.0943951023931957,0.999999373307444,NS-candidate,0.041819462396563235,0.97
6.335195530726257,1.0363216847796521,0.2634172566884714,-2.0943951023931957,0.9999993799180311,NS-candidate,0.04192415849767685,0.97
6.368715083798882,1.0365477247842019,0.26407305194338343,-2.0943951023931957,0.9999993864245705,NS-candidate,0.042028531554152315,0.97
6.402234636871508,1.036773613310381,0.26472683312636236,-2.0943951023931957,0.9999993928292348,NS-candidate,0.04213258406112388,0.97
6.435754189944134,1.0369993512568831,0.26537861571151683,-2.0943951023931957,0.9999993991341395,NS-candidate,0.04223631848137242,0.97
6.4692737430167595,1.0372249395111817,0.26602841497336116,-2.0943951023931957,0.9999994053413455,NS-candidate,0.04233973724591241,0.97
6.5027932960893855,1.0374503789497185,0.2666762459904324,-2.0943951023931957,0.9999994114528612,NS-candidate,0.04244284275456755,0.97
6.5363128491620115,1.0376756704381116,0.2673221236488101,-2.0943951023931957,0.9999994174706437,NS-candidate,0.04254563737653098,0.97
6.569832402234637,1.0379008148313351,0.2679660626455602,-2.0943951023931957,0.9999994233965996,NS-candidate,0.0426481234509134,0.97
6.603351955307263,1.0381258129739135,0.26860807749210064,-2.0943951023931957,0.9999994292325878,NS-candidate,0.04275030328727869,0.97
6.636871508379889,1.0383506657001134,0.26924818251748683,-2.0943951023931957,0.9999994349804205,NS-candidate,0.04285217916616687,0.97
6.670391061452514,1.0385753738340957,0.26988639187162555,-2.0943951023931957,0.9999994406418642,NS-candidate,0.04295375333960553,0.97
6.70391061452514,1.0387999381901278,0.2705227195284166,-2.0943951023931957,0.9999994462186412,NS-candidate,0.04305502803160991,0.97
6.737430167597766,1.0390243595727247,0.2711571792888212,-2.0943951023931957,0.999999451712432,NS-candidate,0.0431560054386712,0.97
6.770949720670391,1.0392486387768316,0.2717897847838617,-2.0943951023931957,0.9999994571248744,NS-candidate,0.043256687730233986,0.97
6.804469273743017,1.0394727765879863,0.2724205494775578,-2.0943951023931957,0.999999462457567,NS-candidate,0.04335707704916357,0.97
6.837988826815643,1.0396967737824716,0.27304948666979467,-2.0943951023931957,0.9999994677120686,NS-candidate,0.043457175512202406,0.97
6.871508379888268,1.0399206311274802,0.27367660949913347,-2.0943951023931957,0.9999994728899007,NS-candidate,0.043556985210417454,0.97
6.905027932960894,1.0401443493812672,0.27430193094554756,-2.0943951023931957,0.9999994779925473,NS-candidate,0.043656508209635625,0.97
6.93854748603352,1.0403679292932981,0.27492546383311117,-2.0943951023931957,0.9999994830214575,NS-candidate,0.04375574655087174,0.97
6.972067039106145,1.040591371604392,0.2755472208326326,-2.0943951023931957,0.9999994879780447,NS-candidate,0.043854702250747564,0.97
7.005586592178771,1.0408146770468707,0.27616721446420733,-2.0943951023931957,0.9999994928636895,NS-candidate,0.043953377301898175,0.97
7.039106145251397,1.041037846344699,0.2767854570997544,-2.0943951023931957,0.9999994976797392,NS-candidate,0.04405177367337565,0.97
7.072625698324022,1.0412608802136165,0.27740196096545383,-2.0943951023931957,0.9999995024275092,NS-candidate,0.044149893311036977,0.97
7.106145251396648,1.0414837793612812,0.2780167381441732,-2.0943951023931957,0.9999995071082846,NS-candidate,0.04424773813793026,0.97
7.139664804469273,1.0417065444873892,0.27862980057781483,-2.0943951023931957,0.9999995117233194,NS-candidate,0.04434531005466827,0.97
7.173184357541899,1.041929176283819,0.2792411600696266,-2.0943951023931957,0.9999995162738392,NS-candidate,0.04444261093979626,0.97
7.206703910614525,1.042151675434742,0.2798508282864595,-2.0943951023931957,0.9999995207610409,NS-candidate,0.04453964265015124,0.97
7.240223463687151,1.0423740426167587,0.28045881676097895,-2.0943951023931957,0.9999995251860938,NS-candidate,0.04463640702121391,0.97
7.273743016759776,1.0425962784990144,0.28106513689383206,-2.0943951023931957,0.9999995295501405,NS-candidate,0.04473290586745361,0.97
7.307262569832402,1.042818383743315,0.2816697999557677,-2.0943951023931957,0.9999995338542971,NS-candidate,0.04482914098266575,0.97
7.340782122905027,1.0430403590042445,0.282272817089714,-2.0943951023931957,0.9999995380996543,NS-candidate,0.04492511414030242,0.97
7.374301675977653,1.0432622049292897,0.2828741993128076,-2.0943951023931957,0.9999995422872786,NS-candidate,0.04502082709379535,0.97
7.407821229050279,1.0434839221589371,0.28347395751840093,-2.0943951023931957,0.9999995464182119,NS-candidate,0.04511628157687546,0.97
7.441340782122905,1.0437055113267792,0.2840721024779956,-2.0943951023931957,0.999999550493473,NS-candidate,0.04521147930388045,0.97
7.4748603351955305,1.043926973059649,0.28466864484317,-2.0943951023931957,0.9999995545140578,NS-candidate,0.04530642197006169,0.97
7.5083798882681565,1.0441483079776888,0.28526359514744437,-2.0943951023931957,0.9999995584809398,NS-candidate,0.04540111125188098,0.97
7.541899441340782,1.0443695166944804,0.28585696380812686,-2.0943951023931957,0.9999995623950715,NS-candidate,0.045495548807304415,0.97
7.575418994413408,1.0445905998171279,0.28644876112810014,-2.0943951023931957,0.999999566257384,NS-candidate,0.0455897362760867,0.97
7.608938547486034,1.0448115579463715,0.2870389972976012,-2.0943951023931957,0.9999995700687878,NS-candidate,0.04568367528005442,0.97
7.64245810055866,1.0450323916766744,0.28762768239593994,-2.0943951023931957,0.9999995738301737,NS-candidate,0.04577736742337957,0.97
7.675977653631285,1.0452531015963156,0.28821482639319596,-2.0943951023931957,0.9999995775424134,NS-candidate,0.045870814292849595,0.97
7.709497206703911,1.0454736882874964,0.2888004391518877,-2.0943951023931957,0.999999581206359,NS-candidate,0.04596401745813307,0.97
7.743016759776536,1.0456941523264147,0.2893845304285893,-2.0943951023931957,0.9999995848228448,NS-candidate,0.046056978472036984,0.97
7.776536312849162,1.0459144942833674,0.2899671098755424,-2.0943951023931957,0.9999995883926869,NS-candidate,0.04614969887076332,0.97
7.810055865921788,1.0461347147228355,0.2905481870422087,-2.0943951023931957,0.999999591916684,NS-candidate,0.046242180174156086,0.97
7.843575418994414,1.0463548142035635,0.29112777137682677,-2.0943951023931957,0.9999995953956176,NS-candidate,0.04633442388594918,0.97
