K,rho,angle,label
1.200000000,0.994358170,0.137303066,complex
1.200150075,0.994359349,0.137311647,complex
1.200300150,0.994360528,0.137320228,complex
1.200450225,0.994361707,0.137328808,complex
1.200600300,0.994362886,0.137337387,complex
1.200750375,0.994364065,0.137345965,complex
1.200900450,0.994365244,0.137354544,complex
1.201050525,0.994366423,0.137363121,complex
1.201200600,0.994367602,0.137371698,complex
1.201350675,0.994368781,0.137380275,complex
1.201500750,0.994369960,0.137388850,complex
1.201650825,0.994371139,0.137397426,complex
1.201800900,0.994372318,0.137406001,complex
1.201950975,0.994373497,0.137414575,complex
1.202101051,0.994374676,0.137423148,complex
1.202251126,0.994375855,0.137431721,complex
1.202401201,0.994377034,0.137440294,complex
1.202551276,0.994378213,0.137448866,complex
1.202701351,0.994379392,0.137457437,complex
1.202851426,0.994380571,0.137466008,complex
1.203001501,0.994381750,0.137474578,complex
1.203151576,0.994382929,0.137483148,complex
1.203301651,0.994384108,0.137491717,complex
1.203451726,0.994385287,0.137500286,complex
1.203601801,0.994386466,0.137508854,complex
1.203751876,0.994387645,0.137517421,complex
1.203901951,0.994388824,0.137525988,complex
1.204052026,0.994390003,0.137534554,complex
1.204202101,0.994391182,0.137543120,complex
1.204352176,0.994392360,0.137551685,complex
1.204502251,0.994393539,0.137560250,complex
1.204652326,0.994394718,0.137568814,complex
1.204802401,0.994395897,0.137577378,complex
1.204952476,0.994397076,0.137585940,complex
1.205102551,0.994398255,0.137594503,complex
1.205252626,0.994399434,0.137603065,complex
1.205402701,0.994400613,0.137611626,complex
1.205552776,0.994401792,0.137620187,complex
1.205702851,0.994402971,0.137628747,complex
1.205852926,0.994404150,0.137637307,complex
1.206003002,0.994405329,0.137645866,complex
1.206153077,0.994406508,0.137654424,complex
1.206303152,0.994407687,0.137662982,complex
1.206453227,0.994408866,0.137671539,complex
1.206603302,0.994410045,0.137680096,complex
1.206753377,0.994411224,0.137688652,complex
1.206903452,0.994412403,0.137697208,complex
1.207053527,0.994413581,0.137705763,complex
1.207203602,0.994414760,0.137714318,complex
1.207353677,0.994415939,0.137722872,complex
1.207503752,0.994417118,0.137731425,complex
1.207653827,0.994418297,0.137739978,complex
1.207803902,0.994419476,0.137748530,complex
1.207953977,0.994420655,0.137757082,complex
1.208104052,0.994421834,0.137765633,complex
1.208254127,0.994423013,0.137774184,complex
1.208404202,0.994424192,0.137782734,complex
1.208554277,0.994425371,0.137791284,complex
1.208704352,0.994426550,0.137799833,complex
1.208854427,0.994427729,0.137808381,complex
1.209004502,0.994428908,0.137816929,complex
1.209154577,0.994430086,0.137825476,complex
1.209304652,0.994431265,0.137834023,complex
1.209454727,0.994432444,0.137842569,complex
1.209604802,0.994433623,0.137851115,complex
1.209754877,0.994434802,0.137859660,complex
1.209904952,0.994435981,0.137868205,complex
1.210055028,0.994437160,0.137876749,complex
1.210205103,0.994438339,0.137885292,complex
1.210355178,0.994439518,0.137893835,complex
1.210505253,0.994440697,0.137902377,complex
1.210655328,0.994441875,0.137910919,complex
1.210805403,0.994443054,0.137919460,complex
1.210955478,0.994444233,0.137928001,complex
1.211105553,0.994445412,0.137936541,complex
1.211255628,0.994446591,0.137945081,complex
1.211405703,0.994447770,0.137953619,complex
1.211555778,0.994448949,0.137962158,complex
1.211705853,0.994450128,0.137970696,complex
1.211855928,0.994451307,0.137979233,complex
1.212006003,0.994452486,0.137987770,complex
1.212156078,0.994453664,0.137996306,complex
1.212306153,0.994454843,0.138004842,complex
1.212456228,0.994456022,0.138013377,complex
1.212606303,0.994457201,0.138021911,complex
1.212756378,0.994458380,0.138030445,complex
1.212906453,0.994459559,0.138038979,complex
1.213056528,0.994460738,0.138047512,complex
1.213206603,0.994461917,0.138056044,complex
1.213356678,0.994463095,0.138064576,complex
1.213506753,0.994464274,0.138073107,complex
1.213656828,0.994465453,0.138081638,complex
1.213806903,0.994466632,0.138090168,complex
1.213956978,0.994467811,0.138098697,complex
1.214107054,0.994468990,0.138107226,complex
1.214257129,0.994470169,0.138115755,complex
1.214407204,0.994471348,0.138124283,complex
1.214557279,0.994472526,0.138132810,complex
1.214707354,0.994473705,0.138141337,complex
1.214857429,0.994474884,0.138149863,complex
1.215007504,0.994476063,0.138158389,complex
1.215157579,0.994477242,0.138166914,complex
1.215307654,0.994478421,0.138175438,complex
1.215457729,0.994479600,0.138183962,complex
1.215607804,0.994480778,0.138192486,complex
1.215757879,0.994481957,0.138201009,complex
1.215907954,0.994483136,0.138209531,complex
1.216058029,0.994484315,0.138218053,complex
1.216208104,0.994485494,0.138226574,complex
1.216358179,0.994486673,0.138235095,complex
1.216508254,0.994487851,0.138243615,complex
1.216658329,0.994489030,0.138252134,complex
1.216808404,0.994490209,0.138260653,complex
1.216958479,0.994491388,0.138269172,complex
1.217108554,0.994492567,0.138277690,complex
1.217258629,0.994493746,0.138286207,complex
1.217408704,0.994494925,0.138294724,complex
1.217558779,0.994496103,0.138303240,complex
1.217708854,0.994497282,0.138311756,complex
1.217858929,0.994498461,0.138320271,complex
1.218009005,0.994499640,0.138328786,complex
1.218159080,0.994500819,0.138337300,complex
1.218309155,0.994501998,0.138345814,complex
1.218459230,0.994503176,0.138354327,complex
1.218609305,0.994504355,0.138362839,complex
1.218759380,0.994505534,0.138371351,complex
1.218909455,0.994506713,0.138379862,complex
1.219059530,0.994507892,0.138388373,complex
1.219209605,0.994509070,0.138396883,complex
1.219359680,0.994510249,0.138405393,complex
1.219509755,0.994511428,0.138413902,complex
1.219659830,0.994512607,0.138422411,complex
1.219809905,0.994513786,0.138430919,complex
1.219959980,0.994514965,0.138439426,complex
1.220110055,0.994516143,0.138447933,complex
1.220260130,0.994517322,0.138456439,complex
1.220410205,0.994518501,0.138464945,complex
1.220560280,0.994519680,0.138473450,complex
1.220710355,0.994520859,0.138481955,complex
1.220860430,0.994522037,0.138490459,complex
1.221010505,0.994523216,0.138498963,complex
1.221160580,0.994524395,0.138507466,complex
1.221310655,0.994525574,0.138515969,complex
1.221460730,0.994526753,0.138524471,complex
1.221610805,0.994527931,0.138532972,complex
1.221760880,0.994529110,0.138541473,complex
1.221910955,0.994530289,0.138549973,complex
1.222061031,0.994531468,0.138558473,complex
1.222211106,0.994532647,0.138566972,complex
1.222361181,0.994533825,0.138575471,complex
1.222511256,0.994535004,0.138583969,complex
1.222661331,0.994536183,0.138592467,complex
1.222811406,0.994537362,0.138600964,complex
1.222961481,0.994538541,0.138609460,complex
1.223111556,0.994539719,0.138617956,complex
1.223261631,0.994540898,0.138626452,complex
1.223411706,0.994542077,0.138634947,complex
1.223561781,0.994543256,0.138643441,complex
1.223711856,0.994544434,0.138651935,complex
1.223861931,0.994545613,0.138660428,complex
1.224012006,0.994546792,0.138668920,complex
1.224162081,0.994547971,0.138677413,complex
1.224312156,0.994549150,0.138685904,complex
1.224462231,0.994550328,0.138694395,complex
1.224612306,0.994551507,0.138702886,complex
1.224762381,0.994552686,0.138711376,complex
1.224912456,0.994553865,0.138719865,complex
1.225062531,0.994555043,0.138728354,complex
1.225212606,0.994556222,0.138736842,complex
1.225362681,0.994557401,0.138745330,complex
1.225512756,0.994558580,0.138753817,complex
1.225662831,0.994559758,0.138762304,complex
1.225812906,0.994560937,0.138770790,complex
1.225962981,0.994562116,0.138779275,complex
1.226113057,0.994563295,0.138787760,complex
1.226263132,0.994564473,0.138796245,complex
1.226413207,0.994565652,0.138804729,complex
1.226563282,0.994566831,0.138813212,complex
1.226713357,0.994568010,0.138821695,complex
1.226863432,0.994569188,0.138830177,complex
1.227013507,0.994570367,0.138838659,complex
1.227163582,0.994571546,0.138847140,complex
1.227313657,0.994572725,0.138855621,complex
1.227463732,0.994573903,0.138864101,complex
1.227613807,0.994575082,0.138872581,complex
1.227763882,0.994576261,0.138881060,complex
1.227913957,0.994577440,0.138889538,complex
1.228064032,0.994578618,0.138898016,complex
1.228214107,0.994579797,0.138906494,complex
1.228364182,0.994580976,0.138914970,complex
1.228514257,0.994582155,0.138923447,complex
1.228664332,0.994583333,0.138931922,complex
1.228814407,0.994584512,0.138940398,complex
1.228964482,0.994585691,0.138948872,complex
1.229114557,0.994586870,0.138957347,complex
1.229264632,0.994588048,0.138965820,complex
1.229414707,0.994589227,0.138974293,complex
1.229564782,0.994590406,0.138982766,complex
1.229714857,0.994591584,0.138991238,complex
1.229864932,0.994592763,0.138999709,complex
1.230015008,0.994593942,0.139008180,complex
1.230165083,0.994595121,0.139016650,complex
1.230315158,0.994596299,0.139025120,complex
1.230465233,0.994597478,0.139033589,complex
1.230615308,0.994598657,0.139042058,complex
1.230765383,0.994599835,0.139050526,complex
1.230915458,0.994601014,0.139058994,complex
1.231065533,0.994602193,0.139067461,complex
1.231215608,0.994603372,0.139075927,complex
1.231365683,0.994604550,0.139084393,complex
1.231515758,0.994605729,0.139092859,complex
1.231665833,0.994606908,0.139101324,complex
1.231815908,0.994608086,0.139109788,complex
1.231965983,0.994609265,0.139118252,complex
1.232116058,0.994610444,0.139126715,complex
1.232266133,0.994611622,0.139135178,complex
1.232416208,0.994612801,0.139143640,complex
1.232566283,0.994613980,0.139152102,complex
1.232716358,0.994615159,0.139160563,complex
1.232866433,0.994616337,0.139169023,complex
1.233016508,0.994617516,0.139177483,complex
1.233166583,0.994618695,0.139185943,complex
1.233316658,0.994619873,0.139194402,complex
1.233466733,0.994621052,0.139202860,complex
1.233616808,0.994622231,0.139211318,complex
1.233766883,0.994623409,0.139219775,complex
1.233916958,0.994624588,0.139228232,complex
1.234067034,0.994625767,0.139236688,complex
1.234217109,0.994626945,0.139245144,complex
1.234367184,0.994628124,0.139253599,complex
1.234517259,0.994629303,0.139262054,complex
1.234667334,0.994630481,0.139270508,complex
1.234817409,0.994631660,0.139278962,complex
1.234967484,0.994632839,0.139287415,complex
1.235117559,0.994634018,0.139295867,complex
1.235267634,0.994635196,0.139304319,complex
1.235417709,0.994636375,0.139312770,complex
1.235567784,0.994637554,0.139321221,complex
1.235717859,0.994638732,0.139329672,complex
1.235867934,0.994639911,0.139338121,complex
1.236018009,0.994641090,0.139346571,complex
1.236168084,0.994642268,0.139355019,complex
1.236318159,0.994643447,0.139363467,complex
1.236468234,0.994644625,0.139371915,complex
1.236618309,0.994645804,0.139380362,complex
1.236768384,0.994646983,0.139388809,complex
1.236918459,0.994648161,0.139397255,complex
1.237068534,0.994649340,0.139405700,complex
1.237218609,0.994650519,0.139414145,complex
1.237368684,0.994651697,0.139422589,complex
1.237518759,0.994652876,0.139431033,complex
1.237668834,0.994654055,0.139439477,complex
1.237818909,0.994655233,0.139447919,complex
1.237968984,0.994656412,0.139456362,complex
1.238119060,0.994657591,0.139464803,complex
1.238269135,0.994658769,0.139473244,complex
1.238419210,0.994659948,0.139481685,complex
1.238569285,0.994661127,0.139490125,complex
1.238719360,0.994662305,0.139498565,complex
1.238869435,0.994663484,0.139507004,complex
1.239019510,0.994664662,0.139515442,complex
1.239169585,0.994665841,0.139523880,complex
1.239319660,0.994667020,0.139532317,complex
1.239469735,0.994668198,0.139540754,complex
1.239619810,0.994669377,0.139549191,complex
1.239769885,0.994670556,0.139557626,complex
1.239919960,0.994671734,0.139566062,complex
1.240070035,0.994672913,0.139574496,complex
1.240220110,0.994674092,0.139582930,complex
1.240370185,0.994675270,0.139591364,complex
1.240520260,0.994676449,0.139599797,complex
1.240670335,0.994677627,0.139608230,complex
1.240820410,0.994678806,0.139616662,complex
1.240970485,0.994679985,0.139625093,complex
1.241120560,0.994681163,0.139633524,complex
1.241270635,0.994682342,0.139641955,complex
1.241420710,0.994683520,0.139650385,complex
1.241570785,0.994684699,0.139658814,complex
1.241720860,0.994685878,0.139667243,complex
1.241870935,0.994687056,0.139675671,complex
1.242021011,0.994688235,0.139684099,complex
1.242171086,0.994689414,0.139692526,complex
1.242321161,0.994690592,0.139700953,complex
1.242471236,0.994691771,0.139709379,complex
1.242621311,0.994692949,0.139717804,complex
1.242771386,0.994694128,0.139726229,complex
1.242921461,0.994695307,0.139734654,complex
1.243071536,0.994696485,0.139743078,complex
1.243221611,0.994697664,0.139751501,complex
1.243371686,0.994698842,0.139759924,complex
1.243521761,0.994700021,0.139768347,complex
1.243671836,0.994701200,0.139776769,complex
1.243821911,0.994702378,0.139785190,complex
1.243971986,0.994703557,0.139793611,complex
1.244122061,0.994704735,0.139802031,complex
1.244272136,0.994705914,0.139810451,complex
1.244422211,0.994707092,0.139818870,complex
1.244572286,0.994708271,0.139827289,complex
1.244722361,0.994709450,0.139835707,complex
1.244872436,0.994710628,0.139844124,complex
1.245022511,0.994711807,0.139852541,complex
1.245172586,0.994712985,0.139860958,complex
1.245322661,0.994714164,0.139869374,complex
1.245472736,0.994715343,0.139877789,complex
1.245622811,0.994716521,0.139886204,complex
1.245772886,0.994717700,0.139894619,complex
1.245922961,0.994718878,0.139903033,complex
1.246073037,0.994720057,0.139911446,complex
1.246223112,0.994721235,0.139919859,complex
1.246373187,0.994722414,0.139928271,complex
1.246523262,0.994723593,0.139936683,complex
1.246673337,0.994724771,0.139945094,complex
1.246823412,0.994725950,0.139953505,complex
1.246973487,0.994727128,0.139961915,complex
1.247123562,0.994728307,0.139970324,complex
1.247273637,0.994729485,0.139978733,complex
1.247423712,0.994730664,0.139987142,complex
1.247573787,0.994731842,0.139995550,complex
1.247723862,0.994733021,0.140003958,complex
1.247873937,0.994734200,0.140012364,complex
1.248024012,0.994735378,0.140020771,complex
1.248174087,0.994736557,0.140029177,complex
1.248324162,0.994737735,0.140037582,complex
1.248474237,0.994738914,0.140045987,complex
1.248624312,0.994740092,0.140054391,complex
1.248774387,0.994741271,0.140062795,complex
1.248924462,0.994742449,0.140071198,complex
1.249074537,0.994743628,0.140079601,complex
1.249224612,0.994744806,0.140088003,complex
1.249374687,0.994745985,0.140096405,complex
1.249524762,0.994747164,0.140104806,complex
1.249674837,0.994748342,0.140113206,complex
1.249824912,0.994749521,0.140121606,complex
1.249974987,0.994750699,0.140130006,complex
1.250125063,0.994751878,0.140138405,complex
1.250275138,0.994753056,0.140146803,complex
1.250425213,0.994754235,0.140155201,complex
1.250575288,0.994755413,0.140163599,complex
1.250725363,0.994756592,0.140171996,complex
1.250875438,0.994757770,0.140180392,complex
1.251025513,0.994758949,0.140188788,complex
1.251175588,0.994760127,0.140197183,complex
1.251325663,0.994761306,0.140205578,complex
1.251475738,0.994762484,0.140213972,complex
1.251625813,0.994763663,0.140222366,complex
1.251775888,0.994764841,0.140230759,complex
1.251925963,0.994766020,0.140239152,complex
1.252076038,0.994767198,0.140247544,complex
1.252226113,0.994768377,0.140255935,complex
1.252376188,0.994769555,0.140264326,complex
1.252526263,0.994770734,0.140272717,complex
1.252676338,0.994771913,0.140281107,complex
1.252826413,0.994773091,0.140289496,complex
1.252976488,0.994774270,0.140297885,complex
1.253126563,0.994775448,0.140306274,complex
1.253276638,0.994776627,0.140314661,complex
1.253426713,0.994777805,0.140323049,complex
1.253576788,0.994778984,0.140331436,complex
1.253726863,0.994780162,0.140339822,complex
1.253876938,0.994781341,0.140348208,complex
1.254027014,0.994782519,0.140356593,complex
1.254177089,0.994783698,0.140364978,complex
1.254327164,0.994784876,0.140373362,complex
1.254477239,0.994786055,0.140381746,complex
1.254627314,0.994787233,0.140390129,complex
1.254777389,0.994788411,0.140398511,complex
1.254927464,0.994789590,0.140406893,complex
1.255077539,0.994790768,0.140415275,complex
1.255227614,0.994791947,0.140423656,complex
1.255377689,0.994793125,0.140432036,complex
1.255527764,0.994794304,0.140440416,complex
1.255677839,0.994795482,0.140448796,complex
1.255827914,0.994796661,0.140457175,complex
1.255977989,0.994797839,0.140465553,complex
1.256128064,0.994799018,0.140473931,complex
1.256278139,0.994800196,0.140482308,complex
1.256428214,0.994801375,0.140490685,complex
1.256578289,0.994802553,0.140499061,complex
1.256728364,0.994803732,0.140507437,complex
1.256878439,0.994804910,0.140515812,complex
1.257028514,0.994806089,0.140524187,complex
1.257178589,0.994807267,0.140532561,complex
1.257328664,0.994808446,0.140540935,complex
1.257478739,0.994809624,0.140549308,complex
1.257628814,0.994810803,0.140557681,complex
1.257778889,0.994811981,0.140566053,complex
1.257928964,0.994813159,0.140574424,complex
1.258079040,0.994814338,0.140582795,complex
1.258229115,0.994815516,0.140591166,complex
