K,rho1,ang1,rho2,ang2,rho3,ang3
0.700000000,0.999450717,0.076847433,0.999338180,0.095358597,0.996054749,0.077109958
0.700010001,0.999450772,0.076847982,0.999338245,0.095359276,0.996054780,0.077110510
0.700020001,0.999450826,0.076848530,0.999338310,0.095359955,0.996054810,0.077111062
0.700030002,0.999450880,0.076849078,0.999338375,0.095360634,0.996054840,0.077111614
0.700040002,0.999450935,0.076849627,0.999338440,0.095361314,0.996054871,0.077112166
0.700050003,0.999450989,0.076850175,0.999338505,0.095361993,0.996054901,0.077112718
0.700060003,0.999451043,0.076850723,0.999338569,0.095362672,0.996054931,0.077113270
0.700070004,0.999451098,0.076851272,0.999338634,0.095363351,0.996054962,0.077113823
0.700080004,0.999451152,0.076851820,0.999338699,0.095364030,0.996054992,0.077114375
0.700090005,0.999451206,0.076852368,0.999338764,0.095364709,0.996055023,0.077114927
0.700100005,0.999451261,0.076852917,0.999338829,0.095365388,0.996055053,0.077115479
0.700110006,0.999451315,0.076853465,0.999338894,0.095366067,0.996055083,0.077116031
0.700120006,0.999451369,0.076854013,0.999338959,0.095366746,0.996055114,0.077116583
0.700130007,0.999451424,0.076854562,0.999339024,0.095367425,0.996055144,0.077117135
0.700140007,0.999451478,0.076855110,0.999339089,0.095368104,0.996055174,0.077117687
0.700150008,0.999451532,0.076855658,0.999339154,0.095368783,0.996055205,0.077118239
0.700160008,0.999451587,0.076856207,0.999339219,0.095369462,0.996055235,0.077118791
0.700170009,0.999451641,0.076856755,0.999339283,0.095370141,0.996055265,0.077119343
0.700180009,0.999451696,0.076857303,0.999339348,0.095370820,0.996055296,0.077119895
0.700190010,0.999451750,0.076857851,0.999339413,0.095371499,0.996055326,0.077120447
0.700200010,0.999451804,0.076858400,0.999339478,0.095372178,0.996055356,0.077120999
0.700210011,0.999451859,0.076858948,0.999339543,0.095372857,0.996055387,0.077121551
0.700220011,0.999451913,0.076859496,0.999339608,0.095373536,0.996055417,0.077122103
0.700230012,0.999451967,0.076860045,0.999339673,0.095374215,0.996055447,0.077122655
0.700240012,0.999452022,0.076860593,0.999339738,0.095374893,0.996055478,0.077123207
0.700250013,0.999452076,0.076861141,0.999339803,0.095375572,0.996055508,0.077123759
0.700260013,0.999452130,0.076861689,0.999339868,0.095376251,0.996055538,0.077124311
0.700270014,0.999452185,0.076862238,0.999339933,0.095376930,0.996055569,0.077124863
0.700280014,0.999452239,0.076862786,0.999339997,0.095377609,0.996055599,0.077125415
0.700290015,0.999452293,0.076863334,0.999340062,0.095378288,0.996055629,0.077125967
0.700300015,0.999452348,0.076863882,0.999340127,0.095378967,0.996055660,0.077126519
0.700310016,0.999452402,0.076864431,0.999340192,0.095379646,0.996055690,0.077127071
0.700320016,0.999452456,0.076864979,0.999340257,0.095380325,0.996055720,0.077127623
0.700330017,0.999452511,0.076865527,0.999340322,0.095381004,0.996055751,0.077128175
0.700340017,0.999452565,0.076866075,0.999340387,0.095381683,0.996055781,0.077128727
0.700350018,0.999452619,0.076866623,0.999340452,0.095382362,0.996055811,0.077129279
0.700360018,0.999452674,0.076867172,0.999340517,0.095383041,0.996055842,0.077129831
0.700370019,0.999452728,0.076867720,0.999340582,0.095383719,0.996055872,0.077130383
0.700380019,0.999452782,0.076868268,0.999340647,0.095384398,0.996055903,0.077130935
0.700390020,0.999452837,0.076868816,0.999340711,0.095385077,0.996055933,0.077131486
0.700400020,0.999452891,0.076869365,0.999340776,0.095385756,0.996055963,0.077132038
0.700410021,0.999452945,0.076869913,0.999340841,0.095386435,0.996055994,0.077132590
0.700420021,0.999453000,0.076870461,0.999340906,0.095387114,0.996056024,0.077133142
0.700430022,0.999453054,0.076871009,0.999340971,0.095387793,0.996056054,0.077133694
0.700440022,0.999453108,0.076871557,0.999341036,0.095388471,0.996056085,0.077134246
0.700450023,0.999453163,0.076872106,0.999341101,0.095389150,0.996056115,0.077134798
0.700460023,0.999453217,0.076872654,0.999341166,0.095389829,0.996056145,0.077135350
0.700470024,0.999453271,0.076873202,0.999341231,0.095390508,0.996056176,0.077135902
0.700480024,0.999453326,0.076873750,0.999341296,0.095391187,0.996056206,0.077136454
0.700490025,0.999453380,0.076874298,0.999341361,0.095391866,0.996056236,0.077137006
0.700500025,0.999453434,0.076874846,0.999341425,0.095392545,0.996056267,0.077137557
0.700510026,0.999453489,0.076875395,0.999341490,0.095393223,0.996056297,0.077138109
0.700520026,0.999453543,0.076875943,0.999341555,0.095393902,0.996056327,0.077138661
0.700530027,0.999453597,0.076876491,0.999341620,0.095394581,0.996056358,0.077139213
0.700540027,0.999453652,0.076877039,0.999341685,0.095395260,0.996056388,0.077139765
0.700550028,0.999453706,0.076877587,0.999341750,0.095395939,0.996056418,0.077140317
0.700560028,0.999453760,0.076878135,0.999341815,0.095396617,0.996056449,0.077140869
0.700570029,0.999453815,0.076878683,0.999341880,0.095397296,0.996056479,0.077141421
0.700580029,0.999453869,0.076879232,0.999341945,0.095397975,0.996056509,0.077141972
0.700590030,0.999453924,0.076879780,0.999342010,0.095398654,0.996056540,0.077142524
0.700600030,0.999453978,0.076880328,0.999342075,0.095399332,0.996056570,0.077143076
0.700610031,0.999454032,0.076880876,0.999342139,0.095400011,0.996056600,0.077143628
0.700620031,0.999454087,0.076881424,0.999342204,0.095400690,0.996056631,0.077144180
0.700630032,0.999454141,0.076881972,0.999342269,0.095401369,0.996056661,0.077144732
0.700640032,0.999454195,0.076882520,0.999342334,0.095402048,0.996056692,0.077145284
0.700650033,0.999454250,0.076883068,0.999342399,0.095402726,0.996056722,0.077145835
0.700660033,0.999454304,0.076883616,0.999342464,0.095403405,0.996056752,0.077146387
0.700670034,0.999454358,0.076884165,0.999342529,0.095404084,0.996056783,0.077146939
0.700680034,0.999454413,0.076884713,0.999342594,0.095404762,0.996056813,0.077147491
0.700690035,0.999454467,0.076885261,0.999342659,0.095405441,0.996056843,0.077148043
0.700700035,0.999454521,0.076885809,0.999342724,0.095406120,0.996056874,0.077148594
0.700710036,0.999454576,0.076886357,0.999342789,0.095406799,0.996056904,0.077149146
0.700720036,0.999454630,0.076886905,0.999342853,0.095407477,0.996056934,0.077149698
0.700730037,0.999454684,0.076887453,0.999342918,0.095408156,0.996056965,0.077150250
0.700740037,0.999454739,0.076888001,0.999342983,0.095408835,0.996056995,0.077150802
0.700750038,0.999454793,0.076888549,0.999343048,0.095409513,0.996057025,0.077151353
0.700760038,0.999454847,0.076889097,0.999343113,0.095410192,0.996057056,0.077151905
0.700770039,0.999454902,0.076889645,0.999343178,0.095410871,0.996057086,0.077152457
0.700780039,0.999454956,0.076890193,0.999343243,0.095411550,0.996057116,0.077153009
0.700790040,0.999455010,0.076890741,0.999343308,0.095412228,0.996057147,0.077153561
0.700800040,0.999455065,0.076891289,0.999343373,0.095412907,0.996057177,0.077154112
0.700810041,0.999455119,0.076891837,0.999343438,0.095413586,0.996057207,0.077154664
0.700820041,0.999455173,0.076892385,0.999343503,0.095414264,0.996057238,0.077155216
0.700830042,0.999455228,0.076892934,0.999343567,0.095414943,0.996057268,0.077155768
0.700840042,0.999455282,0.076893482,0.999343632,0.095415622,0.996057299,0.077156319
0.700850043,0.999455336,0.076894030,0.999343697,0.095416300,0.996057329,0.077156871
0.700860043,0.999455391,0.076894578,0.999343762,0.095416979,0.996057359,0.077157423
0.700870044,0.999455445,0.076895126,0.999343827,0.095417658,0.996057390,0.077157975
0.700880044,0.999455499,0.076895674,0.999343892,0.095418336,0.996057420,0.077158526
0.700890045,0.999455554,0.076896222,0.999343957,0.095419015,0.996057450,0.077159078
0.700900045,0.999455608,0.076896770,0.999344022,0.095419693,0.996057481,0.077159630
