K,rho1,ang1,rho2,ang2,rho3,ang3
0.790000000,0.999937569,0.081636857,0.999924319,0.101302453,0.996330986,0.081933034
0.790003000,0.999937585,0.081637012,0.999924338,0.101302645,0.996330996,0.081933189
0.790006001,0.999937601,0.081637167,0.999924358,0.101302836,0.996331005,0.081933345
0.790009001,0.999937618,0.081637321,0.999924377,0.101303028,0.996331014,0.081933501
0.790012001,0.999937634,0.081637476,0.999924397,0.101303219,0.996331024,0.081933657
0.790015002,0.999937650,0.081637631,0.999924416,0.101303411,0.996331033,0.081933813
0.790018002,0.999937666,0.081637786,0.999924436,0.101303603,0.996331042,0.081933968
0.790021002,0.999937682,0.081637940,0.999924455,0.101303794,0.996331051,0.081934124
0.790024002,0.999937698,0.081638095,0.999924475,0.101303986,0.996331061,0.081934280
0.790027003,0.999937714,0.081638250,0.999924494,0.101304177,0.996331070,0.081934436
0.790030003,0.999937730,0.081638404,0.999924514,0.101304369,0.996331079,0.081934592
0.790033003,0.999937746,0.081638559,0.999924533,0.101304560,0.996331089,0.081934747
0.790036004,0.999937762,0.081638714,0.999924553,0.101304752,0.996331098,0.081934903
0.790039004,0.999937778,0.081638868,0.999924572,0.101304943,0.996331107,0.081935059
0.790042004,0.999937795,0.081639023,0.999924592,0.101305135,0.996331117,0.081935215
0.790045005,0.999937811,0.081639178,0.999924611,0.101305327,0.996331126,0.081935371
0.790048005,0.999937827,0.081639332,0.999924631,0.101305518,0.996331135,0.081935526
0.790051005,0.999937843,0.081639487,0.999924650,0.101305710,0.996331145,0.081935682
0.790054005,0.999937859,0.081639642,0.999924669,0.101305901,0.996331154,0.081935838
0.790057006,0.999937875,0.081639796,0.999924689,0.101306093,0.996331163,0.081935994
0.790060006,0.999937891,0.081639951,0.999924708,0.101306284,0.996331173,0.081936150
0.790063006,0.999937907,0.081640106,0.999924728,0.101306476,0.996331182,0.081936305
0.790066007,0.999937923,0.081640260,0.999924747,0.101306667,0.996331191,0.081936461
0.790069007,0.999937939,0.081640415,0.999924767,0.101306859,0.996331201,0.081936617
0.790072007,0.999937955,0.081640570,0.999924786,0.101307050,0.996331210,0.081936773
0.790075008,0.999937971,0.081640724,0.999924806,0.101307242,0.996331219,0.081936929
0.790078008,0.999937988,0.081640879,0.999924825,0.101307434,0.996331228,0.081937084
0.790081008,0.999938004,0.081641034,0.999924845,0.101307625,0.996331238,0.081937240
0.790084008,0.999938020,0.081641188,0.999924864,0.101307817,0.996331247,0.081937396
0.790087009,0.999938036,0.081641343,0.999924884,0.101308008,0.996331256,0.081937552
0.790090009,0.999938052,0.081641498,0.999924903,0.101308200,0.996331266,0.081937707
0.790093009,0.999938068,0.081641652,0.999924923,0.101308391,0.996331275,0.081937863
0.790096010,0.999938084,0.081641807,0.999924942,0.101308583,0.996331284,0.081938019
0.790099010,0.999938100,0.081641962,0.999924962,0.101308774,0.996331294,0.081938175
0.790102010,0.999938116,0.081642116,0.999924981,0.101308966,0.996331303,0.081938331
0.790105011,0.999938132,0.081642271,0.999925000,0.101309157,0.996331312,0.081938486
0.790108011,0.999938148,0.081642426,0.999925020,0.101309349,0.996331322,0.081938642
0.790111011,0.999938165,0.081642580,0.999925039,0.101309541,0.996331331,0.081938798
0.790114011,0.999938181,0.081642735,0.999925059,0.101309732,0.996331340,0.081938954
0.790117012,0.999938197,0.081642890,0.999925078,0.101309924,0.996331350,0.081939110
0.790120012,0.999938213,0.081643044,0.999925098,0.101310115,0.996331359,0.081939265
0.790123012,0.999938229,0.081643199,0.999925117,0.101310307,0.996331368,0.081939421
0.790126013,0.999938245,0.081643354,0.999925137,0.101310498,0.996331377,0.081939577
0.790129013,0.999938261,0.081643509,0.999925156,0.101310690,0.996331387,0.081939733
0.790132013,0.999938277,0.081643663,0.999925176,0.101310881,0.996331396,0.081939889
0.790135014,0.999938293,0.081643818,0.999925195,0.101311073,0.996331405,0.081940044
0.790138014,0.999938309,0.081643973,0.999925215,0.101311264,0.996331415,0.081940200
0.790141014,0.999938325,0.081644127,0.999925234,0.101311456,0.996331424,0.081940356
0.790144014,0.999938342,0.081644282,0.999925254,0.101311648,0.996331433,0.081940512
0.790147015,0.999938358,0.081644437,0.999925273,0.101311839,0.996331443,0.081940667
0.790150015,0.999938374,0.081644591,0.999925293,0.101312031,0.996331452,0.081940823
0.790153015,0.999938390,0.081644746,0.999925312,0.101312222,0.996331461,0.081940979
0.790156016,0.999938406,0.081644901,0.999925331,0.101312414,0.996331471,0.081941135
0.790159016,0.999938422,0.081645055,0.999925351,0.101312605,0.996331480,0.081941291
0.790162016,0.999938438,0.081645210,0.999925370,0.101312797,0.996331489,0.081941446
0.790165017,0.999938454,0.081645365,0.999925390,0.101312988,0.996331499,0.081941602
0.790168017,0.999938470,0.081645519,0.999925409,0.101313180,0.996331508,0.081941758
0.790171017,0.999938486,0.081645674,0.999925429,0.101313371,0.996331517,0.081941914
0.790174017,0.999938502,0.081645829,0.999925448,0.101313563,0.996331526,0.081942070
0.790177018,0.999938518,0.081645983,0.999925468,0.101313754,0.996331536,0.081942225
0.790180018,0.999938535,0.081646138,0.999925487,0.101313946,0.996331545,0.081942381
0.790183018,0.999938551,0.081646293,0.999925507,0.101314138,0.996331554,0.081942537
0.790186019,0.999938567,0.081646447,0.999925526,0.101314329,0.996331564,0.081942693
0.790189019,0.999938583,0.081646602,0.999925546,0.101314521,0.996331573,0.081942848
0.790192019,0.999938599,0.081646757,0.999925565,0.101314712,0.996331582,0.081943004
0.790195020,0.999938615,0.081646911,0.999925585,0.101314904,0.996331592,0.081943160
0.790198020,0.999938631,0.081647066,0.999925604,0.101315095,0.996331601,0.081943316
0.790201020,0.999938647,0.081647221,0.999925624,0.101315287,0.996331610,0.081943472
0.790204020,0.999938663,0.081647375,0.999925643,0.101315478,0.996331620,0.081943627
0.790207021,0.999938679,0.081647530,0.999925662,0.101315670,0.996331629,0.081943783
0.790210021,0.999938695,0.081647684,0.999925682,0.101315861,0.996331638,0.081943939
0.790213021,0.999938712,0.081647839,0.999925701,0.101316053,0.996331648,0.081944095
0.790216022,0.999938728,0.081647994,0.999925721,0.101316244,0.996331657,0.081944250
0.790219022,0.999938744,0.081648148,0.999925740,0.101316436,0.996331666,0.081944406
0.790222022,0.999938760,0.081648303,0.999925760,0.101316627,0.996331676,0.081944562
0.790225023,0.999938776,0.081648458,0.999925779,0.101316819,0.996331685,0.081944718
0.790228023,0.999938792,0.081648612,0.999925799,0.101317011,0.996331694,0.081944874
0.790231023,0.999938808,0.081648767,0.999925818,0.101317202,0.996331703,0.081945029
0.790234023,0.999938824,0.081648922,0.999925838,0.101317394,0.996331713,0.081945185
0.790237024,0.999938840,0.081649076,0.999925857,0.101317585,0.996331722,0.081945341
0.790240024,0.999938856,0.081649231,0.999925877,0.101317777,0.996331731,0.081945497
0.790243024,0.999938872,0.081649386,0.999925896,0.101317968,0.996331741,0.081945652
0.790246025,0.999938889,0.081649540,0.999925916,0.101318160,0.996331750,0.081945808
0.790249025,0.999938905,0.081649695,0.999925935,0.101318351,0.996331759,0.081945964
0.790252025,0.999938921,0.081649850,0.999925955,0.101318543,0.996331769,0.081946120
0.790255026,0.999938937,0.081650004,0.999925974,0.101318734,0.996331778,0.081946276
0.790258026,0.999938953,0.081650159,0.999925993,0.101318926,0.996331787,0.081946431
0.790261026,0.999938969,0.081650314,0.999926013,0.101319117,0.996331797,0.081946587
0.790264026,0.999938985,0.081650468,0.999926032,0.101319309,0.996331806,0.081946743
0.790267027,0.999939001,0.081650623,0.999926052,0.101319500,0.996331815,0.081946899
0.790270027,0.999939017,0.081650778,0.999926071,0.101319692,0.996331825,0.081947054
0.790273027,0.999939033,0.081650932,0.999926091,0.101319883,0.996331834,0.081947210
0.790276028,0.999939049,0.081651087,0.999926110,0.101320075,0.996331843,0.081947366
0.790279028,0.999939065,0.081651242,0.999926130,0.101320266,0.996331852,0.081947522
0.790282028,0.999939082,0.081651396,0.999926149,0.101320458,0.996331862,0.081947678
0.790285029,0.999939098,0.081651551,0.999926169,0.101320650,0.996331871,0.081947833
0.790288029,0.999939114,0.081651706,0.999926188,0.101320841,0.996331880,0.081947989
0.790291029,0.999939130,0.081651860,0.999926208,0.101321033,0.996331890,0.081948145
0.790294029,0.999939146,0.081652015,0.999926227,0.101321224,0.996331899,0.081948301
0.790297030,0.999939162,0.081652170,0.999926247,0.101321416,0.996331908,0.081948456
0.790300030,0.999939178,0.081652324,0.999926266,0.101321607,0.996331918,0.081948612
0.790303030,0.999939194,0.081652479,0.999926286,0.101321799,0.996331927,0.081948768
0.790306031,0.999939210,0.081652634,0.999926305,0.101321990,0.996331936,0.081948924
0.790309031,0.999939226,0.081652788,0.999926324,0.101322182,0.996331946,0.081949079
0.790312031,0.999939242,0.081652943,0.999926344,0.101322373,0.996331955,0.081949235
0.790315032,0.999939259,0.081653097,0.999926363,0.101322565,0.996331964,0.081949391
0.790318032,0.999939275,0.081653252,0.999926383,0.101322756,0.996331974,0.081949547
0.790321032,0.999939291,0.081653407,0.999926402,0.101322948,0.996331983,0.081949703
0.790324032,0.999939307,0.081653561,0.999926422,0.101323139,0.996331992,0.081949858
0.790327033,0.999939323,0.081653716,0.999926441,0.101323331,0.996332002,0.081950014
0.790330033,0.999939339,0.081653871,0.999926461,0.101323522,0.996332011,0.081950170
0.790333033,0.999939355,0.081654025,0.999926480,0.101323714,0.996332020,0.081950326
0.790336034,0.999939371,0.081654180,0.999926500,0.101323905,0.996332029,0.081950481
0.790339034,0.999939387,0.081654335,0.999926519,0.101324097,0.996332039,0.081950637
0.790342034,0.999939403,0.081654489,0.999926539,0.101324288,0.996332048,0.081950793
0.790345035,0.999939419,0.081654644,0.999926558,0.101324480,0.996332057,0.081950949
0.790348035,0.999939435,0.081654799,0.999926578,0.101324671,0.996332067,0.081951104
0.790351035,0.999939452,0.081654953,0.999926597,0.101324863,0.996332076,0.081951260
0.790354035,0.999939468,0.081655108,0.999926617,0.101325054,0.996332085,0.081951416
0.790357036,0.999939484,0.081655263,0.999926636,0.101325246,0.996332095,0.081951572
0.790360036,0.999939500,0.081655417,0.999926655,0.101325437,0.996332104,0.081951727
0.790363036,0.999939516,0.081655572,0.999926675,0.101325629,0.996332113,0.081951883
0.790366037,0.999939532,0.081655727,0.999926694,0.101325820,0.996332123,0.081952039
0.790369037,0.999939548,0.081655881,0.999926714,0.101326012,0.996332132,0.081952195
0.790372037,0.999939564,0.081656036,0.999926733,0.101326204,0.996332141,0.081952351
0.790375038,0.999939580,0.081656190,0.999926753,0.101326395,0.996332151,0.081952506
0.790378038,0.999939596,0.081656345,0.999926772,0.101326587,0.996332160,0.081952662
0.790381038,0.999939612,0.081656500,0.999926792,0.101326778,0.996332169,0.081952818
0.790384038,0.999939629,0.081656654,0.999926811,0.101326970,0.996332178,0.081952974
0.790387039,0.999939645,0.081656809,0.999926831,0.101327161,0.996332188,0.081953129
0.790390039,0.999939661,0.081656964,0.999926850,0.101327353,0.996332197,0.081953285
0.790393039,0.999939677,0.081657118,0.999926870,0.101327544,0.996332206,0.081953441
0.790396040,0.999939693,0.081657273,0.999926889,0.101327736,0.996332216,0.081953597
0.790399040,0.999939709,0.081657428,0.999926909,0.101327927,0.996332225,0.081953752
0.790402040,0.999939725,0.081657582,0.999926928,0.101328119,0.996332234,0.081953908
0.790405041,0.999939741,0.081657737,0.999926948,0.101328310,0.996332244,0.081954064
0.790408041,0.999939757,0.081657892,0.999926967,0.101328502,0.996332253,0.081954220
0.790411041,0.999939773,0.081658046,0.999926986,0.101328693,0.996332262,0.081954375
0.790414041,0.999939789,0.081658201,0.999927006,0.101328885,0.996332272,0.081954531
0.790417042,0.999939806,0.081658355,0.999927025,0.101329076,0.996332281,0.081954687
0.790420042,0.999939822,0.081658510,0.999927045,0.101329268,0.996332290,0.081954843
0.790423042,0.999939838,0.081658665,0.999927064,0.101329459,0.996332300,0.081954998
0.790426043,0.999939854,0.081658819,0.999927084,0.101329651,0.996332309,0.081955154
0.790429043,0.999939870,0.081658974,0.999927103,0.101329842,0.996332318,0.081955310
0.790432043,0.999939886,0.081659129,0.999927123,0.101330034,0.996332328,0.081955466
0.790435044,0.999939902,0.081659283,0.999927142,0.101330225,0.996332337,0.081955622
0.790438044,0.999939918,0.081659438,0.999927162,0.101330417,0.996332346,0.081955777
0.790441044,0.999939934,0.081659593,0.999927181,0.101330608,0.996332355,0.081955933
0.790444044,0.999939950,0.081659747,0.999927201,0.101330800,0.996332365,0.081956089
0.790447045,0.999939966,0.081659902,0.999927220,0.101330991,0.996332374,0.081956245
0.790450045,0.999939982,0.081660057,0.999927240,0.101331183,0.996332383,0.081956400
0.790453045,0.999939999,0.081660211,0.999927259,0.101331374,0.996332393,0.081956556
0.790456046,0.999940015,0.081660366,0.999927279,0.101331566,0.996332402,0.081956712
0.790459046,0.999940031,0.081660520,0.999927298,0.101331757,0.996332411,0.081956868
0.790462046,0.999940047,0.081660675,0.999927317,0.101331949,0.996332421,0.081957023
0.790465047,0.999940063,0.081660830,0.999927337,0.101332140,0.996332430,0.081957179
0.790468047,0.999940079,0.081660984,0.999927356,0.101332332,0.996332439,0.081957335
0.790471047,0.999940095,0.081661139,0.999927376,0.101332523,0.996332449,0.081957491
0.790474047,0.999940111,0.081661294,0.999927395,0.101332715,0.996332458,0.081957646
0.790477048,0.999940127,0.081661448,0.999927415,0.101332906,0.996332467,0.081957802
0.790480048,0.999940143,0.081661603,0.999927434,0.101333098,0.996332477,0.081957958
0.790483048,0.999940159,0.081661758,0.999927454,0.101333289,0.996332486,0.081958114
0.790486049,0.999940176,0.081661912,0.999927473,0.101333481,0.996332495,0.081958269
0.790489049,0.999940192,0.081662067,0.999927493,0.101333672,0.996332504,0.081958425
0.790492049,0.999940208,0.081662221,0.999927512,0.101333864,0.996332514,0.081958581
0.790495050,0.999940224,0.081662376,0.999927532,0.101334055,0.996332523,0.081958737
0.790498050,0.999940240,0.081662531,0.999927551,0.101334247,0.996332532,0.081958892
0.790501050,0.999940256,0.081662685,0.999927571,0.101334438,0.996332542,0.081959048
0.790504050,0.999940272,0.081662840,0.999927590,0.101334630,0.996332551,0.081959204
0.790507051,0.999940288,0.081662995,0.999927610,0.101334821,0.996332560,0.081959360
0.790510051,0.999940304,0.081663149,0.999927629,0.101335013,0.996332570,0.081959515
0.790513051,0.999940320,0.081663304,0.999927648,0.101335204,0.996332579,0.081959671
0.790516052,0.999940336,0.081663458,0.999927668,0.101335396,0.996332588,0.081959827
0.790519052,0.999940352,0.081663613,0.999927687,0.101335587,0.996332598,0.081959983
0.790522052,0.999940369,0.081663768,0.999927707,0.101335779,0.996332607,0.081960138
0.790525053,0.999940385,0.081663922,0.999927726,0.101335970,0.996332616,0.081960294
0.790528053,0.999940401,0.081664077,0.999927746,0.101336162,0.996332626,0.081960450
0.790531053,0.999940417,0.081664232,0.999927765,0.101336353,0.996332635,0.081960606
0.790534053,0.999940433,0.081664386,0.999927785,0.101336545,0.996332644,0.081960761
0.790537054,0.999940449,0.081664541,0.999927804,0.101336736,0.996332654,0.081960917
0.790540054,0.999940465,0.081664696,0.999927824,0.101336928,0.996332663,0.081961073
0.790543054,0.999940481,0.081664850,0.999927843,0.101337119,0.996332672,0.081961229
0.790546055,0.999940497,0.081665005,0.999927863,0.101337311,0.996332681,0.081961384
0.790549055,0.999940513,0.081665159,0.999927882,0.101337502,0.996332691,0.081961540
0.790552055,0.999940529,0.081665314,0.999927902,0.101337694,0.996332700,0.081961696
0.790555056,0.999940546,0.081665469,0.999927921,0.101337885,0.996332709,0.081961852
0.790558056,0.999940562,0.081665623,0.999927940,0.101338077,0.996332719,0.081962007
0.790561056,0.999940578,0.081665778,0.999927960,0.101338268,0.996332728,0.081962163
0.790564056,0.999940594,0.081665933,0.999927979,0.101338460,0.996332737,0.081962319
0.790567057,0.999940610,0.081666087,0.999927999,0.101338651,0.996332747,0.081962475
