K,rho1,ang1,rho2,ang2,rho3,ang3
0.810000000,0.999842610,0.081762138,0.999755170,0.099624164,0.996445089,0.082041544
0.810019002,0.999842708,0.081763095,0.999755286,0.099625328,0.996445148,0.082042507
0.810038004,0.999842807,0.081764052,0.999755403,0.099626492,0.996445207,0.082043471
0.810057006,0.999842905,0.081765009,0.999755519,0.099627656,0.996445266,0.082044434
0.810076008,0.999843004,0.081765966,0.999755635,0.099628820,0.996445325,0.082045398
0.810095010,0.999843102,0.081766923,0.999755752,0.099629984,0.996445384,0.082046361
0.810114011,0.999843200,0.081767880,0.999755868,0.099631148,0.996445443,0.082047325
0.810133013,0.999843299,0.081768837,0.999755984,0.099632312,0.996445502,0.082048288
0.810152015,0.999843397,0.081769794,0.999756101,0.099633475,0.996445561,0.082049252
0.810171017,0.999843496,0.081770751,0.999756217,0.099634639,0.996445620,0.082050215
0.810190019,0.999843594,0.081771708,0.999756333,0.099635803,0.996445679,0.082051179
0.810209021,0.999843692,0.081772665,0.999756450,0.099636967,0.996445738,0.082052142
0.810228023,0.999843791,0.081773622,0.999756566,0.099638131,0.996445797,0.082053105
0.810247025,0.999843889,0.081774578,0.999756682,0.099639295,0.996445856,0.082054069
0.810266027,0.999843987,0.081775535,0.999756799,0.099640459,0.996445915,0.082055032
0.810285029,0.999844086,0.081776492,0.999756915,0.099641622,0.996445974,0.082055995
0.810304030,0.999844184,0.081777449,0.999757031,0.099642786,0.996446033,0.082056959
0.810323032,0.999844283,0.081778406,0.999757147,0.099643950,0.996446092,0.082057922
0.810342034,0.999844381,0.081779363,0.999757264,0.099645114,0.996446151,0.082058885
0.810361036,0.999844479,0.081780319,0.999757380,0.099646278,0.996446210,0.082059849
0.810380038,0.999844578,0.081781276,0.999757496,0.099647441,0.996446269,0.082060812
0.810399040,0.999844676,0.081782233,0.999757613,0.099648605,0.996446328,0.082061775
0.810418042,0.999844775,0.081783190,0.999757729,0.099649769,0.996446387,0.082062739
0.810437044,0.999844873,0.081784146,0.999757845,0.099650932,0.996446446,0.082063702
