K,rho_num,angle_num,F_triangle,r(theta*),type,rho_closed,angle_closed,J_frobenius
1.8125615763546798,0.9805610638812863,0.09994395309776631,-2.0943951023931957,0.9999923463702106,real+,1.0880775218494125,0.0,2.406020302703205
1.8127257799671592,0.980561063881286,0.10036599351428732,-2.0943951023931957,0.9999923477539908,complex,1.0880824433104108,0.0,2.406021142718742
1.8128899835796388,0.9805610638812872,0.0999534023433003,-2.0943951023931957,0.9999923491373958,real+,1.0880873645789253,0.0,2.4060219828797047
1.8130541871921182,0.9805610638812859,0.10037540352855572,-2.0943951023931957,0.9999923505204258,complex,1.088092285654982,0.0,2.4060228231860923
1.8132183908045978,0.980561063881287,0.09996285069858434,-2.0943951023931957,0.9999923519030807,real+,1.0880972065386054,0.0,2.4060236636379044
1.8133825944170772,0.9805610638812862,0.09996757454246162,-2.0943951023931957,0.9999923532853607,real+,1.0881021272298204,0.0,2.4060245042351416
1.8135467980295568,0.9805610638812867,0.09997229816387057,-2.0943951023931957,0.9999923546672661,real+,1.0881070477286543,0.0,2.4060253449778037
1.8137110016420361,0.9805610638812865,0.09997702156284403,-2.0943951023931957,0.999992356048797,real+,1.0881119680351292,0.0,2.40602618586589
1.8138752052545157,0.9805610638812859,0.10039892471796502,-2.0943951023931957,0.9999923574299532,complex,1.088116888149273,0.0,2.4060270268994004
1.814039408866995,0.9805610638812867,0.09998646769360721,-2.0943951023931957,0.9999923588107352,real+,1.0881218080711097,0.0,2.406027868078335
1.8142036124794747,0.980561063881287,0.09999119042546048,-2.0943951023931957,0.9999923601911431,real+,1.0881267278006639,0.0,2.4060287094026935
1.814367816091954,0.9805610638812872,0.09999591293500378,-2.0943951023931957,0.999992361571177,real+,1.0881316473379616,0.0,2.4060295508724763
1.8145320197044335,0.9805610638812863,0.10000063522226874,-2.0943951023931957,0.9999923629508369,complex,1.0881365666830285,0.0,2.4060303924876822
1.814696223316913,0.9805610638812864,0.10000535728728574,-2.0943951023931957,0.9999923643301232,complex,1.0881414858358869,0.0,2.406031234248312
1.8148604269293924,0.9805610638812858,0.10042714289672344,-2.0943951023931957,0.9999923657090357,complex,1.0881464047965657,0.0,2.406032076154365
1.815024630541872,0.9805610638812863,0.1000148007507052,-2.0943951023931957,0.9999923670875748,complex,1.0881513235650875,0.0,2.4060329182058413
1.8151888341543514,0.9805610638812867,0.10001952214916947,-2.0943951023931957,0.9999923684657405,complex,1.0881562421414794,0.0,2.4060337604027406
1.815353037766831,0.9805610638812864,0.10002424332551275,-2.0943951023931957,0.999992369843533,complex,1.0881611605257642,0.0,2.406034602745063
1.8155172413793104,0.9805610638812858,0.10044595062593194,-2.0943951023931957,0.9999923712209524,complex,1.088166078717969,0.0,2.406035445232808
1.81568144499179,0.980561063881286,0.10045065200977117,-2.0943951023931957,0.9999923725979987,complex,1.0881709967181175,0.0,2.406036287865976
1.8158456486042693,0.9805610638812866,0.10003840552212903,-2.0943951023931957,0.9999923739746723,complex,1.088175914526235,0.0,2.406037130644566
1.816009852216749,0.9805610638812859,0.10046005411951008,-2.0943951023931957,0.9999923753509733,complex,1.0881808321423483,0.0,2.406037973568578
1.8161740558292283,0.9805610638812858,0.10004784587650965,-2.0943951023931957,0.9999923767269017,complex,1.0881857495664804,0.0,2.406038816638013
1.8163382594417077,0.9805610638812869,0.10005256572078511,-2.0943951023931957,0.9999923781024577,complex,1.0881906667986574,0.0,2.4060396598528695
1.8165024630541873,0.9805610638812864,0.1000572853431594,-2.0943951023931957,0.9999923794776413,complex,1.0881955838389046,0.0,2.406040503213148
1.8166666666666667,0.9805610638812863,0.1000620047436637,-2.0943951023931957,0.9999923808524529,complex,1.0882005006872448,0.0,2.406041346718848
1.8168308702791462,0.9805610638812862,0.10048355555731238,-2.0943951023931957,0.9999923822268924,complex,1.0882054173437075,0.0,2.40604219036997
1.8169950738916256,0.9805610638812859,0.10048825518742567,-2.0943951023931957,0.9999923836009601,complex,1.0882103338083133,0.0,2.4060430341665127
1.8171592775041052,0.9805610638812862,0.10007616161427099,-2.0943951023931957,0.999992384974656,complex,1.08821525008109,0.0,2.406043878108477
1.8173234811165846,0.980561063881286,0.10049765379045102,-2.0943951023931957,0.9999923863479803,complex,1.0882201661620616,0.0,2.4060447221958623
1.8174876847290642,0.9805610638812864,0.10008559841923474,-2.0943951023931957,0.999992387720933,complex,1.0882250820512545,0.0,2.4060455664286686
1.8176518883415436,0.9805610638812876,0.10009031648917818,-2.0943951023931957,0.9999923890935145,complex,1.0882299977486902,0.0,2.4060464108068955
1.8178160919540232,0.9805610638812862,0.10009503433747191,-2.0943951023931957,0.9999923904657249,complex,1.0882349132543985,0.0,2.406047255330543
1.8179802955665025,0.9805610638812868,0.10009975196414655,-2.0943951023931957,0.9999923918375639,complex,1.0882398285684005,0.0,2.406048099999611
1.818144499178982,0.9805610638812867,0.10010446936923308,-2.0943951023931957,0.9999923932090322,complex,1.0882447436907232,0.0,2.4060489448140996
1.8183087027914615,0.9805610638812859,0.10052584434413049,-2.0943951023931957,0.9999923945801298,complex,1.0882496586213926,0.0,2.406049789774008
1.8184729064039409,0.9805610638812867,0.10011390351476879,-2.0943951023931957,0.9999923959508564,complex,1.0882545733604303,0.0,2.4060506348793367
1.8186371100164205,0.980561063881286,0.10053523944437702,-2.0943951023931957,0.9999923973212127,complex,1.0882594879078649,0.0,2.4060514801300847
1.8188013136288999,0.9805610638812862,0.10053993666632964,-2.0943951023931957,0.9999923986911986,complex,1.088264402263719,0.0,2.406052325526253
1.8189655172413794,0.9805610638812862,0.10054463366954275,-2.0943951023931957,0.9999924000608141,complex,1.0882693164280184,0.0,2.4060531710678403
1.8191297208538588,0.9805610638812864,0.10054933045404703,-2.0943951023931957,0.9999924014300594,complex,1.0882742304007893,0.0,2.4060540167548474
1.8192939244663384,0.9805610638812862,0.10055402701987305,-2.0943951023931957,0.999992402798935,complex,1.088279144182055,0.0,2.4060548625872733
1.8194581280788178,0.9805610638812864,0.10055872336705152,-2.0943951023931957,0.9999924041674404,complex,1.088284057771841,0.0,2.406055708565119
1.8196223316912972,0.9805610638812867,0.1001469160487366,-2.0943951023931957,0.9999924055355761,complex,1.0882889711701722,0.0,2.4060565546883828
1.8197865353037768,0.9805610638812869,0.10015163123966862,-2.0943951023931957,0.9999924069033425,complex,1.0882938843770735,0.0,2.406057400957066
