K,rho1,ang1,rho2,ang2,rho3,ang3
0.810000000,0.998939958,0.078284619,0.998627622,0.087605233,0.996781546,0.078454483
0.810069007,0.998940266,0.078287951,0.998627949,0.087608958,0.996781762,0.078457830
0.810138014,0.998940573,0.078291283,0.998628276,0.087612684,0.996781978,0.078461176
0.810207021,0.998940880,0.078294615,0.998628602,0.087616409,0.996782195,0.078464523
0.810276028,0.998941187,0.078297947,0.998628929,0.087620135,0.996782411,0.078467869
0.810345035,0.998941494,0.078301278,0.998629256,0.087623860,0.996782627,0.078471215
0.810414041,0.998941801,0.078304610,0.998629583,0.087627585,0.996782843,0.078474560
0.810483048,0.998942109,0.078307941,0.998629909,0.087631309,0.996783060,0.078477906
0.810552055,0.998942416,0.078311272,0.998630236,0.087635034,0.996783276,0.078481251
0.810621062,0.998942723,0.078314603,0.998630563,0.087638758,0.996783492,0.078484597
0.810690069,0.998943030,0.078317934,0.998630890,0.087642483,0.996783708,0.078487942
0.810759076,0.998943337,0.078321265,0.998631217,0.087646207,0.996783924,0.078491287
0.810828083,0.998943644,0.078324595,0.998631543,0.087649931,0.996784141,0.078494632
0.810897090,0.998943951,0.078327925,0.998631870,0.087653655,0.996784357,0.078497977
0.810966097,0.998944259,0.078331256,0.998632197,0.087657378,0.996784573,0.078501321
0.811035104,0.998944566,0.078334586,0.998632524,0.087661102,0.996784789,0.078504666
0.811104110,0.998944873,0.078337916,0.998632851,0.087664825,0.996785006,0.078508010
0.811173117,0.998945180,0.078341246,0.998633177,0.087668548,0.996785222,0.078511354
0.811242124,0.998945487,0.078344575,0.998633504,0.087672271,0.996785438,0.078514698
0.811311131,0.998945794,0.078347905,0.998633831,0.087675994,0.996785654,0.078518042
0.811380138,0.998946101,0.078351234,0.998634158,0.087679717,0.996785870,0.078521386
0.811449145,0.998946408,0.078354563,0.998634484,0.087683439,0.996786087,0.078524730
0.811518152,0.998946716,0.078357892,0.998634811,0.087687161,0.996786303,0.078528073
0.811587159,0.998947023,0.078361221,0.998635138,0.087690884,0.996786519,0.078531417
0.811656166,0.998947330,0.078364550,0.998635465,0.087694606,0.996786735,0.078534760
0.811725173,0.998947637,0.078367879,0.998635792,0.087698327,0.996786952,0.078538103
0.811794179,0.998947944,0.078371207,0.998636118,0.087702049,0.996787168,0.078541446
0.811863186,0.998948251,0.078374536,0.998636445,0.087705771,0.996787384,0.078544788
0.811932193,0.998948558,0.078377864,0.998636772,0.087709492,0.996787600,0.078548131
0.812001200,0.998948865,0.078381192,0.998637099,0.087713213,0.996787817,0.078551474
0.812070207,0.998949172,0.078384520,0.998637426,0.087716934,0.996788033,0.078554816
0.812139214,0.998949480,0.078387848,0.998637752,0.087720655,0.996788249,0.078558158
0.812208221,0.998949787,0.078391176,0.998638079,0.087724376,0.996788465,0.078561500
0.812277228,0.998950094,0.078394503,0.998638406,0.087728096,0.996788682,0.078564842
0.812346235,0.998950401,0.078397830,0.998638733,0.087731817,0.996788898,0.078568184
0.812415242,0.998950708,0.078401158,0.998639059,0.087735537,0.996789114,0.078571525
0.812484248,0.998951015,0.078404485,0.998639386,0.087739257,0.996789330,0.078574867
0.812553255,0.998951322,0.078407812,0.998639713,0.087742977,0.996789547,0.078578208
0.812622262,0.998951629,0.078411138,0.998640040,0.087746697,0.996789763,0.078581549
0.812691269,0.998951936,0.078414465,0.998640367,0.087750416,0.996789979,0.078584890
0.812760276,0.998952243,0.078417792,0.998640693,0.087754136,0.996790196,0.078588231
0.812829283,0.998952550,0.078421118,0.998641020,0.087757855,0.996790412,0.078591572
0.812898290,0.998952858,0.078424444,0.998641347,0.087761574,0.996790628,0.078594913
0.812967297,0.998953165,0.078427770,0.998641674,0.087765293,0.996790844,0.078598253
0.813036304,0.998953472,0.078431096,0.998642001,0.087769012,0.996791061,0.078601593
0.813105311,0.998953779,0.078434422,0.998642327,0.087772731,0.996791277,0.078604933
0.813174317,0.998954086,0.078437748,0.998642654,0.087776449,0.996791493,0.078608273
0.813243324,0.998954393,0.078441073,0.998642981,0.087780167,0.996791709,0.078611613
0.813312331,0.998954700,0.078444398,0.998643308,0.087783885,0.996791926,0.078614953
0.813381338,0.998955007,0.078447724,0.998643634,0.087787603,0.996792142,0.078618293
0.813450345,0.998955314,0.078451049,0.998643961,0.087791321,0.996792358,0.078621632
0.813519352,0.998955621,0.078454374,0.998644288,0.087795039,0.996792575,0.078624971
0.813588359,0.998955928,0.078457698,0.998644615,0.087798756,0.996792791,0.078628311
0.813657366,0.998956235,0.078461023,0.998644942,0.087802474,0.996793007,0.078631650
0.813726373,0.998956542,0.078464347,0.998645268,0.087806191,0.996793224,0.078634988
0.813795380,0.998956849,0.078467672,0.998645595,0.087809908,0.996793440,0.078638327
0.813864386,0.998957157,0.078470996,0.998645922,0.087813625,0.996793656,0.078641666
0.813933393,0.998957464,0.078474320,0.998646249,0.087817342,0.996793872,0.078645004
0.814002400,0.998957771,0.078477644,0.998646575,0.087821058,0.996794089,0.078648342
0.814071407,0.998958078,0.078480968,0.998646902,0.087824774,0.996794305,0.078651681
0.814140414,0.998958385,0.078484291,0.998647229,0.087828491,0.996794521,0.078655019
0.814209421,0.998958692,0.078487615,0.998647556,0.087832207,0.996794738,0.078658356
0.814278428,0.998958999,0.078490938,0.998647883,0.087835923,0.996794954,0.078661694
0.814347435,0.998959306,0.078494261,0.998648209,0.087839638,0.996795170,0.078665032
0.814416442,0.998959613,0.078497584,0.998648536,0.087843354,0.996795387,0.078668369
0.814485449,0.998959920,0.078500907,0.998648863,0.087847069,0.996795603,0.078671707
0.814554455,0.998960227,0.078504230,0.998649190,0.087850785,0.996795819,0.078675044
0.814623462,0.998960534,0.078507553,0.998649517,0.087854500,0.996796036,0.078678381
0.814692469,0.998960841,0.078510875,0.998649843,0.087858215,0.996796252,0.078681718
0.814761476,0.998961148,0.078514198,0.998650170,0.087861929,0.996796468,0.078685054
0.814830483,0.998961455,0.078517520,0.998650497,0.087865644,0.996796685,0.078688391
0.814899490,0.998961762,0.078520842,0.998650824,0.087869358,0.996796901,0.078691727
0.814968497,0.998962069,0.078524164,0.998651150,0.087873073,0.996797117,0.078695064
0.815037504,0.998962376,0.078527485,0.998651477,0.087876787,0.996797334,0.078698400
0.815106511,0.998962683,0.078530807,0.998651804,0.087880501,0.996797550,0.078701736
0.815175518,0.998962990,0.078534129,0.998652131,0.087884215,0.996797766,0.078705072
0.815244524,0.998963297,0.078537450,0.998652458,0.087887928,0.996797983,0.078708407
0.815313531,0.998963604,0.078540771,0.998652784,0.087891642,0.996798199,0.078711743
0.815382538,0.998963911,0.078544092,0.998653111,0.087895355,0.996798415,0.078715078
0.815451545,0.998964218,0.078547413,0.998653438,0.087899068,0.996798632,0.078718414
0.815520552,0.998964525,0.078550734,0.998653765,0.087902781,0.996798848,0.078721749
