K,rho1,ang1,rho2,ang2,rho3,ang3
0.000130000,0.999990797,0.000000183,0.999988721,0.000000000,0.902009379,0.000000000
0.025161745,0.998185281,0.000036789,0.997766241,0.000000000,0.904231859,0.000000000
0.050193490,0.996307910,0.000076572,0.995432737,0.000000000,0.906565363,0.000000000
0.075225235,0.994349359,0.000120180,0.992969693,0.000000000,0.909028407,0.000000000
0.100256980,0.992298096,0.000168474,0.990352795,0.000000000,0.911645305,0.000000000
0.125288725,0.990139570,0.000222634,0.987549010,0.000000000,0.914449090,0.000000000
0.150320471,0.987854977,0.000284328,0.984511464,0.000000000,0.917486636,0.000000000
0.175352216,0.985419285,0.000356024,0.981169636,0.000000000,0.920828464,0.000000000
0.200383961,0.982797908,0.000441560,0.977408265,0.000000000,0.924589835,0.000000000
0.225415706,0.979940661,0.000547350,0.973013340,0.000000000,0.928984760,0.000000000
0.250447451,0.976769733,0.000685179,0.967485751,0.000000000,0.934512349,0.000000000
0.275479196,0.973152292,0.000879994,0.958679782,0.000000000,0.943318318,0.000000000
0.300510941,0.968824217,0.001198396,0.951079922,0.013040894,0.933175301,0.001244177
0.325542686,0.963090103,0.001925497,0.951191797,0.020131779,0.938911614,0.001975082
0.350574431,0.954655832,0.006959756,0.951303659,0.025306883,0.947388687,0.007013143
0.375606176,0.952902411,0.015128788,0.951415509,0.029589094,0.949314197,0.015185976
0.400637921,0.952613535,0.020471358,0.951527345,0.033324419,0.949784364,0.020532345
0.425669666,0.952535657,0.024700301,0.951639168,0.036680318,0.950044322,0.024765086
0.450701412,0.952531901,0.028307950,0.951750977,0.039752999,0.950230374,0.028376533
0.475733157,0.952563598,0.031506071,0.951862774,0.042603785,0.950381056,0.031578448
0.500764902,0.952615212,0.034408253,0.951974558,0.045274614,0.950511853,0.034484424
0.525796647,0.952679192,0.037083712,0.952086328,0.047795662,0.950630297,0.037163675
0.550828392,0.952751391,0.039578293,0.952198085,0.050189505,0.950740523,0.039662047
0.575860137,0.952829330,0.041924210,0.952309829,0.052473557,0.950845004,0.042011754
0.600891882,0.952911432,0.044145121,0.952421561,0.054661583,0.950945314,0.044236452
0.625923627,0.952996640,0.046259004,0.952533278,0.056764687,0.951042506,0.046354121
0.650955372,0.953084224,0.048279899,0.952644983,0.058791985,0.951137311,0.048378802
0.675987117,0.953173657,0.050219022,0.952756675,0.060751067,0.951230252,0.050321709
0.701018862,0.953264554,0.052085499,0.952868354,0.062648332,0.951321715,0.052191967
0.726050608,0.953356625,0.053886872,0.952980019,0.064489237,0.951411990,0.053997121
0.751082353,0.953449647,0.055629464,0.953091672,0.066278478,0.951501298,0.055743492
0.776114098,0.953543447,0.057318632,0.953203311,0.068020134,0.951589812,0.057436438
0.801145843,0.953637888,0.058958967,0.953314938,0.069717771,0.951677669,0.059080549
0.826177588,0.953732861,0.060554436,0.953426551,0.071374530,0.951764977,0.060679793
0.851209333,0.953828277,0.062108497,0.953538151,0.072993195,0.951851826,0.062237627
0.876241078,0.953924065,0.063624183,0.953649738,0.074576246,0.951938287,0.063757086
0.901272823,0.954020165,0.065104175,0.953761312,0.076125906,0.952024419,0.065240848
0.926304568,0.954116527,0.066550853,0.953872873,0.077644175,0.952110271,0.066691295
0.951336313,0.954213112,0.067966346,0.953984421,0.079132859,0.952195885,0.068110555
0.976368058,0.954309883,0.069352562,0.954095956,0.080593598,0.952281295,0.069500538
1.001399803,0.954406812,0.070711225,0.954207478,0.082027886,0.952366530,0.070862965
1.026431549,0.954503874,0.072043892,0.954318987,0.083437086,0.952451616,0.072199396
1.051463294,0.954601047,0.073351982,0.954430483,0.084822449,0.952536573,0.073511248
1.076495039,0.954698313,0.074636788,0.954541966,0.086185126,0.952621419,0.074799814
1.101526784,0.954795657,0.075899491,0.954653436,0.087526175,0.952706171,0.076066276
1.126558529,0.954893065,0.077141178,0.954764892,0.088846576,0.952790842,0.077311720
1.151590274,0.954990525,0.078362848,0.954876336,0.090147238,0.952875444,0.078537146
1.176622019,0.955088027,0.079565423,0.954987767,0.091429002,0.952959987,0.079743477
1.201653764,0.955185562,0.080749758,0.955099185,0.092692653,0.953044480,0.080931565
1.226685509,0.955283122,0.081916644,0.955210590,0.093938922,0.953128930,0.082102202
