K,r_mean,F_triangle_last,max_abs_eig
0.2,0.8440296287459856,-2.0943951023931953,1.0
0.409,0.8440296287459856,-2.0943951023931953,1.0000000000000004
0.618,0.8440296287459856,-2.0943951023931953,0.9999999999999998
0.827,0.44909878511128726,-2.0943951023931957,1.0
1.036,0.8440296287459856,-2.0943951023931957,1.0
1.245,0.8440296287459852,-2.0943951023931953,0.9999999999999999
1.455,0.8440296287459855,-2.0943951023931953,0.9999999999999994
1.664,0.8440296287459851,-2.094395102393195,1.0000000000000004
1.873,0.8289841355284994,-2.0943951023931957,1.521315900508632
2.082,0.8080123471236208,-2.094395102393195,1.9174428193332345
2.291,0.7897792316206217,-2.0943951023931953,2.2600797459515816
2.5,0.7577382346093655,-2.0943951023931953,2.308692078304743
