K,Re(mu1),Im(mu1),Re(mu2),Im(mu2),mu_star,scheme
3.8,-4.366430752156864,-0.5041224684431832,-4.366430752156864,0.5041224684431832,-2.9999999999999996,explicit
3.8099999999999996,-4.377921477981916,-0.5054494848918872,-4.377921477981916,0.5054494848918872,-2.9999999999999996,explicit
3.82,-4.389412203497495,-0.5067765003573492,-4.389412203497495,0.5067765003573492,-2.9999999999999996,explicit
3.8299999999999996,-4.400902928706029,-0.5081035148472409,-4.400902928706029,0.5081035148472409,-2.9999999999999996,explicit
3.84,-4.412393653609907,-0.5094305283691538,-4.412393653609907,0.5094305283691538,-2.9999999999999996,explicit
3.8499999999999996,-4.423884378211505,-0.5107575409306014,-4.423884378211505,0.5107575409306014,-2.9999999999999996,explicit
3.86,-4.435375102513167,-0.512084552539019,-4.435375102513167,0.512084552539019,-2.9999999999999996,explicit
3.8699999999999997,-4.446865826517219,-0.5134115632017661,-4.446865826517219,0.5134115632017661,-2.9999999999999996,explicit
3.88,-4.458356550225955,-0.5147385729261258,-4.458356550225955,0.5147385729261258,-2.9999999999999996,explicit
3.8899999999999997,-4.469847273641653,-0.5160655817193085,-4.469847273641653,0.5160655817193085,-2.9999999999999996,explicit
3.9,-4.4813379967665625,-0.5173925895884479,-4.4813379967665625,0.5173925895884479,-2.9999999999999996,explicit
3.9099999999999997,-4.4928287196029135,-0.5187195965406074,-4.4928287196029135,0.5187195965406074,-2.9999999999999996,explicit
3.92,-4.504319442152911,-0.5200466025827775,-4.504319442152911,0.5200466025827775,-2.9999999999999996,explicit
3.9299999999999997,-4.515810164418738,-0.5213736077218781,-4.515810164418738,0.5213736077218781,-2.9999999999999996,explicit
3.94,-4.527300886402558,-0.52270061196476,-4.527300886402558,0.52270061196476,-2.9999999999999996,explicit
3.9499999999999997,-4.538791608106508,-0.5240276153182022,-4.538791608106508,0.5240276153182022,-2.9999999999999996,explicit
3.96,-4.550282329532707,-0.5253546177889189,-4.550282329532707,0.5253546177889189,-2.9999999999999996,explicit
3.9699999999999998,-4.561773050683252,-0.5266816193835552,-4.561773050683252,0.5266816193835552,-2.9999999999999996,explicit
3.98,-4.5732637715602165,-0.5280086201086891,-4.5732637715602165,0.5280086201086891,-2.9999999999999996,explicit
3.9899999999999998,-4.584754492165657,-0.5293356199708338,-4.584754492165657,0.5293356199708338,-2.9999999999999996,explicit
4.0,-4.596245212501607,-0.5306626189764371,-4.596245212501607,0.5306626189764371,-2.9999999999999996,explicit
4.01,-4.6077359325700815,-0.5319896171318838,-4.6077359325700815,0.5319896171318838,-2.9999999999999996,explicit
4.02,-4.61922665237307,-0.5333166144434938,-4.61922665237307,0.5333166144434938,-2.9999999999999996,explicit
4.03,-4.630717371912555,-0.5346436109175254,-4.630717371912555,0.5346436109175254,-2.9999999999999996,explicit
4.04,-4.642208091190483,-0.5359706065601748,-4.642208091190483,0.5359706065601748,-2.9999999999999996,explicit
4.05,-4.653698810208793,-0.5372976013775786,-4.653698810208793,0.5372976013775786,-2.9999999999999996,explicit
4.06,-4.6651895289694,-0.5386245953758112,-4.6651895289694,0.5386245953758112,-2.9999999999999996,explicit
4.07,-4.676680247474203,-0.5399515885608884,-4.676680247474203,0.5399515885608884,-2.9999999999999996,explicit
4.08,-4.688170965725079,-0.5412785809387677,-4.688170965725079,0.5412785809387677,-2.9999999999999996,explicit
4.09,-4.699661683723889,-0.5426055725153465,-4.699661683723889,0.5426055725153465,-2.9999999999999996,explicit
4.1,-4.711152401472475,-0.543932563296469,-4.711152401472475,0.543932563296469,-2.9999999999999996,explicit
4.109999999999999,-4.722643118972664,-0.5452595532879179,-4.722643118972664,0.5452595532879179,-2.9999999999999996,explicit
4.12,-4.734133836226261,-0.5465865424954232,-4.734133836226261,0.5465865424954232,-2.9999999999999996,explicit
4.13,-4.745624553235055,-0.5479135309246582,-4.745624553235055,0.5479135309246582,-2.9999999999999996,explicit
4.14,-4.757115270000817,-0.5492405185812423,-4.757115270000817,0.5492405185812423,-2.9999999999999996,explicit
4.15,-4.768605986525304,-0.5505675054707412,-4.768605986525304,0.5505675054707412,-2.9999999999999996,explicit
4.16,-4.780096702810255,-0.5518944915986655,-4.780096702810255,0.5518944915986655,-2.9999999999999996,explicit
4.17,-4.791587418857387,-0.5532214769704751,-4.791587418857387,0.5532214769704751,-2.9999999999999996,explicit
4.18,-4.803078134668409,-0.5545484615915768,-4.803078134668409,0.5545484615915768,-2.9999999999999996,explicit
4.1899999999999995,-4.814568850245007,-0.5558754454673258,-4.814568850245007,0.5558754454673258,-2.9999999999999996,explicit
4.2,-4.826059565588859,-0.5572024286030279,-4.826059565588859,0.5572024286030279,-2.9999999999999996,explicit
4.21,-4.837550280701615,-0.5585294110039377,-4.837550280701615,0.5585294110039377,-2.9999999999999996,explicit
4.22,-4.84904099558492,-0.5598563926752584,-4.84904099558492,0.5598563926752584,-2.9999999999999996,explicit
4.2299999999999995,-4.860531710240397,-0.5611833736221479,-4.860531710240397,0.5611833736221479,-2.9999999999999996,explicit
4.24,-4.872022424669661,-0.5625103538497126,-4.872022424669661,0.5625103538497126,-2.9999999999999996,explicit
4.25,-4.883513138874301,-0.5638373333630129,-4.883513138874301,0.5638373333630129,-2.9999999999999996,explicit
4.26,-4.8950038528559014,-0.5651643121670599,-4.8950038528559014,0.5651643121670599,-2.9999999999999996,explicit
4.27,-4.906494566616027,-0.5664912902668193,-4.906494566616027,0.5664912902668193,-2.9999999999999996,explicit
4.28,-4.917985280156227,-0.5678182676672104,-4.917985280156227,0.5678182676672104,-2.9999999999999996,explicit
4.29,-4.929475993478039,-0.5691452443731072,-4.929475993478039,0.5691452443731072,-2.9999999999999996,explicit
4.3,-4.940966706582983,-0.5704722203893369,-4.940966706582983,0.5704722203893369,-2.9999999999999996,explicit
4.31,-4.952457419472571,-0.5717991957206843,-4.952457419472571,0.5717991957206843,-2.9999999999999996,explicit
4.32,-4.963948132148294,-0.5731261703718881,-4.963948132148294,0.5731261703718881,-2.9999999999999996,explicit
4.33,-4.975438844611634,-0.5744531443476438,-4.975438844611634,0.5744531443476438,-2.9999999999999996,explicit
4.34,-4.986929556864055,-0.5757801176526052,-4.986929556864055,0.5757801176526052,-2.9999999999999996,explicit
4.35,-4.998420268907013,-0.5771070902913813,-4.998420268907013,0.5771070902913813,-2.9999999999999996,explicit
4.359999999999999,-5.009910980741944,-0.5784340622685411,-5.009910980741944,0.5784340622685411,-2.9999999999999996,explicit
4.37,-5.021401692370279,-0.5797610335886099,-5.021401692370279,0.5797610335886099,-2.9999999999999996,explicit
4.38,-5.03289240379343,-0.5810880042560732,-5.03289240379343,0.5810880042560732,-2.9999999999999996,explicit
4.39,-5.044383115012796,-0.5824149742753754,-5.044383115012796,0.5824149742753754,-2.9999999999999996,explicit
4.4,-5.055873826029767,-0.5837419436509206,-5.055873826029767,0.5837419436509206,-2.9999999999999996,explicit
4.41,-5.067364536845717,-0.5850689123870723,-5.067364536845717,0.5850689123870723,-2.9999999999999996,explicit
4.42,-5.078855247462012,-0.5863958804881564,-5.078855247462012,0.5863958804881564,-2.9999999999999996,explicit
4.43,-5.0903459578799986,-0.5877228479584587,-5.0903459578799986,0.5877228479584587,-2.9999999999999996,explicit
4.4399999999999995,-5.101836668101016,-0.5890498148022265,-5.101836668101016,0.5890498148022265,-2.9999999999999996,explicit
4.45,-5.113327378126395,-0.5903767810236685,-5.113327378126395,0.5903767810236685,-2.9999999999999996,explicit
4.46,-5.124818087957445,-0.591703746626959,-5.124818087957445,0.591703746626959,-2.9999999999999996,explicit
4.47,-5.136308797595472,-0.5930307116162292,-5.136308797595472,0.5930307116162292,-2.9999999999999996,explicit
4.48,-5.147799507041769,-0.5943576759955793,-5.147799507041769,0.5943576759955793,-2.9999999999999996,explicit
4.49,-5.15929021629761,-0.5956846397690695,-5.15929021629761,0.5956846397690695,-2.9999999999999996,explicit
4.5,-5.170780925364268,-0.5970116029407267,-5.170780925364268,0.5970116029407267,-2.9999999999999996,explicit
4.51,-5.182271634242997,-0.5983385655145389,-5.182271634242997,0.5983385655145389,-2.9999999999999996,explicit
4.52,-5.193762342935046,-0.5996655274944618,-5.193762342935046,0.5996655274944618,-2.9999999999999996,explicit
4.53,-5.205253051441649,-0.6009924888844158,-5.205253051441649,0.6009924888844158,-2.9999999999999996,explicit
4.54,-5.216743759764031,-0.6023194496882862,-5.216743759764031,0.6023194496882862,-2.9999999999999996,explicit
4.55,-5.228234467903404,-0.6036464099099227,-5.228234467903404,0.6036464099099227,-2.9999999999999996,explicit
4.56,-5.239725175860972,-0.6049733695531446,-5.239725175860972,0.6049733695531446,-2.9999999999999996,explicit
4.57,-5.251215883637927,-0.6063003286217361,-5.251215883637927,0.6063003286217361,-2.9999999999999996,explicit
4.58,-5.262706591235449,-0.6076272871194488,-5.262706591235449,0.6076272871194488,-2.9999999999999996,explicit
4.59,-5.274197298654712,-0.6089542450500008,-5.274197298654712,0.6089542450500008,-2.9999999999999996,explicit
4.6,-5.285688005896877,-0.6102812024170791,-5.285688005896877,0.6102812024170791,-2.9999999999999996,explicit
4.61,-5.297178712963096,-0.6116081592243406,-5.297178712963096,0.6116081592243406,-2.9999999999999996,explicit
4.62,-5.308669419854509,-0.6129351154754049,-5.308669419854509,0.6129351154754049,-2.9999999999999996,explicit
4.63,-5.320160126572247,-0.6142620711738658,-5.320160126572247,0.6142620711738658,-2.9999999999999996,explicit
4.64,-5.331650833117433,-0.6155890263232844,-5.331650833117433,0.6155890263232844,-2.9999999999999996,explicit
4.65,-5.34314153949118,-0.6169159809271924,-5.34314153949118,0.6169159809271924,-2.9999999999999996,explicit
4.66,-5.354632245694588,-0.6182429349890884,-5.354632245694588,0.6182429349890884,-2.9999999999999996,explicit
4.67,-5.366122951728752,-0.6195698885124434,-5.366122951728752,0.6195698885124434,-2.9999999999999996,explicit
4.68,-5.377613657594757,-0.6208968415006991,-5.377613657594757,0.6208968415006991,-2.9999999999999996,explicit
4.6899999999999995,-5.389104363293675,-0.6222237939572676,-5.389104363293675,0.6222237939572676,-2.9999999999999996,explicit
4.7,-5.400595068826574,-0.6235507458855295,-5.400595068826574,0.6235507458855295,-2.9999999999999996,explicit
4.71,-5.412085774194509,-0.6248776972888419,-5.412085774194509,0.6248776972888419,-2.9999999999999996,explicit
4.72,-5.4235764793985295,-0.626204648170528,-5.4235764793985295,0.626204648170528,-2.9999999999999996,explicit
4.73,-5.435067184439668,-0.6275315985338872,-5.435067184439668,0.6275315985338872,-2.9999999999999996,explicit
4.74,-5.446557889318962,-0.6288585483821879,-5.446557889318962,0.6288585483821879,-2.9999999999999996,explicit
4.75,-5.45804859403743,-0.6301854977186747,-5.45804859403743,0.6301854977186747,-2.9999999999999996,explicit
4.76,-5.4695392985960805,-0.6315124465465608,-5.4695392985960805,0.6315124465465608,-2.9999999999999996,explicit
4.77,-5.481030002995924,-0.6328393948690373,-5.481030002995924,0.6328393948690373,-2.9999999999999996,explicit
4.78,-5.492520707237955,-0.6341663426892642,-5.492520707237955,0.6341663426892642,-2.9999999999999996,explicit
4.79,-5.504011411323158,-0.6354932900103779,-5.504011411323158,0.6354932900103779,-2.9999999999999996,explicit
4.8,-5.515502115252513,-0.636820236835488,-5.515502115252513,0.636820236835488,-2.9999999999999996,explicit
4.8100000000000005,-5.526992819026994,-0.6381471831676774,-5.526992819026994,0.6381471831676774,-2.9999999999999996,explicit
4.82,-5.538483522647559,-0.6394741290100059,-5.538483522647559,0.6394741290100059,-2.9999999999999996,explicit
4.83,-5.549974226115169,-0.6408010743655048,-5.549974226115169,0.6408010743655048,-2.9999999999999996,explicit
4.84,-5.561464929430767,-0.6421280192371831,-5.561464929430767,0.6421280192371831,-2.9999999999999996,explicit
4.85,-5.572955632595292,-0.6434549636280242,-5.572955632595292,0.6434549636280242,-2.9999999999999996,explicit
4.86,-5.584446335609679,-0.6447819075409866,-5.584446335609679,0.6447819075409866,-2.9999999999999996,explicit
4.87,-5.595937038474852,-0.6461088509790056,-5.595937038474852,0.6461088509790056,-2.9999999999999996,explicit
4.88,-5.607427741191725,-0.6474357939449911,-5.607427741191725,0.6474357939449911,-2.9999999999999996,explicit
4.890000000000001,-5.618918443761208,-0.6487627364418295,-5.618918443761208,0.6487627364418295,-2.9999999999999996,explicit
4.9,-5.630409146184202,-0.650089678472385,-5.630409146184202,0.650089678472385,-2.9999999999999996,explicit
4.91,-5.641899848461603,-0.6514166200394981,-5.641899848461603,0.6514166200394981,-2.9999999999999996,explicit
4.92,-5.6533905505942945,-0.6527435611459848,-5.6533905505942945,0.6527435611459848,-2.9999999999999996,explicit
4.93,-5.664881252583157,-0.6540705017946399,-5.664881252583157,0.6540705017946399,-2.9999999999999996,explicit
4.9399999999999995,-5.676371954429067,-0.6553974419882362,-5.676371954429067,0.6553974419882362,-2.9999999999999996,explicit
4.95,-5.687862656132888,-0.656724381729521,-5.687862656132888,0.656724381729521,-2.9999999999999996,explicit
4.96,-5.699353357695479,-0.6580513210212244,-5.699353357695479,0.6580513210212244,-2.9999999999999996,explicit
