K,rho,angle,F_triangle,r(theta*),type
1.15,0.9972462083156799,0.011213028464220507,-2.0943951023931957,0.9999810298628123,real-pos
1.395,0.9972462083156799,0.01240826269831096,-2.0943951023931957,0.9999870940284815,real-pos
1.64,0.9972462083156794,0.013498050372119156,-2.0943951023931957,0.9999906548911104,real-pos
1.8849999999999998,0.9972462083156801,0.014506186001632946,-2.0943951023931957,0.9999929222301209,real-pos
2.13,0.9972462083156799,0.015448667959854074,-2.0943951023931957,0.9999944543739089,real-pos
2.375,0.99724620831568,0.016336865740277835,-2.0943951023931957,0.9999955379531854,real-pos
2.62,0.9972462083156799,0.01717920284061338,-2.0943951023931957,0.9999963323984802,real-pos
2.8649999999999998,0.9972462083156802,0.017982126209172757,-2.0943951023931957,0.9999969321235922,real-pos
3.11,0.9972462083156794,0.018750700413769337,-2.0943951023931957,0.9999973959299294,real-pos
3.355,0.9972462083156798,0.019488990156412627,-2.0943951023931957,0.9999977619892182,real-pos
3.6,0.9972462083156801,0.020200316583848913,-2.0943951023931957,0.9999980559563998,real-pos
3.8449999999999998,0.9972462083156794,0.020887434838388626,-2.0943951023931957,0.9999982955903013,real-pos
4.09,0.99724620831568,0.021552660552681274,-2.0943951023931957,0.9999984935001067,real-pos
4.335,0.9972462083156802,0.022197962162746904,-2.0943951023931957,0.9999986588386474,real-pos
4.58,0.9972462083156799,0.022825029693519266,-2.0943951023931957,0.9999987983799941,real-pos
4.824999999999999,0.9972462083156797,0.02343532695557792,-2.0943951023931957,0.9999989172245307,real-pos
5.07,0.9972462083156798,0.024030131795644116,-2.0943951023931957,0.9999990192717276,real-pos
5.3149999999999995,0.9972462083156793,0.024610567581801635,-2.0943951023931957,0.9999991075441423,real-pos
5.5600000000000005,0.9972462083156793,0.025177628149355608,-2.0943951023931957,0.9999991844138401,real-neg
5.805,0.9972462083156796,0.02573219779452265,-2.0943951023931957,0.9999992517634319,real-neg
6.050000000000001,0.9972462083156799,0.026275067467009493,-2.0943951023931957,0.9999993111024494,real-neg
6.295,0.9972462083156798,0.026806948009100703,-2.0943951023931957,0.9999993636526734,real-neg
6.539999999999999,0.9972462083156799,0.02732848107415853,-2.0943951023931957,0.9999994104115306,real-neg
6.785,0.9972462083156803,0.02784024820313515,-2.0943951023931957,0.9999994521997758,real-neg
7.029999999999999,0.9972462083156796,0.028342778425241754,-2.0943951023931957,0.9999994896977552,real-neg
7.275,0.9972462083156798,0.02883655466589085,-2.0943951023931957,0.9999995234732746,real-neg
7.52,0.9972462083156797,0.029322019182996956,-2.0943951023931957,0.9999995540032215,real-neg
7.765000000000001,0.9972462083156794,0.029799578205861193,-2.0943951023931957,0.9999995816904909,real-neg
8.01,0.9972462083156793,0.030269605915105684,-2.0943951023931957,0.999999606877347,real-neg
8.254999999999999,0.9972462083156796,0.03073244787457504,-2.0943951023931957,0.9999996298560504,real-neg
8.5,0.9972462083156802,0.031188424004709853,-2.0943951023931957,0.9999996508773765,real-neg
8.745,0.9972462083156803,0.03163783117011809,-2.0943951023931957,0.9999996701574854,real-neg
8.99,0.9972462083156801,0.03208094544081864,-2.0943951023931957,0.9999996878835009,real-neg
9.235,0.9972462083156801,0.03251802407609029,-2.0943951023931957,0.9999997042180697,real-neg
9.48,0.9972462083156799,0.03294930727141724,-2.0943951023931957,0.9999997193031037,real-neg
9.725,0.9972462083156799,0.033375019702217006,-2.0943951023931957,0.9999997332628744,real-neg
9.97,0.9972462083156798,0.03379537189251786,-2.0943951023931957,0.9999997462065792,real-neg
10.215,0.9972462083156807,0.03421056143225262,-2.0943951023931957,0.9999997582304841,real-neg
10.46,0.9972462083156803,0.0346207740631436,-2.0943951023931957,0.9999997694197186,real-neg
10.705,0.9972462083156802,0.03502618465011241,-2.0943951023931957,0.9999997798497869,real-neg
10.950000000000001,0.9972462083156802,0.035426958052627716,-2.0943951023931957,0.9999997895878447,real-neg
11.195,0.9972462083156796,0.03582324990830701,-2.0943951023931957,0.9999997986937823,real-neg
11.44,0.9972462083156794,0.03621520733933728,-2.0943951023931957,0.9999998072211493,real-neg
11.685,0.9972462083156799,0.036602969590806424,-2.0943951023931957,0.999999815217942,real-neg
11.93,0.9972462083156794,0.036986668608799664,-2.0943951023931957,0.9999998227272813,real-neg
12.175,0.9972462083156801,0.03736642956506537,-2.0943951023931957,0.9999998297879943,real-neg
12.42,0.9972462083156798,0.037742371334164936,-2.0943951023931957,0.9999998364351186,real-neg
12.665000000000001,0.9972462083156796,0.038114606928262774,-2.0943951023931957,0.9999998427003363,real-neg
12.91,0.9972462083156803,0.03848324389406393,-2.0943951023931957,0.9999998486123529,real-neg
13.155,0.9972462083156797,0.03884838467585075,-2.0943951023931957,0.9999998541972271,real-neg
13.4,0.9972462083156796,0.03921012694809169,-2.0943951023931957,0.9999998594786579,real-neg
13.645,0.9972462083156797,0.0395685639206824,-2.0943951023931957,0.999999864478236,real-neg
13.89,0.9972462083156798,0.03992378461952188,-2.0943951023931957,0.999999869215666,real-neg
14.135,0.9972462083156792,0.04027587414481714,-2.0943951023931957,0.9999998737089598,real-neg
14.38,0.9972462083156798,0.04062491390923967,-2.0943951023931957,0.9999998779746089,real-neg
14.625,0.9972462083156799,0.04097098185782094,-2.0943951023931957,0.9999998820277348,real-neg
14.87,0.9972462083156793,0.041314152671271635,-2.0943951023931957,0.9999998858822249,real-neg
15.115,0.9972462083156792,0.041654497954224594,-2.0943951023931957,0.9999998895508494,real-neg
15.36,0.9972462083156803,0.04199208640974715,-2.0943951023931957,0.9999998930453693,real-neg
15.605,0.9972462083156802,0.042326984001326964,-2.0943951023931957,0.9999998963766299,real-neg
15.85,0.9972462083156796,0.0426592541034129,-2.0943951023931957,0.9999998995546442,real-neg
