K,rho1,ang1,rho2,ang2,rho3,ang3
0.790000000,0.999866777,0.081378279,0.999838870,0.100458197,0.996358801,0.081665432
0.790004000,0.999866798,0.081378484,0.999838896,0.100458450,0.996358813,0.081665640
0.790008001,0.999866819,0.081378690,0.999838921,0.100458704,0.996358826,0.081665847
0.790012001,0.999866840,0.081378895,0.999838947,0.100458957,0.996358838,0.081666054
0.790016002,0.999866862,0.081379101,0.999838972,0.100459210,0.996358851,0.081666261
0.790020002,0.999866883,0.081379307,0.999838998,0.100459464,0.996358863,0.081666468
0.790024002,0.999866904,0.081379512,0.999839023,0.100459717,0.996358875,0.081666675
0.790028003,0.999866925,0.081379718,0.999839049,0.100459970,0.996358888,0.081666882
0.790032003,0.999866946,0.081379924,0.999839074,0.100460224,0.996358900,0.081667089
0.790036004,0.999866968,0.081380129,0.999839100,0.100460477,0.996358913,0.081667296
0.790040004,0.999866989,0.081380335,0.999839125,0.100460730,0.996358925,0.081667503
0.790044004,0.999867010,0.081380540,0.999839151,0.100460984,0.996358938,0.081667710
0.790048005,0.999867031,0.081380746,0.999839177,0.100461237,0.996358950,0.081667917
0.790052005,0.999867053,0.081380952,0.999839202,0.100461490,0.996358962,0.081668124
0.790056006,0.999867074,0.081381157,0.999839228,0.100461744,0.996358975,0.081668331
0.790060006,0.999867095,0.081381363,0.999839253,0.100461997,0.996358987,0.081668538
0.790064006,0.999867116,0.081381568,0.999839279,0.100462250,0.996359000,0.081668745
0.790068007,0.999867137,0.081381774,0.999839304,0.100462503,0.996359012,0.081668952
0.790072007,0.999867159,0.081381980,0.999839330,0.100462757,0.996359025,0.081669159
0.790076008,0.999867180,0.081382185,0.999839355,0.100463010,0.996359037,0.081669366
0.790080008,0.999867201,0.081382391,0.999839381,0.100463263,0.996359050,0.081669573
0.790084008,0.999867222,0.081382596,0.999839406,0.100463517,0.996359062,0.081669781
0.790088009,0.999867244,0.081382802,0.999839432,0.100463770,0.996359074,0.081669988
0.790092009,0.999867265,0.081383008,0.999839457,0.100464023,0.996359087,0.081670195
0.790096010,0.999867286,0.081383213,0.999839483,0.100464277,0.996359099,0.081670402
0.790100010,0.999867307,0.081383419,0.999839508,0.100464530,0.996359112,0.081670609
0.790104010,0.999867328,0.081383624,0.999839534,0.100464783,0.996359124,0.081670816
0.790108011,0.999867350,0.081383830,0.999839559,0.100465037,0.996359137,0.081671023
0.790112011,0.999867371,0.081384036,0.999839585,0.100465290,0.996359149,0.081671230
0.790116012,0.999867392,0.081384241,0.999839611,0.100465543,0.996359161,0.081671437
0.790120012,0.999867413,0.081384447,0.999839636,0.100465796,0.996359174,0.081671644
0.790124012,0.999867435,0.081384652,0.999839662,0.100466050,0.996359186,0.081671851
0.790128013,0.999867456,0.081384858,0.999839687,0.100466303,0.996359199,0.081672058
0.790132013,0.999867477,0.081385064,0.999839713,0.100466556,0.996359211,0.081672265
0.790136014,0.999867498,0.081385269,0.999839738,0.100466810,0.996359224,0.081672472
0.790140014,0.999867519,0.081385475,0.999839764,0.100467063,0.996359236,0.081672679
0.790144014,0.999867541,0.081385680,0.999839789,0.100467316,0.996359248,0.081672886
0.790148015,0.999867562,0.081385886,0.999839815,0.100467570,0.996359261,0.081673093
0.790152015,0.999867583,0.081386092,0.999839840,0.100467823,0.996359273,0.081673300
0.790156016,0.999867604,0.081386297,0.999839866,0.100468076,0.996359286,0.081673507
0.790160016,0.999867625,0.081386503,0.999839891,0.100468329,0.996359298,0.081673714
0.790164016,0.999867647,0.081386708,0.999839917,0.100468583,0.996359311,0.081673921
0.790168017,0.999867668,0.081386914,0.999839942,0.100468836,0.996359323,0.081674128
0.790172017,0.999867689,0.081387119,0.999839968,0.100469089,0.996359335,0.081674335
0.790176018,0.999867710,0.081387325,0.999839994,0.100469343,0.996359348,0.081674542
0.790180018,0.999867732,0.081387531,0.999840019,0.100469596,0.996359360,0.081674749
0.790184018,0.999867753,0.081387736,0.999840045,0.100469849,0.996359373,0.081674957
0.790188019,0.999867774,0.081387942,0.999840070,0.100470103,0.996359385,0.081675164
0.790192019,0.999867795,0.081388147,0.999840096,0.100470356,0.996359398,0.081675371
0.790196020,0.999867816,0.081388353,0.999840121,0.100470609,0.996359410,0.081675578
0.790200020,0.999867838,0.081388559,0.999840147,0.100470862,0.996359423,0.081675785
0.790204020,0.999867859,0.081388764,0.999840172,0.100471116,0.996359435,0.081675992
0.790208021,0.999867880,0.081388970,0.999840198,0.100471369,0.996359447,0.081676199
0.790212021,0.999867901,0.081389175,0.999840223,0.100471622,0.996359460,0.081676406
0.790216022,0.999867923,0.081389381,0.999840249,0.100471876,0.996359472,0.081676613
0.790220022,0.999867944,0.081389587,0.999840274,0.100472129,0.996359485,0.081676820
0.790224022,0.999867965,0.081389792,0.999840300,0.100472382,0.996359497,0.081677027
0.790228023,0.999867986,0.081389998,0.999840325,0.100472635,0.996359510,0.081677234
0.790232023,0.999868007,0.081390203,0.999840351,0.100472889,0.996359522,0.081677441
0.790236024,0.999868029,0.081390409,0.999840376,0.100473142,0.996359534,0.081677648
0.790240024,0.999868050,0.081390614,0.999840402,0.100473395,0.996359547,0.081677855
0.790244024,0.999868071,0.081390820,0.999840428,0.100473649,0.996359559,0.081678062
0.790248025,0.999868092,0.081391026,0.999840453,0.100473902,0.996359572,0.081678269
0.790252025,0.999868114,0.081391231,0.999840479,0.100474155,0.996359584,0.081678476
0.790256026,0.999868135,0.081391437,0.999840504,0.100474408,0.996359597,0.081678683
0.790260026,0.999868156,0.081391642,0.999840530,0.100474662,0.996359609,0.081678890
0.790264026,0.999868177,0.081391848,0.999840555,0.100474915,0.996359621,0.081679097
0.790268027,0.999868198,0.081392053,0.999840581,0.100475168,0.996359634,0.081679304
0.790272027,0.999868220,0.081392259,0.999840606,0.100475421,0.996359646,0.081679511
0.790276028,0.999868241,0.081392465,0.999840632,0.100475675,0.996359659,0.081679718
0.790280028,0.999868262,0.081392670,0.999840657,0.100475928,0.996359671,0.081679925
0.790284028,0.999868283,0.081392876,0.999840683,0.100476181,0.996359684,0.081680132
0.790288029,0.999868304,0.081393081,0.999840708,0.100476435,0.996359696,0.081680339
0.790292029,0.999868326,0.081393287,0.999840734,0.100476688,0.996359708,0.081680546
0.790296030,0.999868347,0.081393492,0.999840759,0.100476941,0.996359721,0.081680753
0.790300030,0.999868368,0.081393698,0.999840785,0.100477194,0.996359733,0.081680960
0.790304030,0.999868389,0.081393904,0.999840810,0.100477448,0.996359746,0.081681167
0.790308031,0.999868411,0.081394109,0.999840836,0.100477701,0.996359758,0.081681374
