K,rho1,ang1,rho2,ang2,rho3,ang3
0.200000000,0.980383509,0.053132360,0.980044278,0.039522440,0.979486810,0.039544946
0.201966994,0.980399318,0.053434704,0.980054982,0.039772848,0.979495585,0.039795574
0.203933989,0.980415127,0.053735335,0.980065684,0.040021681,0.979504362,0.040044629
0.205900983,0.980430936,0.054034280,0.980076386,0.040268970,0.979513139,0.040292138
0.207867978,0.980446744,0.054331567,0.980087085,0.040514741,0.979521917,0.040538130
0.209834972,0.980462552,0.054627224,0.980097784,0.040759024,0.979530697,0.040782634
0.211801967,0.980478360,0.054921277,0.980108481,0.041001843,0.979539478,0.041025674
0.213768961,0.980494167,0.055213751,0.980119176,0.041243226,0.979548260,0.041267278
0.215735956,0.980509974,0.055504672,0.980129870,0.041483197,0.979557044,0.041507470
0.217702950,0.980525781,0.055794063,0.980140562,0.041721781,0.979565829,0.041746274
0.219669945,0.980541588,0.056081948,0.980151253,0.041959001,0.979574615,0.041983715
0.221636939,0.980557395,0.056368351,0.980161942,0.042194880,0.979583403,0.042219815
0.223603934,0.980573201,0.056653294,0.980172629,0.042429441,0.979592193,0.042454597
0.225570928,0.980589007,0.056936799,0.980183314,0.042662706,0.979600984,0.042688082
0.227537923,0.980604813,0.057218887,0.980193998,0.042894695,0.979609777,0.042920292
0.229504917,0.980620618,0.057499579,0.980204680,0.043125429,0.979618571,0.043151247
0.231471912,0.980636423,0.057778896,0.980215359,0.043354928,0.979627367,0.043380967
0.233438906,0.980652228,0.058056857,0.980226037,0.043583212,0.979636165,0.043609472
0.235405901,0.980668033,0.058333481,0.980236713,0.043810300,0.979644964,0.043836780
0.237372895,0.980683838,0.058608788,0.980247388,0.044036210,0.979653765,0.044062911
0.239339890,0.980699642,0.058882796,0.980258060,0.044260960,0.979662568,0.044287882
0.241306884,0.980715446,0.059155524,0.980268730,0.044484568,0.979671373,0.044511711
0.243273879,0.980731249,0.059426988,0.980279398,0.044707051,0.979680179,0.044734415
0.245240873,0.980747053,0.059697206,0.980290065,0.044928426,0.979688988,0.044956010
0.247207868,0.980762856,0.059966194,0.980300729,0.045148709,0.979697798,0.045176513
0.249174862,0.980778659,0.060233971,0.980311391,0.045367915,0.979706610,0.045395941
0.251141857,0.980794462,0.060500550,0.980322052,0.045586061,0.979715423,0.045614307
0.253108851,0.980810264,0.060765949,0.980332710,0.045803162,0.979724239,0.045831629
0.255075846,0.980826066,0.061030182,0.980343366,0.046019232,0.979733056,0.046047919
0.257042840,0.980841868,0.061293265,0.980354020,0.046234286,0.979741875,0.046263194
0.259009835,0.980857670,0.061555212,0.980364673,0.046448338,0.979750696,0.046477466
0.260976829,0.980873471,0.061816038,0.980375323,0.046661401,0.979759519,0.046690751
0.262943824,0.980889272,0.062075757,0.980385971,0.046873490,0.979768344,0.046903060
0.264910818,0.980905073,0.062334383,0.980396617,0.047084618,0.979777171,0.047114408
0.266877813,0.980920874,0.062591929,0.980407261,0.047294796,0.979785999,0.047324807
0.268844807,0.980936674,0.062848409,0.980417902,0.047504038,0.979794830,0.047534270
0.270811802,0.980952474,0.063103835,0.980428542,0.047712357,0.979803662,0.047742809
0.272778796,0.980968274,0.063358221,0.980439180,0.047919764,0.979812496,0.047950437
0.274745791,0.980984074,0.063611579,0.980449815,0.048126271,0.979821332,0.048157164
0.276712785,0.980999873,0.063863920,0.980460449,0.048331889,0.979830170,0.048363003
0.278679780,0.981015672,0.064115258,0.980471080,0.048536631,0.979839010,0.048567965
0.280646774,0.981031471,0.064365603,0.980481710,0.048740506,0.979847852,0.048772061
0.282613769,0.981047270,0.064614968,0.980492337,0.048943526,0.979856695,0.048975302
0.284580763,0.981063068,0.064863364,0.980502962,0.049145702,0.979865541,0.049177698
0.286547758,0.981078866,0.065110802,0.980513586,0.049347043,0.979874388,0.049379259
0.288514752,0.981094664,0.065357292,0.980524207,0.049547560,0.979883237,0.049579997
0.290481747,0.981110462,0.065602845,0.980534826,0.049747263,0.979892088,0.049779920
0.292448741,0.981126259,0.065847472,0.980545443,0.049946161,0.979900941,0.049979039
0.294415736,0.981142056,0.066091184,0.980556058,0.050144265,0.979909796,0.050177364
0.296382730,0.981157853,0.066333989,0.980566671,0.050341584,0.979918653,0.050374903
0.298349725,0.981173650,0.066575899,0.980577282,0.050538126,0.979927511,0.050571665
0.300316719,0.981189446,0.066816922,0.980587891,0.050733901,0.979936371,0.050767661
0.302283714,0.981205242,0.067057069,0.980598498,0.050928918,0.979945233,0.050962898
0.304250708,0.981221038,0.067296349,0.980609102,0.051123185,0.979954097,0.051157386
0.306217703,0.981236833,0.067534771,0.980619705,0.051316711,0.979962963,0.051351132
0.308184697,0.981252629,0.067772343,0.980630306,0.051509504,0.979971831,0.051544146
0.310151692,0.981268424,0.068009076,0.980640905,0.051701573,0.979980700,0.051736435
0.312118686,0.981284219,0.068244978,0.980651502,0.051892925,0.979989571,0.051928007
0.314085681,0.981300013,0.068480056,0.980662096,0.052083568,0.979998444,0.052118871
0.316052675,0.981315807,0.068714321,0.980672689,0.052273511,0.980007319,0.052309034
0.318019670,0.981331601,0.068947779,0.980683280,0.052462761,0.980016196,0.052498504
0.319986664,0.981347395,0.069180440,0.980693869,0.052651324,0.980025074,0.052687288
0.321953659,0.981363189,0.069412311,0.980704456,0.052839209,0.980033954,0.052875394
0.323920653,0.981378982,0.069643400,0.980715041,0.053026423,0.980042836,0.053062828
0.325887648,0.981394775,0.069873715,0.980725624,0.053212973,0.980051720,0.053249598
0.327854642,0.981410568,0.070103263,0.980736205,0.053398866,0.980060605,0.053435711
0.329821637,0.981426360,0.070332052,0.980746784,0.053584108,0.980069492,0.053621174
0.331788631,0.981442152,0.070560090,0.980757361,0.053768707,0.980078381,0.053805993
0.333755626,0.981457944,0.070787384,0.980767936,0.053952669,0.980087272,0.053990175
0.335722620,0.981473736,0.071013940,0.980778510,0.054136000,0.980096164,0.054173727
0.337689615,0.981489528,0.071239766,0.980789081,0.054318708,0.980105058,0.054356654
0.339656609,0.981505319,0.071464869,0.980799651,0.054500797,0.980113954,0.054538964
0.341623604,0.981521110,0.071689255,0.980810218,0.054682275,0.980122851,0.054720662
0.343590598,0.981536901,0.071912932,0.980820784,0.054863147,0.980131751,0.054901754
0.345557593,0.981552691,0.072135905,0.980831348,0.055043419,0.980140652,0.055082247
0.347524587,0.981568481,0.072358182,0.980841910,0.055223098,0.980149554,0.055262146
0.349491582,0.981584271,0.072579769,0.980852470,0.055402189,0.980158458,0.055441457
0.351458576,0.981600061,0.072800672,0.980863028,0.055580697,0.980167364,0.055620186
0.353425571,0.981615850,0.073020897,0.980873585,0.055758629,0.980176272,0.055798338
0.355392565,0.981631640,0.073240451,0.980884139,0.055935990,0.980185181,0.055975919
