K,rho1,ang1,rho2,ang2,rho3,ang3
0.000130000,0.999588084,0.000000000,0.999588084,0.000000000,0.999483326,0.000000000
0.000410508,0.998534725,0.000000000,0.998534725,0.000000000,0.998076855,0.000000000
0.000691015,0.996956766,0.000000000,0.996956766,0.000000000,0.995104755,0.001231903
0.000971523,0.995109951,0.003458341,0.995106464,0.002225478,0.995106464,0.002225478
0.001252030,0.995115147,0.004733130,0.995110653,0.003656778,0.995110653,0.003656778
0.001532538,0.995120342,0.005731035,0.995114842,0.004668104,0.995114842,0.004668104
0.001813045,0.995125538,0.006579276,0.995119031,0.005496388,0.995119031,0.005496388
0.002093553,0.995130733,0.007329995,0.995123220,0.006215245,0.995123220,0.006215245
0.002374060,0.995135929,0.008010658,0.995127409,0.006859166,0.995127409,0.006859166
0.002654568,0.995141125,0.008637842,0.995131598,0.007447614,0.995131598,0.007447614
0.002935075,0.995146320,0.009222463,0.995135787,0.007992851,0.995135787,0.007992851
0.003215583,0.995151516,0.009772165,0.995139976,0.008503192,0.995139976,0.008503192
0.003496090,0.995156711,0.010292543,0.995144165,0.008984586,0.995144165,0.008984586
0.003776598,0.995161907,0.010787841,0.995148354,0.009441462,0.995148354,0.009441462
0.004057105,0.995167102,0.011261370,0.995152543,0.009877223,0.995152543,0.009877223
0.004337613,0.995172298,0.011715770,0.995156732,0.010294550,0.995156732,0.010294550
0.004618120,0.995177493,0.012153185,0.995160921,0.010695602,0.995160921,0.010695602
0.004898628,0.995182688,0.012575389,0.995165109,0.011082145,0.995165109,0.011082145
0.005179135,0.995187884,0.012983866,0.995169298,0.011455649,0.995169298,0.011455649
0.005459643,0.995193079,0.013379872,0.995173487,0.011817349,0.995173487,0.011817349
0.005740151,0.995198274,0.013764485,0.995177676,0.012168299,0.995177676,0.012168299
0.006020658,0.995203469,0.014138634,0.995181865,0.012509403,0.995181865,0.012509403
0.006301166,0.995208665,0.014503129,0.995186053,0.012841446,0.995186053,0.012841446
0.006581673,0.995213860,0.014858681,0.995190242,0.013165113,0.995190242,0.013165113
0.006862181,0.995219055,0.015205916,0.995194431,0.013481008,0.995194431,0.013481008
0.007142688,0.995224250,0.015545392,0.995198619,0.013789665,0.995198619,0.013789665
