K,rho,angle,F_triangle,r(theta*),type,diagnosis
1.0,0.9910949745515683,0.1071655197331293,-2.0943951023931957,0.9999752532166742,complex (inside/outside),
1.0137672090112642,0.9911373102846031,0.10791629132165885,-2.0943951023931957,0.9999759186261887,complex (inside/outside),
1.027534418022528,0.9911793632362261,0.10866189389749678,-2.0943951023931957,0.9999765575532965,complex (inside/outside),
1.0413016270337923,0.9912211391803812,0.10940243321195464,-2.0943951023931957,0.9999771713849055,complex (inside/outside),
1.0550688360450564,0.99126264369516,0.11013801146062788,-2.0943951023931957,0.999977761418304,complex (inside/outside),
1.0688360450563203,0.9913038821720954,0.11086872744857655,-2.0943951023931957,0.9999783288680211,complex (inside/outside),
1.0826032540675845,0.991344859824857,0.11159467674577724,-2.0943951023931957,0.9999788748720816,complex (inside/outside),
1.0963704630788487,0.9913855816974555,0.1123159518335177,-2.0943951023931957,0.9999794004977185,complex (inside/outside),
1.1101376720901126,0.9914260526719484,0.11303264224238782,-2.0943951023931957,0.9999799067465914,complex (inside/outside),
1.1239048811013768,0.9914662774757087,0.11374483468244012,-2.0943951023931957,0.9999803945595633,complex (inside/outside),
1.1376720901126407,0.9915062606882542,0.11445261316605691,-2.0943951023931957,0.9999808648210748,complex (inside/outside),
1.1514392991239049,0.9915460067477156,0.11515605912402489,-2.0943951023931957,0.9999813183631577,complex (inside/outside),
1.165206508135169,0.9915855199569353,0.1158552515152558,-2.0943951023931957,0.9999817559691166,complex (inside/outside),
1.178973717146433,0.9916248044892109,0.11655026693059309,-2.0943951023931957,0.9999821783769149,complex (inside/outside),
1.1927409261576971,0.9916638643937437,0.11724117969107012,-2.0943951023931957,0.9999825862822874,complex (inside/outside),
1.2065081351689613,0.9917027036008043,0.11792806194099208,-2.0943951023931957,0.999982980341608,complex (inside/outside),
1.2202753441802252,0.9917413259265906,0.11861098373616462,-2.0943951023931957,0.9999833611745312,complex (inside/outside),
1.2340425531914894,0.9917797350778575,0.11929001312757576,-2.0943951023931957,0.9999837293664305,complex (inside/outside),
1.2478097622027535,0.9918179346563019,0.11996521624081576,-2.0943951023931957,0.999984085470649,complex (inside/outside),
1.2615769712140175,0.9918559281627128,0.1206366573514979,-2.0943951023931957,0.9999844300105806,complex (inside/outside),
1.2753441802252816,0.991893719000918,0.12130439895691997,-2.0943951023931957,0.9999847634815927,complex (inside/outside),
1.2891113892365458,0.9919313104815338,0.1219685018441947,-2.0943951023931957,0.9999850863528099,complex (inside/outside),
1.3028785982478097,0.9919687058255303,0.1226290251550631,-2.0943951023931957,0.9999853990687635,complex (inside/outside),
1.3166458072590739,0.9920059081676086,0.12328602644758191,-2.0943951023931957,0.9999857020509233,complex (inside/outside),
1.330413016270338,0.9920429205594414,0.12393956175486714,-2.0943951023931957,0.9999859956991184,complex (inside/outside),
1.344180225281602,0.9920797459727304,0.12458968564106643,-2.0943951023931957,0.9999862803928565,complex (inside/outside),
1.3579474342928661,0.9921163873021321,0.12523645125471636,-2.0943951023931957,0.9999865564925523,complex (inside/outside),
1.3717146433041303,0.9921528473680498,0.1258799103796354,-2.0943951023931957,0.9999868243406664,complex (inside/outside),
1.3854818523153942,0.9921891289192847,0.12652011348348322,-2.0943951023931957,0.9999870842627703,complex (inside/outside),
1.3992490613266584,0.992225234635584,0.12715710976412714,-2.0943951023931957,0.9999873365685349,complex (inside/outside),
1.4130162703379225,0.9922611671300449,0.12779094719392195,-2.0943951023931957,0.9999875815526533,complex (inside/outside),
1.4267834793491865,0.9922969289514418,0.12842167256203207,-2.0943951023931957,0.9999878194957026,complex (inside/outside),
1.4405506883604506,0.9923325225864272,0.1290493315148837,-2.0943951023931957,0.999988050664947,complex (inside/outside),
1.4543178973717148,0.9923679504616517,0.1296739685948628,-2.0943951023931957,0.9999882753150884,complex (inside/outside),
1.4680851063829787,0.9924032149457767,0.13029562727734145,-2.0943951023931957,0.9999884936889695,complex (inside/outside),
1.481852315394243,0.9924383183514095,0.13091435000612195,-2.0943951023931957,0.9999887060182291,complex (inside/outside),
1.4956195244055068,0.9924732629369549,0.13153017822738355,-2.0943951023931957,0.9999889125239171,complex (inside/outside),
1.509386733416771,0.9925080509083924,0.13214315242220323,-2.0943951023931957,0.9999891134170706,complex (inside/outside),
1.523153942428035,0.9925426844209684,0.13275331213772773,-2.0943951023931957,0.9999893088992531,complex (inside/outside),
1.5369211514392993,0.9925771655808134,0.13336069601706393,-2.0943951023931957,0.9999894991630591,complex (inside/outside),
1.5506883604505632,0.992611496446533,0.1339653418279469,-2.0943951023931957,0.9999896843925908,complex (inside/outside),
1.5644555694618272,0.9926456790306732,0.13456728649025276,-2.0943951023931957,0.9999898647639021,complex (inside/outside),
1.5782227784730913,0.9926797153011732,0.13516656610240832,-2.0943951023931957,0.9999900404454174,complex (inside/outside),
1.5919899874843555,0.992713607182745,0.13576321596675042,-2.0943951023931957,0.9999902115983255,complex (inside/outside),
1.6057571964956194,0.992747356558192,0.13635727061389324,-2.0943951023931957,0.9999903783769486,complex (inside/outside),
1.6195244055068836,0.9927809652696861,0.13694876382613552,-2.0943951023931957,0.9999905409290912,complex (inside/outside),
1.6332916145181477,0.9928144351199877,0.13753772865997388,-2.0943951023931957,0.9999906993963672,complex (inside/outside),
1.6470588235294117,0.9928477678736258,0.13812419746774257,-2.0943951023931957,0.9999908539145081,complex (inside/outside),
1.6608260325406758,0.9928809652580258,0.13870820191843689,-2.0943951023931957,0.9999910046136551,complex (inside/outside),
